experiment_id,source,path,present,readable,row_count,error,schema_id,columns_json,reference_experiment,added_vs_reference,missing_vs_reference
20250612_24hpf_ctrl_atf6,inventory,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/20250612_24hpf_ctrl_atf6_snip_inventory.csv,True,True,97.0,,I01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""image_id"", ""time_index"", ""channel_id"", ""mask_id"", ""track_id"", ""image_path"", ""processed_snip_path"", ""embryo_mask"", ""embryo_mask_snip_path"", ""crop_x_min_px"", ""crop_y_min_px"", ""crop_x_max_px"", ""crop_y_max_px"", ""crop_width_px"", ""crop_height_px"", ""is_valid_snip"", ""error_message""]",20260724_hotfish_36hpf_plate02,[],[]
20250612_24hpf_ctrl_atf6,stage,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/feature_extraction/20250612_24hpf_ctrl_atf6/stage_predictions/20250612_24hpf_ctrl_atf6_stage_predictions.csv,True,True,97.0,,S01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""image_id"", ""time_index"", ""channel_id"", ""predicted_stage_hpf"", ""model_version"", ""stage_prediction_status""]",20260724_hotfish_36hpf_plate01,[],[]
20250612_24hpf_ctrl_atf6,qc,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20250612_24hpf_ctrl_atf6/snip_qc/20250612_24hpf_ctrl_atf6_snip_qc.parquet,True,True,97,,Q03,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""death_detection_qc_applicability"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",20260724_hotfish_36hpf_plate01,"[""death_detection_qc_applicability""]",[]
20250612_24hpf_ctrl_atf6,plate,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/acquisition/20250612_24hpf_ctrl_atf6/ingest_metadata/plate_metadata.csv,True,True,96.0,,P01,"[""well_index"", ""medium"", ""image_to_hash_map"", ""hash_plate_num"", ""mold_type"", ""genotype"", ""strain"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""temperature"", ""morph_seq_qc"", ""experiment_id"", ""well_id""]",20260724_hotfish_36hpf_plate01,"[""embryos_per_well"", ""mold_type"", ""morph_seq_qc"", ""strain""]","[""image_notes"", ""qc"", ""sequenced"", ""start_stage_hpf""]"
20250612_24hpf_wfs1_ctcf,inventory,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_wfs1_ctcf/snips/20250612_24hpf_wfs1_ctcf_snip_inventory.csv,True,True,96.0,,I01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""image_id"", ""time_index"", ""channel_id"", ""mask_id"", ""track_id"", ""image_path"", ""processed_snip_path"", ""embryo_mask"", ""embryo_mask_snip_path"", ""crop_x_min_px"", ""crop_y_min_px"", ""crop_x_max_px"", ""crop_y_max_px"", ""crop_width_px"", ""crop_height_px"", ""is_valid_snip"", ""error_message""]",20260724_hotfish_36hpf_plate02,[],[]
20250612_24hpf_wfs1_ctcf,stage,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/feature_extraction/20250612_24hpf_wfs1_ctcf/stage_predictions/20250612_24hpf_wfs1_ctcf_stage_predictions.csv,True,True,96.0,,S01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""image_id"", ""time_index"", ""channel_id"", ""predicted_stage_hpf"", ""model_version"", ""stage_prediction_status""]",20260724_hotfish_36hpf_plate01,[],[]
20250612_24hpf_wfs1_ctcf,qc,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20250612_24hpf_wfs1_ctcf/snip_qc/20250612_24hpf_wfs1_ctcf_snip_qc.parquet,True,True,96,,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",20260724_hotfish_36hpf_plate01,[],[]
20250612_24hpf_wfs1_ctcf,plate,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/acquisition/20250612_24hpf_wfs1_ctcf/ingest_metadata/plate_metadata.csv,True,True,96.0,,P02,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""strain"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""temperature"", ""morph_seq_qc"", ""experiment_id"", ""well_id""]",20260724_hotfish_36hpf_plate01,"[""embryos_per_well"", ""mold_type"", ""morph_seq_qc"", ""strain""]","[""hash_plate_num"", ""image_notes"", ""image_to_hash_map"", ""qc"", ""sequenced"", ""start_stage_hpf""]"
20250612_30hpf_ctrl_atf6,inventory,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/object_extraction/20250612_30hpf_ctrl_atf6/snips/20250612_30hpf_ctrl_atf6_snip_inventory.csv,True,True,97.0,,I01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""image_id"", ""time_index"", ""channel_id"", ""mask_id"", ""track_id"", ""image_path"", ""processed_snip_path"", ""embryo_mask"", ""embryo_mask_snip_path"", ""crop_x_min_px"", ""crop_y_min_px"", ""crop_x_max_px"", ""crop_y_max_px"", ""crop_width_px"", ""crop_height_px"", ""is_valid_snip"", ""error_message""]",20260724_hotfish_36hpf_plate02,[],[]
20250612_30hpf_ctrl_atf6,stage,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/feature_extraction/20250612_30hpf_ctrl_atf6/stage_predictions/20250612_30hpf_ctrl_atf6_stage_predictions.csv,True,True,97.0,,S01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""image_id"", ""time_index"", ""channel_id"", ""predicted_stage_hpf"", ""model_version"", ""stage_prediction_status""]",20260724_hotfish_36hpf_plate01,[],[]
