experiment_id,snips,masks_found,masks_missing,coverage_fraction
20230531,7846,7846,0,1.0
20230602,8998,8998,0,1.0
20230613,5421,5421,0,1.0
20230615,4216,4216,0,1.0
20230620,5460,5460,0,1.0
20230622,3582,3582,0,1.0
20230627,4193,4193,0,1.0
20230629,3918,3918,0,1.0
20230831,65,65,0,1.0
20231110,5852,5852,0,1.0
20231206,7587,7587,0,1.0
20231218,3536,3536,0,1.0
20240306,10837,10837,0,1.0
20240307,4972,4972,0,1.0
20240404,3222,3222,0,1.0
20240411,4464,4464,0,1.0
20240418,9062,9062,0,1.0
20240509,4387,4387,0,1.0
20240509_18ss,25,25,0,1.0
20240509_24hpf,32,32,0,1.0
20240510,59,59,0,1.0
20240522,9284,9284,0,1.0
20240530,10692,10692,0,1.0
20240626,11088,11088,0,1.0
20240717,68,68,0,1.0
20240718,99,99,0,1.0
20240724,56,56,0,1.0
20240725,64,64,0,1.0
20240726,60,60,0,1.0
20240812,7575,7575,0,1.0
20240813_24hpf,48,48,0,1.0
20240813_30hpf,50,50,0,1.0
20240813_36hpf,50,50,0,1.0
20241022,3737,3737,0,1.0
20241023,4687,4687,0,1.0
20250126,7745,7745,0,1.0
20250215,7644,7644,0,1.0
20250305,32962,32962,0,1.0
20250415,4267,4267,0,1.0
20250425,13429,13429,0,1.0
20250501,24718,24718,0,1.0
20250512,24569,24569,0,1.0
20250515_part2,3510,3510,0,1.0
20250519,4179,4179,0,1.0
20250612_24hpf_ctrl_atf6,97,97,0,1.0
20250612_24hpf_wfs1_ctcf,96,96,0,1.0
20250612_30hpf_ctrl_atf6,97,97,0,1.0
20250612_30hpf_wfs1_ctcf,97,97,0,1.0
20250612_36hpf_ctrl_atf6,102,102,0,1.0
20250612_36hpf_wfs1_ctcf,97,97,0,1.0
20250622_chem_28C_T00_1425,91,91,0,1.0
20250622_chem_28C_T01_1658,86,86,0,1.0
20250622_chem_34C_T00_1256,78,78,0,1.0
20250622_chem_34C_T01_1632,79,79,0,1.0
20250622_chem_35C_T00_1223_check,79,79,0,1.0
20250622_chem_35C_T01_1605,85,85,0,1.0
20250623_chem_28C_T02_1259,86,86,0,1.0
20250623_chem_34C_T02_1231,83,83,0,1.0
20250624_chem02_28C_T00_1356,104,104,0,1.0
20250624_chem02_28C_T01_1808,97,97,0,1.0
20250624_chem02_34C_T00_1243,78,78,0,1.0
20250624_chem02_34C_T01_1739,75,75,0,1.0
20250624_chem02_35C_T00_1216,81,81,0,1.0
20250624_chem02_35C_T01_1711,84,84,0,1.0
20250625_chem02_28C_T02_1332,96,96,0,1.0
20250625_chem02_34C_T02_1301,82,82,0,1.0
20250625_chem02_35C_T02_1228,84,84,0,1.0
20250703_chem3_28C_T00_1325,61,61,0,1.0
20250703_chem3_34C_T00_1131,58,58,0,1.0
20250703_chem3_34C_T01_1457,59,59,0,1.0
20250703_chem3_35C_T00_1101,65,65,0,1.0
20250703_chem3_35C_T01_1437,58,58,0,1.0
20250711,19723,19723,0,1.0
20250716_chem4_28C_T00_1158,87,87,0,1.0
20250716_chem4_28C_T01_1400,94,94,0,1.0
20250716_chem4_34C_T00_1014,94,94,0,1.0
20250716_chem4_35C_T00_1045,91,91,0,1.0
20250721_chem5_28C_T00_1257,107,107,0,1.0
20250721_chem5_28C_T01_1401,107,107,0,1.0
20250721_chem5_35C_T00_1023,108,108,0,1.0
20250912,15572,15572,0,1.0
20251017_part1,6794,6794,0,1.0
20251017_part2,7559,7559,0,1.0
20251020,5216,5216,0,1.0
20251112,6991,6991,0,1.0
20251119,10440,10440,0,1.0
20251121,20857,20857,0,1.0
20251125,21934,21934,0,1.0
20251205,12291,12291,0,1.0
20251207_pbx,14760,14760,0,1.0
20251212,11437,11437,0,1.0
20260122,20098,20098,0,1.0
20260202,16943,16943,0,1.0
20260206,14700,14700,0,1.0
20260208,31680,31680,0,1.0
20260210,15892,15892,0,1.0
20260213,29010,29010,0,1.0
20260219,31713,31713,0,1.0
20260228,17012,17012,0,1.0
20260304,37409,37409,0,1.0
20260306,26979,26979,0,1.0
20260319,10269,10269,0,1.0
20260319_cilia_crispant_18hpf,92,92,0,1.0
20260319_cilia_crispant_24hpf,99,99,0,1.0
20260319_cilia_crispant_30hpf,102,102,0,1.0
20260324_cep290_24hpf_plate01,101,101,0,1.0
20260324_cep290_24hpf_plate02,101,101,0,1.0
20260324_cep290_30hpf_plate01,98,98,0,1.0
20260324_cep290_30hpf_plate02,72,72,0,1.0
20260331_b9d2_18hpf_plate02,70,70,0,1.0
20260414_b9d2_14hpf_plate01,107,107,0,1.0
20260414_b9d2_30hpf_plate01,106,106,0,1.0
20260414_b9d2_30hpf_plate02,72,72,0,1.0
20260415_b9d2_30to48hpf_plate01_t02,109,109,0,1.0
20260415_b9d2_30to48hpf_plate02_t02,58,58,0,1.0
20260415_cep290_18hpf_plate03,81,81,0,1.0
20260415_cep290_30to48hpf_plate02_t01,93,93,0,1.0
20260416_cep290_30to48hpf_plate01_t02,109,109,0,1.0
20260416_cep290_30to48hpf_plate02_t02,70,70,0,1.0
20260417_irx_pilot,4968,4968,0,1.0
20260418_irx_pilot,15251,15251,0,1.0
20260702_hotchem_24hpf_plate01,104,104,0,1.0
20260702_hotchem_24hpf_plate02,117,117,0,1.0
20260702_hotchem_30hpf_plate01,124,124,0,1.0
20260702_hotchem_30hpf_plate02,107,107,0,1.0
20260702_hotchem_36hpf_plate01,101,101,0,1.0
20260702_hotchem_36hpf_plate02,99,99,0,1.0
20260724_hotfish_24hpf_plate01,102,102,0,1.0
20260724_hotfish_24hpf_plate02,56,56,0,1.0
20260724_hotfish_30hpf_plate01,98,98,0,1.0
20260724_hotfish_30hpf_plate02,59,59,0,1.0
20260724_hotfish_36hpf_plate01,101,101,0,1.0
20260724_hotfish_36hpf_plate02,61,61,0,1.0
