experiment_id,path,present,readable,row_count,schema_id,columns_json,error
20250612_24hpf_ctrl_atf6,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20250612_24hpf_ctrl_atf6/snip_qc/20250612_24hpf_ctrl_atf6_snip_qc.parquet,True,True,97.0,Q03,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""death_detection_qc_applicability"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20250612_24hpf_wfs1_ctcf,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20250612_24hpf_wfs1_ctcf/snip_qc/20250612_24hpf_wfs1_ctcf_snip_qc.parquet,True,True,96.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20250612_30hpf_ctrl_atf6,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20250612_30hpf_ctrl_atf6/snip_qc/20250612_30hpf_ctrl_atf6_snip_qc.parquet,True,True,97.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20250612_30hpf_wfs1_ctcf,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20250612_30hpf_wfs1_ctcf/snip_qc/20250612_30hpf_wfs1_ctcf_snip_qc.parquet,True,True,97.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20250612_36hpf_ctrl_atf6,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20250612_36hpf_ctrl_atf6/snip_qc/20250612_36hpf_ctrl_atf6_snip_qc.parquet,True,True,102.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20250612_36hpf_wfs1_ctcf,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20250612_36hpf_wfs1_ctcf/snip_qc/20250612_36hpf_wfs1_ctcf_snip_qc.parquet,True,True,97.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20240813_24hpf,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20240813_24hpf/snip_qc/20240813_24hpf_snip_qc.parquet,True,True,48.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20240813_30hpf,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20240813_30hpf/snip_qc/20240813_30hpf_snip_qc.parquet,True,True,50.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20240813_36hpf,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20240813_36hpf/snip_qc/20240813_36hpf_snip_qc.parquet,True,True,50.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20240813_extras,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20240813_extras/snip_qc/20240813_extras_snip_qc.parquet,False,False,,,[],
20260702_hotchem_24hpf_plate01,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260702_hotchem_24hpf_plate01/snip_qc/20260702_hotchem_24hpf_plate01_snip_qc.parquet,True,True,104.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
