experiment_id,inventory_snips,matched_qc_rows,inventory_snips_without_qc,qc_coverage_fraction,use_snip_pass,use_snip_fail,use_snip_null,use_snip_pass_rate,strict_evaluable_rows,strict_pass,strict_removed,strict_pass_rate,strict_removal_rate
20230531,7846,7846,0,1.0,4044,3802,0,0.5154218710170788,7846,4044,3802,0.5154218710170788,0.48457812898292124
20230602,8998,8998,0,1.0,3447,5551,0,0.3830851300288953,8998,3447,5551,0.3830851300288953,0.6169148699711047
20230613,5421,5421,0,1.0,3611,1810,0,0.6661132632355654,5421,3611,1810,0.6661132632355654,0.3338867367644346
20230615,4216,4216,0,1.0,2767,1449,0,0.6563092979127134,4216,2767,1449,0.6563092979127134,0.3436907020872865
20230620,5460,5460,0,1.0,3001,2459,0,0.5496336996336997,5460,3001,2459,0.5496336996336997,0.4503663003663004
20230622,3582,3582,0,1.0,1906,1676,0,0.5321049692908989,3582,1906,1676,0.5321049692908989,0.46789503070910105
20230627,4193,4193,0,1.0,2831,1362,0,0.6751729072263296,4193,2831,1362,0.6751729072263296,0.3248270927736704
20230629,3918,3918,0,1.0,1125,2793,0,0.2871362940275651,3918,1125,2793,0.2871362940275651,0.7128637059724349
20230831,65,0,65,0.0,0,0,0,,0,0,0,,
20231110,5852,0,5852,0.0,0,0,0,,0,0,0,,
20231206,7587,0,7587,0.0,0,0,0,,0,0,0,,
20231218,3536,0,3536,0.0,0,0,0,,0,0,0,,
20240306,10837,0,10837,0.0,0,0,0,,0,0,0,,
20240307,4972,0,4972,0.0,0,0,0,,0,0,0,,
20240404,3222,0,3222,0.0,0,0,0,,0,0,0,,
20240411,4464,0,4464,0.0,0,0,0,,0,0,0,,
20240418,9062,0,9062,0.0,0,0,0,,0,0,0,,
20240509,4387,0,4387,0.0,0,0,0,,0,0,0,,
20240509_18ss,25,25,0,1.0,24,1,0,0.96,25,24,1,0.96,0.04
20240509_24hpf,32,32,0,1.0,29,3,0,0.90625,32,29,3,0.90625,0.09375
20240510,59,59,0,1.0,57,2,0,0.9661016949152542,59,57,2,0.9661016949152542,0.03389830508474576
20240522,9284,0,9284,0.0,0,0,0,,0,0,0,,
20240530,10692,0,10692,0.0,0,0,0,,0,0,0,,
20240626,11088,0,11088,0.0,0,0,0,,0,0,0,,
20240717,68,68,0,1.0,56,12,0,0.8235294117647058,68,56,12,0.8235294117647058,0.17647058823529413
20240718,99,99,0,1.0,93,6,0,0.9393939393939394,99,93,6,0.9393939393939394,0.06060606060606061
20240724,56,56,0,1.0,56,0,0,1.0,56,56,0,1.0,0.0
20240725,64,64,0,1.0,53,11,0,0.828125,64,53,11,0.828125,0.171875
20240726,60,60,0,1.0,49,11,0,0.8166666666666667,60,49,11,0.8166666666666667,0.18333333333333332
20240812,7575,0,7575,0.0,0,0,0,,0,0,0,,
20240813_24hpf,48,48,0,1.0,47,1,0,0.9791666666666666,48,47,1,0.9791666666666666,0.020833333333333332
20240813_30hpf,50,50,0,1.0,38,12,0,0.76,50,38,12,0.76,0.24
20240813_36hpf,50,50,0,1.0,38,12,0,0.76,50,38,12,0.76,0.24
20241022,3737,0,3737,0.0,0,0,0,,0,0,0,,
20241023,4687,0,4687,0.0,0,0,0,,0,0,0,,
20250126,7745,0,7745,0.0,0,0,0,,0,0,0,,
20250215,7644,0,7644,0.0,0,0,0,,0,0,0,,
20250305,32962,0,32962,0.0,0,0,0,,0,0,0,,
20250415,4267,0,4267,0.0,0,0,0,,0,0,0,,
20250425,13429,0,13429,0.0,0,0,0,,0,0,0,,
20250501,24718,24718,0,1.0,2319,22399,0,0.09381827008657659,24718,2319,22399,0.09381827008657659,0.9061817299134234
20250512,24569,24569,0,1.0,7108,17461,0,0.2893076641295942,24569,7108,17461,0.2893076641295942,0.7106923358704058
20250515_part2,3510,3510,0,1.0,1351,2159,0,0.3849002849002849,3510,1351,2159,0.3849002849002849,0.6150997150997151
20250519,4179,4179,0,1.0,2549,1630,0,0.6099545345776501,4179,2549,1630,0.6099545345776501,0.39004546542234986
20250612_24hpf_ctrl_atf6,97,97,0,1.0,93,4,0,0.9587628865979382,97,93,4,0.9587628865979382,0.041237113402061855
20250612_24hpf_wfs1_ctcf,96,96,0,1.0,88,8,0,0.9166666666666666,96,88,8,0.9166666666666666,0.08333333333333333
20250612_30hpf_ctrl_atf6,97,97,0,1.0,72,25,0,0.7422680412371134,97,72,25,0.7422680412371134,0.25773195876288657
20250612_30hpf_wfs1_ctcf,97,97,0,1.0,74,23,0,0.7628865979381443,97,74,23,0.7628865979381443,0.23711340206185566
20250612_36hpf_ctrl_atf6,102,102,0,1.0,81,21,0,0.7941176470588235,102,81,21,0.7941176470588235,0.20588235294117646
20250612_36hpf_wfs1_ctcf,97,97,0,1.0,72,25,0,0.7422680412371134,97,72,25,0.7422680412371134,0.25773195876288657
20250622_chem_28C_T00_1425,91,91,0,1.0,76,15,0,0.8351648351648352,91,76,15,0.8351648351648352,0.16483516483516483
20250622_chem_28C_T01_1658,86,86,0,1.0,72,14,0,0.8372093023255814,86,72,14,0.8372093023255814,0.16279069767441862
20250622_chem_34C_T00_1256,78,78,0,1.0,73,5,0,0.9358974358974359,78,73,5,0.9358974358974359,0.0641025641025641
20250622_chem_34C_T01_1632,79,79,0,1.0,69,10,0,0.8734177215189873,79,69,10,0.8734177215189873,0.12658227848101267
20250622_chem_35C_T00_1223_check,79,0,79,0.0,0,0,0,,0,0,0,,
20250622_chem_35C_T01_1605,85,0,85,0.0,0,0,0,,0,0,0,,
20250623_chem_28C_T02_1259,86,0,86,0.0,0,0,0,,0,0,0,,
20250623_chem_34C_T02_1231,83,0,83,0.0,0,0,0,,0,0,0,,
20250624_chem02_28C_T00_1356,104,104,0,1.0,57,47,0,0.5480769230769231,104,57,47,0.5480769230769231,0.4519230769230769
20250624_chem02_28C_T01_1808,97,97,0,1.0,45,52,0,0.4639175257731959,97,45,52,0.4639175257731959,0.5360824742268041
20250624_chem02_34C_T00_1243,78,78,0,1.0,38,40,0,0.48717948717948717,78,38,40,0.48717948717948717,0.5128205128205128
20250624_chem02_34C_T01_1739,75,75,0,1.0,22,53,0,0.29333333333333333,75,22,53,0.29333333333333333,0.7066666666666667
20250624_chem02_35C_T00_1216,81,81,0,1.0,49,32,0,0.6049382716049383,81,49,32,0.6049382716049383,0.3950617283950617
20250624_chem02_35C_T01_1711,84,84,0,1.0,29,55,0,0.34523809523809523,84,29,55,0.34523809523809523,0.6547619047619048
20250625_chem02_28C_T02_1332,96,96,0,1.0,46,50,0,0.4791666666666667,96,46,50,0.4791666666666667,0.5208333333333334
20250625_chem02_34C_T02_1301,82,82,0,1.0,23,59,0,0.2804878048780488,82,23,59,0.2804878048780488,0.7195121951219512
20250625_chem02_35C_T02_1228,84,84,0,1.0,14,70,0,0.16666666666666666,84,14,70,0.16666666666666666,0.8333333333333334
20250703_chem3_28C_T00_1325,61,61,0,1.0,53,8,0,0.8688524590163934,61,53,8,0.8688524590163934,0.13114754098360656
20250703_chem3_34C_T00_1131,58,58,0,1.0,54,4,0,0.9310344827586207,58,54,4,0.9310344827586207,0.06896551724137931
20250703_chem3_34C_T01_1457,59,59,0,1.0,50,9,0,0.847457627118644,59,50,9,0.847457627118644,0.15254237288135594
20250703_chem3_35C_T00_1101,65,65,0,1.0,54,11,0,0.8307692307692308,65,54,11,0.8307692307692308,0.16923076923076924
20250703_chem3_35C_T01_1437,58,58,0,1.0,50,8,0,0.8620689655172413,58,50,8,0.8620689655172413,0.13793103448275862
20250711,19723,19723,0,1.0,10419,9304,0,0.5282664908989505,19723,10419,9304,0.5282664908989505,0.47173350910104955
20250716_chem4_28C_T00_1158,87,87,0,1.0,75,12,0,0.8620689655172413,87,75,12,0.8620689655172413,0.13793103448275862
20250716_chem4_28C_T01_1400,94,94,0,1.0,67,27,0,0.7127659574468085,94,67,27,0.7127659574468085,0.2872340425531915
20250716_chem4_34C_T00_1014,94,94,0,1.0,85,9,0,0.9042553191489362,94,85,9,0.9042553191489362,0.09574468085106383
20250716_chem4_35C_T00_1045,91,91,0,1.0,76,15,0,0.8351648351648352,91,76,15,0.8351648351648352,0.16483516483516483
20250721_chem5_28C_T00_1257,107,107,0,1.0,92,15,0,0.8598130841121495,107,92,15,0.8598130841121495,0.14018691588785046
20250721_chem5_28C_T01_1401,107,107,0,1.0,93,14,0,0.8691588785046729,107,93,14,0.8691588785046729,0.1308411214953271
20250721_chem5_35C_T00_1023,108,108,0,1.0,89,19,0,0.8240740740740741,108,89,19,0.8240740740740741,0.17592592592592593
20250912,15572,15572,0,1.0,2778,12794,0,0.17839712304135627,15572,2778,12794,0.17839712304135627,0.8216028769586438
20251017_part1,6794,6794,0,1.0,3903,2891,0,0.574477480129526,6794,3903,2891,0.574477480129526,0.42552251987047396
20251017_part2,7559,7559,0,1.0,2298,5261,0,0.3040084667284032,7559,2298,5261,0.3040084667284032,0.6959915332715968
20251020,5216,5216,0,1.0,1124,4092,0,0.21549079754601227,5216,1124,4092,0.21549079754601227,0.7845092024539877
20251112,6991,6991,0,1.0,3418,3573,0,0.4889143184093835,6991,3418,3573,0.4889143184093835,0.5110856815906165
20251119,10440,10440,0,1.0,3477,6963,0,0.33304597701149424,10440,3477,6963,0.33304597701149424,0.6669540229885057
20251121,20857,20857,0,1.0,7022,13835,0,0.3366735388598552,20857,7022,13835,0.3366735388598552,0.6633264611401448
20251125,21934,21934,0,1.0,8231,13703,0,0.3752621500866235,21934,8231,13703,0.3752621500866235,0.6247378499133764
20251205,12291,12291,0,1.0,6035,6256,0,0.49100968188105115,12291,6035,6256,0.49100968188105115,0.5089903181189488
20251207_pbx,14760,14760,0,1.0,7240,7520,0,0.4905149051490515,14760,7240,7520,0.4905149051490515,0.5094850948509485
