metric,value
rerun_timestamp_utc,2026-08-19T03:31:41.073578+00:00
python_executable,/home/nick/miniconda3/envs/morphseq-env/bin/python
pyarrow_version,25.0.1
selected_experiments,148
inventory_experiments,133
inventory_rows,699505
qc_files_present,105
qc_files_readable,105
qc_rows,531902
qc_schema_count,3
inventory_duplicate_rows,0
qc_duplicate_rows,0
stage_duplicate_rows,0
qc_null_use_snip,0
qc_snips_not_in_inventory,0
inventory_snips_without_qc,167603
inventory_qc_coverage_fraction,0.7603977098090793
use_snip_pass,185204
use_snip_fail,346698
use_snip_pass_rate,0.3481919601731146
strict_evaluable_rows,531902
strict_pass,185204
strict_removed,346698
strict_pass_rate,0.3481919601731146
strict_removal_rate,0.6518080398268854
strict_removal_p05_by_experiment,0.04511090284286157
strict_removal_median_by_experiment,0.27586206896551724
strict_removal_p95_by_experiment,0.7959422445312015
strict_removal_central_90_spread,0.75083134168834
strict_gate_experiment_eta_squared,0.14381495527233432
experiment_correlated_by_5pp_central_spread,True
combined_metric_gate_survivors,176466
