source,schema_id,columns_json
inventory,I01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""image_id"", ""time_index"", ""channel_id"", ""mask_id"", ""track_id"", ""image_path"", ""processed_snip_path"", ""embryo_mask"", ""embryo_mask_snip_path"", ""crop_x_min_px"", ""crop_y_min_px"", ""crop_x_max_px"", ""crop_y_max_px"", ""crop_width_px"", ""crop_height_px"", ""is_valid_snip"", ""error_message""]"
inventory,I02,"[""snip_id"", ""embryo_id"", ""physical_embryo_id"", ""experiment_id"", ""well_id"", ""image_id"", ""time_index"", ""channel_id"", ""mask_id"", ""track_id"", ""image_path"", ""processed_snip_path"", ""embryo_mask"", ""embryo_mask_snip_path"", ""crop_x_min_px"", ""crop_y_min_px"", ""crop_x_max_px"", ""crop_y_max_px"", ""crop_width_px"", ""crop_height_px"", ""is_valid_snip"", ""error_message""]"
stage,S01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""image_id"", ""time_index"", ""channel_id"", ""predicted_stage_hpf"", ""model_version"", ""stage_prediction_status""]"
stage,S02,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""image_id"", ""time_index"", ""channel_id"", ""predicted_stage_hpf"", ""model_version""]"
qc,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]"
qc,Q02,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""use_snip"", ""qc_fail_reasons""]"
qc,Q03,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""death_detection_qc_applicability"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]"
plate,P01,"[""well_index"", ""medium"", ""image_to_hash_map"", ""hash_plate_num"", ""mold_type"", ""genotype"", ""strain"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""temperature"", ""morph_seq_qc"", ""experiment_id"", ""well_id""]"
plate,P02,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""strain"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""temperature"", ""morph_seq_qc"", ""experiment_id"", ""well_id""]"
plate,P03,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""temperature"", ""image_to_hash_plate_num"", ""hash_to_image_map"", ""qc"", ""morph_seq_qc"", ""experiment_id"", ""well_id""]"
plate,P04,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""temperature"", ""qc"", ""experiment_id"", ""well_id""]"
plate,P05,"[""well_index"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""temperature"", ""sequenced"", ""qc"", ""image_to_hash_map"", ""hash_plate_num"", ""medium"", ""experiment_id"", ""well_id""]"
plate,P06,"[""well_index"", ""pair"", ""genotype"", ""sequenced"", ""strain"", ""chem_perturbation"", ""start_age_hpf"", ""qc"", ""temperature"", ""image_to_hash_map"", ""hash_plate_num"", ""medium"", ""experiment_id"", ""well_id""]"
plate,P07,"[""well_index"", ""genotype"", ""sequenced"", ""pair"", ""strain"", ""chem_perturbation"", ""start_age_hpf"", ""qc"", ""temperature"", ""image_to_hash_map"", ""hash_plate_num"", ""medium"", ""experiment_id"", ""well_id""]"
plate,P08,"[""well_index"", ""genotype"", ""sequenced"", ""strain"", ""chem_perturbation"", ""start_age_hpf"", ""qc"", ""temperature"", ""image_to_hash_map"", ""hash_plate_num"", ""medium"", ""experiment_id"", ""well_id""]"
plate,P09,"[""well_index"", ""genotype"", ""sequenced"", ""strain"", ""pair"", ""chem_perturbation"", ""start_age_hpf"", ""qc"", ""temperature"", ""image_to_hash_map"", ""hash_plate_num"", ""medium"", ""experiment_id"", ""well_id""]"
plate,P10,"[""well_index"", ""genotype"", ""sequenced"", ""strain"", ""chem_perturbation"", ""pair"", ""start_age_hpf"", ""qc"", ""temperature"", ""image_to_hash_map"", ""hash_plate_num"", ""medium"", ""experiment_id"", ""well_id""]"
plate,P11,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""start_age_morph"", ""start_age_hpf"", ""embryos_per_well"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P12,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""start_age_morph"", ""embryos_per_well"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P13,"[""well_index"", ""mold_type"", ""medium"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""start_age_morph"", ""embryos_per_well"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P14,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""image_to_hash_map"", ""image_to_hash_plate_num"", ""hash_to_image_map"", ""qc"", ""image_notes"", ""morph_seq_qc"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P15,"[""well_index"", ""temperature"", ""medium"", ""experiment_id"", ""well_id"", ""genotype"", ""start_age_hpf""]"
plate,P16,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""image_to_hash_map"", ""image_to_hash_plate_num"", ""hash_to_image_map"", ""qc"", ""morph_seq_qc"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P17,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""strain"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P18,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""strain"", ""chem_perturbation"", ""embryos_per_well"", ""experiment_id"", ""well_id"", ""start_age_hpf"", ""temperature""]"
plate,P19,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""series_number_map"", ""start_age_morph"", ""embryos_per_well"", ""temperature"", ""tricane"", ""pair"", ""experiment_id"", ""well_id""]"
plate,P20,"[""well_index"", ""genotype"", ""start_age_hpf"", ""medium"", ""chem_perturbation"", ""mold_type"", ""embryos_per_well"", ""series_number_map"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P21,"[""well_index"", ""genotype"", ""start_age_hpf"", ""mold_type"", ""chem_perturbation"", ""embryos_per_well"", ""medium"", ""series_number_map"", ""temperature"", ""experiment_id"", ""well_id""]"
plate,P22,"[""well_index"", ""genotype_map_orig"", ""genotype"", ""start_age_hpf"", ""chem_perturbation"", ""embryos_per_well"", ""mold_type"", ""medium"", ""qc"", ""series_number_map"", ""temperature"", ""experiment_id"", ""well_id""]"
