experiment_id,snips
20230531,7846
20230602,8998
20230613,5421
20230615,4216
20230620,5460
20230622,3582
20230627,4193
20230629,3918
20230831,65
20231110,5852
20231206,7587
20231218,3536
20240306,10837
20240307,4972
20240404,3222
20240411,4464
20240418,9062
20240509,4387
20240509_18ss,25
20240509_24hpf,32
20240510,59
20240522,9284
20240530,10692
20240626,11088
20240717,68
20240718,99
20240724,56
20240725,64
20240726,60
20240812,7575
20240813_24hpf,48
20240813_30hpf,50
20240813_36hpf,50
20241022,3737
20241023,4687
20250126,7745
20250215,7644
20250305,32962
20250415,4267
20250425,13429
20250501,24718
20250512,24569
20250515_part2,3510
20250519,4179
20250612_24hpf_ctrl_atf6,97
20250612_24hpf_wfs1_ctcf,96
20250612_30hpf_ctrl_atf6,97
20250612_30hpf_wfs1_ctcf,97
20250612_36hpf_ctrl_atf6,102
20250612_36hpf_wfs1_ctcf,97
20250622_chem_28C_T00_1425,91
20250622_chem_28C_T01_1658,86
20250622_chem_34C_T00_1256,78
20250622_chem_34C_T01_1632,79
20250622_chem_35C_T00_1223_check,79
20250622_chem_35C_T01_1605,85
20250623_chem_28C_T02_1259,86
20250623_chem_34C_T02_1231,83
20250624_chem02_28C_T00_1356,104
20250624_chem02_28C_T01_1808,97
20250624_chem02_34C_T00_1243,78
20250624_chem02_34C_T01_1739,75
20250624_chem02_35C_T00_1216,81
20250624_chem02_35C_T01_1711,84
20250625_chem02_28C_T02_1332,96
20250625_chem02_34C_T02_1301,82
20250625_chem02_35C_T02_1228,84
20250703_chem3_28C_T00_1325,61
20250703_chem3_34C_T00_1131,58
20250703_chem3_34C_T01_1457,59
20250703_chem3_35C_T00_1101,65
20250703_chem3_35C_T01_1437,58
20250711,19723
20250716_chem4_28C_T00_1158,87
20250716_chem4_28C_T01_1400,94
20250716_chem4_34C_T00_1014,94
20250716_chem4_35C_T00_1045,91
20250721_chem5_28C_T00_1257,107
20250721_chem5_28C_T01_1401,107
20250721_chem5_35C_T00_1023,108
20250912,15572
20251017_part1,6794
20251017_part2,7559
20251020,5216
20251112,6991
20251119,10440
20251121,20857
20251125,21934
20251205,12291
20251207_pbx,14760
20251212,11437
20260122,20098
20260202,16943
20260206,14700
20260208,31680
20260210,15892
20260213,29010
20260219,31713
20260228,17012
20260304,37409
20260306,26979
20260319,10269
20260319_cilia_crispant_18hpf,92
20260319_cilia_crispant_24hpf,99
20260319_cilia_crispant_30hpf,102
20260324_cep290_24hpf_plate01,101
20260324_cep290_24hpf_plate02,101
20260324_cep290_30hpf_plate01,98
20260324_cep290_30hpf_plate02,72
20260331_b9d2_18hpf_plate02,70
20260414_b9d2_14hpf_plate01,107
20260414_b9d2_30hpf_plate01,106
20260414_b9d2_30hpf_plate02,72
20260415_b9d2_30to48hpf_plate01_t02,109
20260415_b9d2_30to48hpf_plate02_t02,58
20260415_cep290_18hpf_plate03,81
20260415_cep290_30to48hpf_plate02_t01,93
20260416_cep290_30to48hpf_plate01_t02,109
20260416_cep290_30to48hpf_plate02_t02,70
20260417_irx_pilot,4968
20260418_irx_pilot,15251
20260702_hotchem_24hpf_plate01,104
20260702_hotchem_24hpf_plate02,117
20260702_hotchem_30hpf_plate01,124
20260702_hotchem_30hpf_plate02,107
20260702_hotchem_36hpf_plate01,101
20260702_hotchem_36hpf_plate02,99
20260724_hotfish_24hpf_plate01,102
20260724_hotfish_24hpf_plate02,56
20260724_hotfish_30hpf_plate01,98
20260724_hotfish_30hpf_plate02,59
20260724_hotfish_36hpf_plate01,101
20260724_hotfish_36hpf_plate02,61
