stage_bin_hpf,count
"[6.0, 8.0)",14
"[8.0, 10.0)",678
"[10.0, 12.0)",7086
"[12.0, 14.0)",10782
"[14.0, 16.0)",13030
"[16.0, 18.0)",14075
"[18.0, 20.0)",15118
"[20.0, 22.0)",15392
"[22.0, 24.0)",16395
"[24.0, 26.0)",17960
"[26.0, 28.0)",18243
"[28.0, 30.0)",18959
"[30.0, 32.0)",18668
"[32.0, 34.0)",17673
"[34.0, 36.0)",16337
"[36.0, 38.0)",15464
"[38.0, 40.0)",15426
"[40.0, 42.0)",15155
"[42.0, 44.0)",15465
"[44.0, 46.0)",15928
"[46.0, 48.0)",14321
"[48.0, 50.0)",13711
"[50.0, 52.0)",11636
"[52.0, 54.0)",11511
"[54.0, 56.0)",11279
"[56.0, 58.0)",10146
"[58.0, 60.0)",10769
"[60.0, 62.0)",9858
"[62.0, 64.0)",10164
"[64.0, 66.0)",9633
"[66.0, 68.0)",8295
"[68.0, 70.0)",8357
"[70.0, 72.0)",8326
"[72.0, 74.0)",7724
"[74.0, 76.0)",7893
"[76.0, 78.0)",6096
"[78.0, 80.0)",5364
"[80.0, 82.0)",5807
"[82.0, 84.0)",5861
"[84.0, 86.0)",4848
"[86.0, 88.0)",4857
"[88.0, 90.0)",3755
"[90.0, 92.0)",3891
"[92.0, 94.0)",3801
"[94.0, 96.0)",3823
"[96.0, 98.0)",3775
"[98.0, 100.0)",3363
"[100.0, 102.0)",3461
"[102.0, 104.0)",3396
"[104.0, 106.0)",3343
"[106.0, 108.0)",3853
"[108.0, 110.0)",3826
"[110.0, 112.0)",3557
"[112.0, 114.0)",3894
"[114.0, 116.0)",3322
"[116.0, 118.0)",3739
"[118.0, 120.0)",3186
"[120.0, 122.0)",3108
"[122.0, 124.0)",2540
"[124.0, 126.0)",2312
"[126.0, 128.0)",776
"[128.0, 130.0)",96
"[130.0, 132.0)",72
"[132.0, 134.0)",96
"[134.0, 136.0)",48
"[136.0, 138.0)",0
