experiment_id,inventory_snips,finite_stage,predicted_status,valid_predicted_finite,finite_stage_fraction
20230531,7846,7846,7846,7846,1.0
20230602,8998,8998,8998,8998,1.0
20230613,5421,5421,5421,5421,1.0
20230615,4216,4216,4216,4216,1.0
20230620,5460,5460,5460,5460,1.0
20230622,3582,3582,3582,3582,1.0
20230627,4193,4193,4193,4193,1.0
20230629,3918,3918,3918,3918,1.0
20230831,65,0,0,0,0.0
20231110,5852,0,0,0,0.0
20231206,7587,0,0,0,0.0
20231218,3536,0,0,0,0.0
20240306,10837,0,0,0,0.0
20240307,4972,0,0,0,0.0
20240404,3222,0,0,0,0.0
20240411,4464,0,0,0,0.0
20240418,9062,0,0,0,0.0
20240509,4387,0,0,0,0.0
20240509_18ss,25,25,25,25,1.0
20240509_24hpf,32,32,32,32,1.0
20240510,59,0,0,0,0.0
20240522,9284,0,0,0,0.0
20240530,10692,0,0,0,0.0
20240626,11088,0,0,0,0.0
20240717,68,68,68,68,1.0
20240718,99,64,64,64,0.6464646464646465
20240724,56,56,56,56,1.0
20240725,64,64,64,64,1.0
20240726,60,60,60,60,1.0
20240812,7575,0,0,0,0.0
20240813_24hpf,48,48,48,48,1.0
20240813_30hpf,50,50,50,50,1.0
20240813_36hpf,50,50,50,50,1.0
20241022,3737,0,0,0,0.0
20241023,4687,0,0,0,0.0
20250126,7745,0,0,0,0.0
20250215,7644,0,0,0,0.0
20250305,32962,0,0,0,0.0
20250415,4267,0,0,0,0.0
20250425,13429,0,0,0,0.0
20250501,24718,24718,24718,24718,1.0
20250512,24569,24569,24569,24569,1.0
20250515_part2,3510,3510,3510,3510,1.0
20250519,4179,4179,4179,4179,1.0
20250612_24hpf_ctrl_atf6,97,97,97,97,1.0
20250612_24hpf_wfs1_ctcf,96,96,96,96,1.0
20250612_30hpf_ctrl_atf6,97,97,97,97,1.0
20250612_30hpf_wfs1_ctcf,97,97,97,97,1.0
20250612_36hpf_ctrl_atf6,102,102,102,102,1.0
20250612_36hpf_wfs1_ctcf,97,97,97,97,1.0
20250622_chem_28C_T00_1425,91,91,91,91,1.0
20250622_chem_28C_T01_1658,86,86,86,86,1.0
20250622_chem_34C_T00_1256,78,78,78,78,1.0
20250622_chem_34C_T01_1632,79,79,79,79,1.0
20250622_chem_35C_T00_1223_check,79,79,79,79,1.0
20250622_chem_35C_T01_1605,85,85,85,85,1.0
20250623_chem_28C_T02_1259,86,86,86,86,1.0
20250623_chem_34C_T02_1231,83,83,83,83,1.0
20250624_chem02_28C_T00_1356,104,104,104,104,1.0
20250624_chem02_28C_T01_1808,97,97,97,97,1.0
20250624_chem02_34C_T00_1243,78,78,78,78,1.0
20250624_chem02_34C_T01_1739,75,75,75,75,1.0
20250624_chem02_35C_T00_1216,81,81,81,81,1.0
20250624_chem02_35C_T01_1711,84,84,84,84,1.0
20250625_chem02_28C_T02_1332,96,96,96,96,1.0
20250625_chem02_34C_T02_1301,82,82,82,82,1.0
20250625_chem02_35C_T02_1228,84,84,84,84,1.0
20250703_chem3_28C_T00_1325,61,0,0,0,0.0
20250703_chem3_34C_T00_1131,58,0,0,0,0.0
20250703_chem3_34C_T01_1457,59,0,0,0,0.0
20250703_chem3_35C_T00_1101,65,0,0,0,0.0
20250703_chem3_35C_T01_1437,58,0,0,0,0.0
20250711,19723,19723,19723,19723,1.0
20250716_chem4_28C_T00_1158,87,87,87,87,1.0
20250716_chem4_28C_T01_1400,94,94,94,94,1.0
20250716_chem4_34C_T00_1014,94,94,94,94,1.0
20250716_chem4_35C_T00_1045,91,91,91,91,1.0
20250721_chem5_28C_T00_1257,107,107,107,107,1.0
20250721_chem5_28C_T01_1401,107,107,107,107,1.0
20250721_chem5_35C_T00_1023,108,108,108,108,1.0
20250912,15572,15572,15572,15572,1.0
20251017_part1,6794,6794,6794,6794,1.0
20251017_part2,7559,7559,7559,7559,1.0
20251020,5216,5216,5216,5216,1.0
20251112,6991,6991,6991,6991,1.0
20251119,10440,10440,10440,10440,1.0
20251121,20857,20857,20857,20857,1.0
20251125,21934,21934,21934,21934,1.0
20251205,12291,12291,12291,12291,1.0
20251207_pbx,14760,14760,14760,14760,1.0
20251212,11437,11437,11437,11437,1.0
20260122,20098,20098,20098,20098,1.0
20260202,16943,16943,16943,16943,1.0
20260206,14700,14700,14700,14700,1.0
20260208,31680,31680,31680,31680,1.0
20260210,15892,15892,15892,15892,1.0
20260213,29010,29010,29010,29010,1.0
20260219,31713,31713,31713,31713,1.0
20260228,17012,17012,17012,17012,1.0
20260304,37409,37409,37409,37409,1.0
20260306,26979,26979,26979,26979,1.0
20260319,10269,10269,10269,10269,1.0
20260319_cilia_crispant_18hpf,92,92,92,92,1.0
20260319_cilia_crispant_24hpf,99,58,58,58,0.5858585858585859
20260319_cilia_crispant_30hpf,102,58,58,58,0.5686274509803921
20260324_cep290_24hpf_plate01,101,101,101,101,1.0
20260324_cep290_24hpf_plate02,101,69,69,69,0.6831683168316832
20260324_cep290_30hpf_plate01,98,98,98,98,1.0
20260324_cep290_30hpf_plate02,72,72,72,72,1.0
20260331_b9d2_18hpf_plate02,70,70,70,70,1.0
20260414_b9d2_14hpf_plate01,107,107,107,107,1.0
20260414_b9d2_30hpf_plate01,106,106,106,106,1.0
20260414_b9d2_30hpf_plate02,72,63,63,63,0.875
20260415_b9d2_30to48hpf_plate01_t02,109,109,109,109,1.0
20260415_b9d2_30to48hpf_plate02_t02,58,51,51,51,0.8793103448275862
20260415_cep290_18hpf_plate03,81,56,56,56,0.691358024691358
20260415_cep290_30to48hpf_plate02_t01,93,60,60,60,0.6451612903225806
20260416_cep290_30to48hpf_plate01_t02,109,109,109,109,1.0
20260416_cep290_30to48hpf_plate02_t02,70,59,59,59,0.8428571428571429
20260417_irx_pilot,4968,4968,0,0,1.0
20260418_irx_pilot,15251,15251,0,0,1.0
20260702_hotchem_24hpf_plate01,104,104,104,104,1.0
20260702_hotchem_24hpf_plate02,117,117,117,117,1.0
20260702_hotchem_30hpf_plate01,124,124,124,124,1.0
20260702_hotchem_30hpf_plate02,107,107,107,107,1.0
20260702_hotchem_36hpf_plate01,101,101,101,101,1.0
20260702_hotchem_36hpf_plate02,99,99,99,99,1.0
20260724_hotfish_24hpf_plate01,102,0,0,0,0.0
20260724_hotfish_24hpf_plate02,56,0,0,0,0.0
20260724_hotfish_30hpf_plate01,98,0,0,0,0.0
20260724_hotfish_30hpf_plate02,59,0,0,0,0.0
20260724_hotfish_36hpf_plate01,101,0,0,0,0.0
20260724_hotfish_36hpf_plate02,61,0,0,0,0.0
