path,matched_terms,line_numbers,role_class
results/mcolon/2024/20241216/test_gen_perform_metrics.py,predicted_stage_hpf,326|327,launch_or_analysis_script
results/mcolon/20250923/spline_fitting_v3.py,predicted_stage_hpf|time_window,10|11|31|38|465|584|585|586|590|591,launch_or_analysis_script
results/mcolon/20251010_sa_outlier_analysis/analyze_sa_outliers.py,predicted_stage_hpf,32|40|71|75|79|84|85|110|115|116,launch_or_analysis_script
results/mcolon/20251010_sa_outlier_analysis/apply_two_sided_qc.py,predicted_stage_hpf,59|60|141|146|152|154|170,launch_or_analysis_script
results/mcolon/20251010_sa_outlier_analysis/build_sa_reference.py,predicted_stage_hpf,5|101|102|109|132|133|252,launch_or_analysis_script
results/mcolon/20251010_sa_outlier_analysis/check_h07_early_stages.py,predicted_stage_hpf,2|40|41|65|112,launch_or_analysis_script
results/mcolon/20251010_sa_outlier_analysis/find_optimal_k_lower.py,predicted_stage_hpf,39|45|46|47|72|74,launch_or_analysis_script
results/mcolon/20251010_sa_outlier_analysis/tune_thresholds.py,predicted_stage_hpf,55|60|65|94|95|168|169|184|185,launch_or_analysis_script
results/mcolon/20251013/investigate_nan_sources.py,predicted_stage_hpf,144|146|280,launch_or_analysis_script
results/mcolon/20251013/robust_phenotype_emergence_detection.py,predicted_stage_hpf,81|95|1208|1216,launch_or_analysis_script
results/mcolon/20251014/class_imbalance_method_comparison.py,predicted_stage_hpf,79|956,launch_or_analysis_script
results/mcolon/20251014/investigate_cv_fold_issue.py,predicted_stage_hpf,36|172,launch_or_analysis_script
results/mcolon/20251014/robust_phenotype_emergence_classifaction.py,predicted_stage_hpf,93|107|904,launch_or_analysis_script
results/mcolon/20251016/config.py,predicted_stage_hpf,80,launch_or_analysis_script
results/mcolon/20251016/run_classification.py,predicted_stage_hpf,47,launch_or_analysis_script
results/mcolon/20251016/test_divergence.py,predicted_stage_hpf,48,launch_or_analysis_script
results/mcolon/20251016/utils/binning.py,predicted_stage_hpf,15|30,launch_or_analysis_script
results/mcolon/20251028/curvature_validation/visualize_curvature_metrics.py,predicted_stage_hpf,249,launch_or_analysis_script
results/mcolon/20251029_curvature_temporal_analysis/01_individual_trajectories.py,predicted_stage_hpf,72|73|89|154|157|167|171|182,launch_or_analysis_script
