axis,stratum,stratum_value,row_count,finite_count,missing_count
current_core_default,trajectory_kind,snapshot,668,0,668
nominal_clock,trajectory_kind,snapshot,668,668,0
legacy_mlp,trajectory_kind,snapshot,668,668,0
current_core_default,trajectory_kind,time_series,82808,82808,0
nominal_clock,trajectory_kind,time_series,82808,82808,0
legacy_mlp,trajectory_kind,time_series,82808,82808,0
current_core_default,temperature_c,22,29339,28671,668
nominal_clock,temperature_c,22,29339,29339,0
legacy_mlp,temperature_c,22,29339,29339,0
current_core_default,temperature_c,29,15819,15819,0
nominal_clock,temperature_c,29,15819,15819,0
legacy_mlp,temperature_c,29,15819,15819,0
current_core_default,temperature_c,30,38318,38318,0
nominal_clock,temperature_c,30,38318,38318,0
legacy_mlp,temperature_c,30,38318,38318,0
current_core_default,experiment_id,1,2913,2913,0
nominal_clock,experiment_id,1,2913,2913,0
legacy_mlp,experiment_id,1,2913,2913,0
current_core_default,experiment_id,10,1203,1203,0
nominal_clock,experiment_id,10,1203,1203,0
legacy_mlp,experiment_id,10,1203,1203,0
current_core_default,experiment_id,11,26,0,26
nominal_clock,experiment_id,11,26,26,0
legacy_mlp,experiment_id,11,26,26,0
current_core_default,experiment_id,12,22,0,22
nominal_clock,experiment_id,12,22,22,0
legacy_mlp,experiment_id,12,22,22,0
current_core_default,experiment_id,15,1198,1198,0
nominal_clock,experiment_id,15,1198,1198,0
legacy_mlp,experiment_id,15,1198,1198,0
current_core_default,experiment_id,17,2635,2635,0
nominal_clock,experiment_id,17,2635,2635,0
legacy_mlp,experiment_id,17,2635,2635,0
current_core_default,experiment_id,18,19,0,19
nominal_clock,experiment_id,18,19,19,0
legacy_mlp,experiment_id,18,19,19,0
current_core_default,experiment_id,19,40,0,40
nominal_clock,experiment_id,19,40,40,0
legacy_mlp,experiment_id,19,40,40,0
current_core_default,experiment_id,2,4117,4117,0
nominal_clock,experiment_id,2,4117,4117,0
legacy_mlp,experiment_id,2,4117,4117,0
current_core_default,experiment_id,20,2303,2303,0
nominal_clock,experiment_id,20,2303,2303,0
legacy_mlp,experiment_id,20,2303,2303,0
current_core_default,experiment_id,21,4601,4601,0
nominal_clock,experiment_id,21,4601,4601,0
legacy_mlp,experiment_id,21,4601,4601,0
current_core_default,experiment_id,22,944,944,0
nominal_clock,experiment_id,22,944,944,0
legacy_mlp,experiment_id,22,944,944,0
current_core_default,experiment_id,23,1416,1416,0
nominal_clock,experiment_id,23,1416,1416,0
legacy_mlp,experiment_id,23,1416,1416,0
current_core_default,experiment_id,24,2060,2060,0
nominal_clock,experiment_id,24,2060,2060,0
legacy_mlp,experiment_id,24,2060,2060,0
current_core_default,experiment_id,25,3739,3739,0
nominal_clock,experiment_id,25,3739,3739,0
legacy_mlp,experiment_id,25,3739,3739,0
current_core_default,experiment_id,26,4354,4354,0
nominal_clock,experiment_id,26,4354,4354,0
legacy_mlp,experiment_id,26,4354,4354,0
current_core_default,experiment_id,27,29,0,29
nominal_clock,experiment_id,27,29,29,0
legacy_mlp,experiment_id,27,29,29,0
current_core_default,experiment_id,28,3443,3443,0
nominal_clock,experiment_id,28,3443,3443,0
legacy_mlp,experiment_id,28,3443,3443,0
current_core_default,experiment_id,29,23,0,23
nominal_clock,experiment_id,29,23,23,0
legacy_mlp,experiment_id,29,23,23,0
current_core_default,experiment_id,3,3664,3664,0
nominal_clock,experiment_id,3,3664,3664,0
legacy_mlp,experiment_id,3,3664,3664,0
current_core_default,experiment_id,30,32,0,32
nominal_clock,experiment_id,30,32,32,0
legacy_mlp,experiment_id,30,32,32,0
current_core_default,experiment_id,31,52,0,52
nominal_clock,experiment_id,31,52,52,0
legacy_mlp,experiment_id,31,52,52,0
current_core_default,experiment_id,32,5434,5434,0
nominal_clock,experiment_id,32,5434,5434,0
legacy_mlp,experiment_id,32,5434,5434,0
current_core_default,experiment_id,33,6191,6191,0
nominal_clock,experiment_id,33,6191,6191,0
legacy_mlp,experiment_id,33,6191,6191,0
current_core_default,experiment_id,36,8816,8816,0
nominal_clock,experiment_id,36,8816,8816,0
legacy_mlp,experiment_id,36,8816,8816,0
current_core_default,experiment_id,37,51,0,51
nominal_clock,experiment_id,37,51,51,0
legacy_mlp,experiment_id,37,51,51,0
current_core_default,experiment_id,38,48,0,48
nominal_clock,experiment_id,38,48,48,0
legacy_mlp,experiment_id,38,48,48,0
current_core_default,experiment_id,39,56,0,56
nominal_clock,experiment_id,39,56,56,0
legacy_mlp,experiment_id,39,56,56,0
current_core_default,experiment_id,4,1996,1996,0
nominal_clock,experiment_id,4,1996,1996,0
legacy_mlp,experiment_id,4,1996,1996,0
current_core_default,experiment_id,40,54,0,54
nominal_clock,experiment_id,40,54,54,0
legacy_mlp,experiment_id,40,54,54,0
current_core_default,experiment_id,42,7003,7003,0
nominal_clock,experiment_id,42,7003,7003,0
legacy_mlp,experiment_id,42,7003,7003,0
current_core_default,experiment_id,43,44,0,44
nominal_clock,experiment_id,43,44,44,0
legacy_mlp,experiment_id,43,44,44,0
current_core_default,experiment_id,44,46,0,46
nominal_clock,experiment_id,44,46,46,0
legacy_mlp,experiment_id,44,46,46,0
current_core_default,experiment_id,45,47,0,47
nominal_clock,experiment_id,45,47,47,0
legacy_mlp,experiment_id,45,47,47,0
current_core_default,experiment_id,46,79,0,79
nominal_clock,experiment_id,46,79,79,0
legacy_mlp,experiment_id,46,79,79,0
current_core_default,experiment_id,5,3586,3586,0
nominal_clock,experiment_id,5,3586,3586,0
legacy_mlp,experiment_id,5,3586,3586,0
current_core_default,experiment_id,6,3194,3194,0
nominal_clock,experiment_id,6,3194,3194,0
legacy_mlp,experiment_id,6,3194,3194,0
current_core_default,experiment_id,7,3163,3163,0
nominal_clock,experiment_id,7,3163,3163,0
legacy_mlp,experiment_id,7,3163,3163,0
current_core_default,experiment_id,8,1998,1998,0
nominal_clock,experiment_id,8,1998,1998,0
legacy_mlp,experiment_id,8,1998,1998,0
current_core_default,experiment_id,9,2837,2837,0
nominal_clock,experiment_id,9,2837,2837,0
legacy_mlp,experiment_id,9,2837,2837,0
