axis,window_hpf,age_eligible_ordered_other_pairs,ordered_pair_membership_changes_vs_nominal,scientific_legality_status
plate_metadata.stage_hpf,1.5,525032,0,not_identifiable_without_relation_mapping_and_split
plate_metadata.stage_hpf,3.0,525032,0,not_identifiable_without_relation_mapping_and_split
predicted_stage_hpf_offset_-3,1.5,525032,0,not_identifiable_without_relation_mapping_and_split
predicted_stage_hpf_offset_-3,3.0,525032,0,not_identifiable_without_relation_mapping_and_split
predicted_stage_hpf_offset_-1.5,1.5,525032,0,not_identifiable_without_relation_mapping_and_split
predicted_stage_hpf_offset_-1.5,3.0,525032,0,not_identifiable_without_relation_mapping_and_split
predicted_stage_hpf_offset_+0,1.5,525032,0,not_identifiable_without_relation_mapping_and_split
predicted_stage_hpf_offset_+0,3.0,525032,0,not_identifiable_without_relation_mapping_and_split
predicted_stage_hpf_offset_+1.5,1.5,525032,0,not_identifiable_without_relation_mapping_and_split
predicted_stage_hpf_offset_+1.5,3.0,525032,0,not_identifiable_without_relation_mapping_and_split
predicted_stage_hpf_offset_+3,1.5,525032,0,not_identifiable_without_relation_mapping_and_split
predicted_stage_hpf_offset_+3,3.0,525032,0,not_identifiable_without_relation_mapping_and_split
