snip_id,experiment_id,temperature_c,trajectory_kind,alternative_axis,window_hpf,baseline_candidate_count,alternative_candidate_count,intersection_count,union_count,jaccard
20230525_A03_e00_t0001,1,22,time_series,nominal_clock,1.5,1568,2449,874,3143,0.2780782691695832
20230525_B08_e00_t0028,1,22,time_series,nominal_clock,1.5,2117,2111,623,3605,0.17281553398058253
20230525_D05_e00_t0047,1,22,time_series,nominal_clock,1.5,1086,1108,322,1872,0.172008547008547
20230525_F05_e00_t0054,1,22,time_series,nominal_clock,1.5,887,930,183,1634,0.11199510403916768
20230525_H01_e00_t0059,1,22,time_series,nominal_clock,1.5,767,706,160,1313,0.12185833968012186
20230531_A12_e00_t0007,2,22,time_series,nominal_clock,1.5,2935,3188,1886,4237,0.44512626858626386
20230531_C06_e00_t0002,2,22,time_series,nominal_clock,1.5,2524,2811,1657,3678,0.45051658510059817
20230531_D08_e00_t0028,2,22,time_series,nominal_clock,1.5,1910,2265,886,3289,0.26938279112192154
20230531_E07_e00_t0038,2,22,time_series,nominal_clock,1.5,1405,1721,571,2555,0.22348336594911938
20230531_F11_e00_t0026,2,22,time_series,nominal_clock,1.5,2032,2336,989,3379,0.2926901450133175
20230531_H01_e00_t0030,2,22,time_series,nominal_clock,1.5,1862,2207,829,3240,0.2558641975308642
20230602_A05_e00_t0091,3,22,time_series,nominal_clock,1.5,638,148,123,663,0.18552036199095023
20230602_B07_e00_t0004,3,22,time_series,nominal_clock,1.5,2935,3356,1175,5116,0.22967161845191555
20230602_C12_e00_t0058,3,22,time_series,nominal_clock,1.5,1071,964,262,1773,0.14777213761985336
20230602_E01_e00_t0044,3,22,time_series,nominal_clock,1.5,1472,1315,547,2240,0.24419642857142856
20230602_F09_e00_t0019,3,22,time_series,nominal_clock,1.5,2300,2601,1354,3547,0.3817310403157598
20230602_H07_e00_t0061,3,22,time_series,nominal_clock,1.5,1041,928,253,1716,0.14743589743589744
20230608_B09_e00_t0002,4,22,time_series,nominal_clock,1.5,2491,2389,1441,3439,0.4190171561500436
20230608_D10_e00_t0020,4,22,time_series,nominal_clock,1.5,2611,2739,1490,3860,0.3860103626943005
20230608_G06_e01_t0029,4,22,time_series,nominal_clock,1.5,2338,2562,1219,3681,0.33116001086661234
20230613_B01_e00_t0006,5,22,time_series,nominal_clock,1.5,501,568,501,568,0.8820422535211268
20230613_C04_e00_t0035,5,22,time_series,nominal_clock,1.5,415,459,178,696,0.2557471264367816
20230613_D06_e00_t0039,5,22,time_series,nominal_clock,1.5,423,468,174,717,0.24267782426778242
20230613_E08_e00_t0050,5,22,time_series,nominal_clock,1.5,179,438,179,438,0.408675799086758
20230613_G04_e00_t0057,5,22,time_series,nominal_clock,1.5,161,223,161,223,0.7219730941704036
20230615_A02_e00_t0025,6,22,time_series,nominal_clock,1.5,2536,2803,1513,3826,0.3954521693674856
20230615_B09_e00_t0024,6,22,time_series,nominal_clock,1.5,2617,2891,1555,3953,0.39337212243865416
20230615_D04_e00_t0003,6,22,time_series,nominal_clock,1.5,690,546,457,779,0.5866495507060334
20230615_E07_e00_t0034,6,22,time_series,nominal_clock,1.5,2171,2510,1081,3600,0.30027777777777775
20230615_F12_e00_t0016,6,22,time_series,nominal_clock,1.5,2865,3260,1927,4198,0.4590281086231539
20230620_A02_e00_t0002,7,22,time_series,nominal_clock,1.5,56,68,56,68,0.8235294117647058
20230620_B09_e00_t0012,7,22,time_series,nominal_clock,1.5,63,77,63,77,0.8181818181818182
20230620_D02_e00_t0049,7,22,time_series,nominal_clock,1.5,90,110,90,110,0.8181818181818182
20230620_E09_e00_t0037,7,22,time_series,nominal_clock,1.5,63,77,63,77,0.8181818181818182
20230620_G01_e00_t0031,7,22,time_series,nominal_clock,1.5,98,120,98,120,0.8166666666666667
20230622_B01_e00_t0041,8,22,time_series,nominal_clock,1.5,56,66,41,81,0.5061728395061729
20230622_D12_e00_t0005,8,22,time_series,nominal_clock,1.5,103,113,103,113,0.911504424778761
20230622_G04_e00_t0034,8,22,time_series,nominal_clock,1.5,2201,2355,916,3640,0.25164835164835164
20230627_A09_e00_t0008,9,22,time_series,nominal_clock,1.5,2468,2752,1661,3559,0.46670413037370045
20230627_C08_e00_t0033,9,22,time_series,nominal_clock,1.5,2185,2189,678,3696,0.18344155844155843
20230627_E09_e00_t0006,9,22,time_series,nominal_clock,1.5,2134,1970,1324,2780,0.4762589928057554
