experiment_order,experiment_id,path,stage_schema,row_count,unique_snip_count,unique_embryo_count,finite_stage_count,missing_stage_count,stage_min,stage_max,model_versions,unexpected_status_count,max_snips_per_embryo,trajectory_kind,ordered_finite_step_count,negative_stage_step_count,zero_stage_step_count,median_stage_step_hpf,p95_stage_step_hpf,max_stage_step_hpf
0,20250612_24hpf_ctrl_atf6,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250612_24hpf_ctrl_atf6/stage_predictions/20250612_24hpf_ctrl_atf6_stage_predictions.csv,with_status,97,97,97,97,0,24.0,24.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
1,20250612_24hpf_wfs1_ctcf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250612_24hpf_wfs1_ctcf/stage_predictions/20250612_24hpf_wfs1_ctcf_stage_predictions.csv,with_status,96,96,96,96,0,24.0,24.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
2,20250612_30hpf_ctrl_atf6,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250612_30hpf_ctrl_atf6/stage_predictions/20250612_30hpf_ctrl_atf6_stage_predictions.csv,with_status,97,97,97,97,0,30.0,30.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
3,20250612_30hpf_wfs1_ctcf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250612_30hpf_wfs1_ctcf/stage_predictions/20250612_30hpf_wfs1_ctcf_stage_predictions.csv,with_status,97,97,97,97,0,30.0,30.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
4,20250612_36hpf_ctrl_atf6,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250612_36hpf_ctrl_atf6/stage_predictions/20250612_36hpf_ctrl_atf6_stage_predictions.csv,with_status,102,102,102,102,0,36.0,36.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
5,20250612_36hpf_wfs1_ctcf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250612_36hpf_wfs1_ctcf/stage_predictions/20250612_36hpf_wfs1_ctcf_stage_predictions.csv,with_status,97,97,97,97,0,36.0,36.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
6,20240813_24hpf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20240813_24hpf/stage_predictions/20240813_24hpf_stage_predictions.csv,with_status,48,48,48,48,0,24.0,24.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
7,20240813_30hpf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20240813_30hpf/stage_predictions/20240813_30hpf_stage_predictions.csv,with_status,50,50,50,50,0,30.0,30.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
8,20240813_36hpf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20240813_36hpf/stage_predictions/20240813_36hpf_stage_predictions.csv,with_status,50,50,50,50,0,36.0,36.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
10,20260702_hotchem_24hpf_plate01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260702_hotchem_24hpf_plate01/stage_predictions/20260702_hotchem_24hpf_plate01_stage_predictions.csv,with_status,104,104,104,104,0,24.71,25.25,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
