experiment_id,rows,unique_snip_ids,duplicate_snip_rows,schema_variant,status_values,predicted_status_rows,finite_stage_rows,stage_min_hpf,stage_max_hpf,model_versions,finite_formula_input_rows,max_abs_formula_residual_hpf,physical_embryos,multi_observation_physical_embryos,comparable_monotonic_transitions,monotonicity_violations,collection_provenance_present
20260804_seahub_CHEM13_shard001,96,96,0,S01_status_explicit,predicted,96,96,72.0,96.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
20260804_seahub_CHEM13_shard002,88,88,0,S01_status_explicit,predicted,88,88,96.0,96.0,kimmel1995_temp_rate_v1,88,0.0,88,0,0,0,False
20260804_seahub_CHEM15_shard001,96,96,0,S01_status_explicit,predicted,96,96,14.0,18.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
20260804_seahub_CHEM15_shard002,96,96,0,S01_status_explicit,predicted,96,96,24.0,48.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
20260804_seahub_CHEM15_shard003,96,96,0,S01_status_explicit,predicted,96,96,48.0,48.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
20260804_seahub_CHEM15_shard004,96,96,0,S01_status_explicit,predicted,96,96,72.0,96.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
20260804_seahub_CHEM15_shard005,48,48,0,S01_status_explicit,predicted,48,48,96.0,96.0,kimmel1995_temp_rate_v1,48,0.0,48,0,0,0,False
20260804_seahub_CHEM16_shard001,96,96,0,S01_status_explicit,predicted,96,96,14.0,24.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
20260804_seahub_CHEM16_shard002,96,96,0,S01_status_explicit,predicted,96,96,24.0,24.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
20260804_seahub_CHEM16_shard003,96,96,0,S01_status_explicit,predicted,96,96,24.0,48.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
20260804_seahub_CHEM16_shard004,96,96,0,S01_status_explicit,predicted,96,96,48.0,48.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
20260804_seahub_CHEM16_shard005,96,96,0,S01_status_explicit,predicted,96,96,48.0,48.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
20260804_seahub_CHEM16_shard006,96,96,0,S01_status_explicit,predicted,96,96,48.0,72.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
20260804_seahub_CHEM16_shard007,48,48,0,S01_status_explicit,predicted,48,48,72.0,72.0,kimmel1995_temp_rate_v1,48,0.0,48,0,0,0,False
20260804_seahub_CHEM17_shard001,96,96,0,S01_status_explicit,predicted,96,96,14.0,24.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
20260804_seahub_CHEM17_shard002,96,96,0,S01_status_explicit,predicted,96,96,24.0,72.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
20260804_seahub_CHEM17_shard003,32,32,0,S01_status_explicit,predicted,32,32,72.0,72.0,kimmel1995_temp_rate_v1,32,0.0,32,0,0,0,False
20260804_seahub_GENE10_shard001,96,96,0,S01_status_explicit,predicted,96,96,14.0,14.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
20260804_seahub_GENE10_shard002,96,96,0,S01_status_explicit,predicted,96,96,18.0,18.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
20260804_seahub_GENE10_shard003,96,96,0,S01_status_explicit,predicted,96,96,24.0,24.0,kimmel1995_temp_rate_v1,96,0.0,96,0,0,0,False
