experiment_id,stage_schema,effective_status,row_count,status_declared_by_artifact
20250612_24hpf_ctrl_atf6,with_status,predicted,97,True
20250612_24hpf_wfs1_ctcf,with_status,predicted,96,True
20250612_30hpf_ctrl_atf6,with_status,predicted,97,True
20250612_30hpf_wfs1_ctcf,with_status,predicted,97,True
20250612_36hpf_ctrl_atf6,with_status,predicted,102,True
20250612_36hpf_wfs1_ctcf,with_status,predicted,97,True
20240813_24hpf,with_status,predicted,48,True
20240813_30hpf,with_status,predicted,50,True
20240813_36hpf,with_status,predicted,50,True
20260702_hotchem_24hpf_plate01,with_status,predicted,104,True
20260702_hotchem_24hpf_plate02,with_status,predicted,117,True
20260702_hotchem_30hpf_plate01,with_status,predicted,124,True
20260702_hotchem_30hpf_plate02,with_status,predicted,107,True
20260702_hotchem_36hpf_plate01,with_status,predicted,101,True
20260702_hotchem_36hpf_plate02,with_status,predicted,99,True
20260324_cep290_24hpf_plate01,with_status,predicted,101,True
20260324_cep290_24hpf_plate02,with_status,predicted,69,True
20260324_cep290_24hpf_plate02,with_status,missing_start_age_hpf,32,True
20260324_cep290_30hpf_plate01,with_status,predicted,98,True
20260324_cep290_30hpf_plate02,with_status,predicted,72,True
20260331_b9d2_18hpf_plate02,with_status,predicted,70,True
20260414_b9d2_14hpf_plate01,with_status,predicted,107,True
20260414_b9d2_30hpf_plate01,with_status,predicted,106,True
20260414_b9d2_30hpf_plate02,with_status,predicted,63,True
20260414_b9d2_30hpf_plate02,with_status,missing_start_age_hpf,9,True
20260415_b9d2_30to48hpf_plate01_t02,with_status,predicted,109,True
20260415_b9d2_30to48hpf_plate02_t02,with_status,predicted,51,True
20260415_b9d2_30to48hpf_plate02_t02,with_status,missing_start_age_hpf,7,True
20260415_cep290_18hpf_plate03,with_status,predicted,56,True
20260415_cep290_18hpf_plate03,with_status,missing_start_age_hpf,25,True
20260415_cep290_30to48hpf_plate02_t01,with_status,predicted,60,True
20260415_cep290_30to48hpf_plate02_t01,with_status,missing_start_age_hpf,33,True
20230531,with_status,predicted,7846,True
20230602,with_status,predicted,8998,True
20230613,with_status,predicted,5421,True
20230615,with_status,predicted,4216,True
20230620,with_status,predicted,5460,True
20230622,with_status,predicted,3582,True
20230627,with_status,predicted,4193,True
20230629,with_status,predicted,3918,True
20240509_18ss,with_status,predicted,25,True
20240509_24hpf,with_status,predicted,32,True
20240510,with_status,missing_start_age_hpf,59,True
20240717,with_status,predicted,68,True
20240718,with_status,predicted,64,True
20240718,with_status,missing_start_age_hpf,35,True
20240724,with_status,predicted,56,True
20240725,with_status,predicted,64,True
20240726,with_status,predicted,60,True
20250622_chem_28C_T00_1425,with_status,predicted,91,True
20250622_chem_28C_T01_1658,with_status,predicted,86,True
20250622_chem_34C_T00_1256,with_status,predicted,78,True
20250622_chem_34C_T01_1632,with_status,predicted,79,True
20250622_chem_35C_T00_1223_check,with_status,predicted,79,True
20250622_chem_35C_T01_1605,with_status,predicted,85,True
20250623_chem_28C_T02_1259,with_status,predicted,86,True
20250623_chem_34C_T02_1231,with_status,predicted,83,True
20250624_chem02_28C_T00_1356,with_status,predicted,104,True
20250624_chem02_28C_T01_1808,with_status,predicted,97,True
20250624_chem02_34C_T00_1243,with_status,predicted,78,True
20250624_chem02_34C_T01_1739,with_status,predicted,75,True
20250624_chem02_35C_T00_1216,with_status,predicted,81,True
20250624_chem02_35C_T01_1711,with_status,predicted,84,True
20250625_chem02_28C_T02_1332,with_status,predicted,96,True
20250625_chem02_34C_T02_1301,with_status,predicted,82,True
20250625_chem02_35C_T02_1228,with_status,predicted,84,True
20250703_chem3_28C_T00_1325,with_status,missing_start_age_hpf,61,True
20250703_chem3_34C_T00_1131,with_status,missing_start_age_hpf,58,True
20250703_chem3_34C_T01_1457,with_status,missing_start_age_hpf,59,True
20250703_chem3_35C_T00_1101,with_status,missing_start_age_hpf,65,True
20250703_chem3_35C_T01_1437,with_status,missing_start_age_hpf,58,True
20250716_chem4_28C_T00_1158,with_status,predicted,87,True
20250716_chem4_28C_T01_1400,with_status,predicted,94,True
20250716_chem4_34C_T00_1014,with_status,predicted,94,True
20250716_chem4_35C_T00_1045,with_status,predicted,91,True
20250721_chem5_28C_T00_1257,with_status,predicted,107,True
20250721_chem5_28C_T01_1401,with_status,predicted,107,True
20250721_chem5_35C_T00_1023,with_status,predicted,108,True
20260319_cilia_crispant_18hpf,with_status,predicted,92,True
20260319_cilia_crispant_24hpf,with_status,predicted,58,True
20260319_cilia_crispant_24hpf,with_status,missing_start_age_hpf,41,True
20260319_cilia_crispant_30hpf,with_status,predicted,58,True
20260319_cilia_crispant_30hpf,with_status,missing_start_age_hpf,44,True
20260416_cep290_30to48hpf_plate01_t02,with_status,predicted,109,True
20260416_cep290_30to48hpf_plate02_t02,with_status,predicted,59,True
20260416_cep290_30to48hpf_plate02_t02,with_status,missing_start_age_hpf,11,True
20250501,with_status,predicted,24718,True
20250512,with_status,predicted,24569,True
20250515_part2,with_status,predicted,3510,True
20250519,with_status,predicted,4179,True
20250711,with_status,predicted,19723,True
20250912,with_status,predicted,15572,True
20251017_part1,with_status,predicted,6794,True
20251017_part2,with_status,predicted,7559,True
20251020,with_status,predicted,5216,True
20251112,with_status,predicted,6991,True
20251119,with_status,predicted,10440,True
20251121,with_status,predicted,20857,True
20251125,with_status,predicted,21934,True
20251205,with_status,predicted,12291,True
20251207_pbx,with_status,predicted,14760,True
20251212,with_status,predicted,11437,True
20260122,with_status,predicted,20098,True
20260202,with_status,predicted,16943,True
20260206,with_status,predicted,14700,True
20260208,with_status,predicted,31680,True
20260210,with_status,predicted,15892,True
20260213,with_status,predicted,29010,True
20260219,with_status,predicted,31713,True
20260228,with_status,predicted,17012,True
20260304,with_status,predicted,37409,True
20260306,with_status,predicted,26979,True
20260319,with_status,predicted,10269,True
20260417_irx_pilot,no_status,unavailable,4968,False
20260418_irx_pilot,no_status,unavailable,15251,False
20260724_hotfish_24hpf_plate01,with_status,missing_start_age_hpf,102,True
20260724_hotfish_30hpf_plate01,with_status,missing_start_age_hpf,98,True
20260724_hotfish_36hpf_plate01,with_status,missing_start_age_hpf,101,True
