experiment_id,stage_prediction_status,model_version,rows,finite_stage_rows
20260804_seahub_CHEM13_shard001,predicted,kimmel1995_temp_rate_v1,96,96
20260804_seahub_CHEM13_shard002,predicted,kimmel1995_temp_rate_v1,88,88
20260804_seahub_CHEM15_shard001,predicted,kimmel1995_temp_rate_v1,96,96
20260804_seahub_CHEM15_shard002,predicted,kimmel1995_temp_rate_v1,96,96
20260804_seahub_CHEM15_shard003,predicted,kimmel1995_temp_rate_v1,96,96
20260804_seahub_CHEM15_shard004,predicted,kimmel1995_temp_rate_v1,96,96
20260804_seahub_CHEM15_shard005,predicted,kimmel1995_temp_rate_v1,48,48
20260804_seahub_CHEM16_shard001,predicted,kimmel1995_temp_rate_v1,96,96
20260804_seahub_CHEM16_shard002,predicted,kimmel1995_temp_rate_v1,96,96
20260804_seahub_CHEM16_shard003,predicted,kimmel1995_temp_rate_v1,96,96
20260804_seahub_CHEM16_shard004,predicted,kimmel1995_temp_rate_v1,96,96
20260804_seahub_CHEM16_shard005,predicted,kimmel1995_temp_rate_v1,96,96
20260804_seahub_CHEM16_shard006,predicted,kimmel1995_temp_rate_v1,96,96
20260804_seahub_CHEM16_shard007,predicted,kimmel1995_temp_rate_v1,48,48
20260804_seahub_CHEM17_shard001,predicted,kimmel1995_temp_rate_v1,96,96
20260804_seahub_CHEM17_shard002,predicted,kimmel1995_temp_rate_v1,96,96
20260804_seahub_CHEM17_shard003,predicted,kimmel1995_temp_rate_v1,32,32
20260804_seahub_GENE10_shard001,predicted,kimmel1995_temp_rate_v1,96,96
20260804_seahub_GENE10_shard002,predicted,kimmel1995_temp_rate_v1,96,96
20260804_seahub_GENE10_shard003,predicted,kimmel1995_temp_rate_v1,96,96
