experiment_id,scenario,stage_shift_hpf,joined_row_count,applicable_row_count,flagged_count,flagged_fraction,flag_flip_vs_recomputed_baseline_count,stored_flag_comparable_count,stored_vs_recomputed_baseline_disagreement_count
20250612_24hpf_ctrl_atf6,additive_stage_offset,-3.0,97,97,23,0.23711340206185566,21,97,0
20250612_24hpf_ctrl_atf6,additive_stage_offset,-1.5,97,97,2,0.020618556701030927,0,97,0
20250612_24hpf_ctrl_atf6,additive_stage_offset,-0.5,97,97,2,0.020618556701030927,0,97,0
20250612_24hpf_ctrl_atf6,additive_stage_offset,0.0,97,97,2,0.020618556701030927,0,97,0
20250612_24hpf_ctrl_atf6,additive_stage_offset,0.5,97,97,3,0.030927835051546393,1,97,0
20250612_24hpf_ctrl_atf6,additive_stage_offset,1.5,97,97,10,0.10309278350515463,8,97,0
20250612_24hpf_ctrl_atf6,additive_stage_offset,3.0,97,97,22,0.2268041237113402,20,97,0
20260417_irx_pilot,additive_stage_offset,-3.0,4968,4968,333,0.06702898550724638,206,4968,0
20260417_irx_pilot,additive_stage_offset,-1.5,4968,4968,364,0.07326892109500806,161,4968,0
20260417_irx_pilot,additive_stage_offset,-0.5,4968,4968,400,0.08051529790660225,89,4968,0
20260417_irx_pilot,additive_stage_offset,0.0,4968,4968,425,0.0855475040257649,0,4968,0
20260417_irx_pilot,additive_stage_offset,0.5,4968,4968,476,0.09581320450885668,117,4968,0
20260417_irx_pilot,additive_stage_offset,1.5,4968,4968,607,0.12218196457326892,318,4968,0
20260417_irx_pilot,additive_stage_offset,3.0,4968,4968,894,0.17995169082125603,663,4968,0
20260418_irx_pilot,additive_stage_offset,-3.0,15251,15251,8566,0.5616680873385351,1556,15251,0
20260418_irx_pilot,additive_stage_offset,-1.5,15251,15251,9177,0.6017310340305554,957,15251,0
20260418_irx_pilot,additive_stage_offset,-0.5,15251,15251,9749,0.6392367713592552,357,15251,0
20260418_irx_pilot,additive_stage_offset,0.0,15251,15251,10050,0.6589731820864205,0,15251,0
20260418_irx_pilot,additive_stage_offset,0.5,15251,15251,10312,0.6761523834502655,330,15251,0
20260418_irx_pilot,additive_stage_offset,1.5,15251,15251,10716,0.7026424496754311,770,15251,0
20260418_irx_pilot,additive_stage_offset,3.0,15251,15251,11229,0.7362795882237231,1303,15251,0
