review_id,experiment_id,snip_id,physical_embryo_id,time_index,is_valid_snip,asset_key_status,asset_keys_json,processed_snip_path,embryo_mask_snip_path,boundary_side,boundary_absolute_distance,lower_normalized_distance,area_um2,lower_bound_um2,predicted_stage_hpf,stage_bin,genotype,chem_perturbation,control_status_raw,temperature,shape_class,aspect_ratio,circularity,too_small_track_class,too_small_run_length,resolved_surface_area_qc_applicability,qc_fail_reasons,usable_embryo_label,mask_quality_label,pose_label,reviewer_notes
SA-001,20230615,20230615_E09_e01_BF_t0030,20230615_E09_e01,30,True,unavailable_source_schema,,object_extraction/20230615/snips/per_well/20230615_E09/snips/20230615_E09_e01/20230615_E09_e01_BF_t0030.png,object_extraction/20230615/snips/per_well/20230615_E09/snips/20230615_E09_e01/20230615_E09_e01_BF_t0030_embryo.png,above_lower,4.137184874562445e-05,4.137184874562445e-05,449237.02489487606,449218.43989752687,23.88273671875,18-<24,wik,,unavailable,22.0,compact,1.248528168822058,0.5556306268444036,not_too_small,0,exclusion,,,,,
SA-002,20260304,20260304_F07_e01_BF_t0134,20260304_F07_e01,134,True,unavailable_source_schema,,object_extraction/20260304/snips/per_well/20260304_F07/snips/20260304_F07_e01/20260304_F07_e01_BF_t0134.png,object_extraction/20260304/snips/per_well/20260304_F07/snips/20260304_F07_e01/20260304_F07_e01_BF_t0134_embryo.png,above_lower,8.079091532305791e-05,8.079091532305791e-05,883094.3794550836,883023.0392154941,59.800339705224616,48-<72,pbx1b_pbx4_crispant,,unavailable,30.0,elongated_or_thin,5.368013143090067,0.11828713243310122,not_too_small,0,exclusion,edge_flag|focus_flag,,,,
SA-003,20251125,20251125_H07_e01_BF_t0141,20251125_H07_e01,141,True,unavailable_source_schema,,object_extraction/20251125/snips/per_well/20251125_H07/snips/20251125_H07_e01/20251125_H07_e01_BF_t0141.png,object_extraction/20251125/snips/per_well/20251125_H07/snips/20251125_H07_e01/20251125_H07_e01_BF_t0141_embryo.png,above_lower,9.773780737391069e-05,9.773780737391069e-05,890609.7209662138,890522.683231738,63.73691881176758,48-<72,b9d2_heterozygous,,unavailable,30.0,elongated_or_thin,5.634945770940493,0.11732883993688502,not_too_small,0,exclusion,focus_flag,,,,
SA-004,20260206,20260206_C10_e01_BF_t0130,20260206_C10_e01,130,True,unavailable_source_schema,,object_extraction/20260206/snips/per_well/20260206_C10/snips/20260206_C10_e01/20260206_C10_e01_BF_t0130.png,object_extraction/20260206/snips/per_well/20260206_C10/snips/20260206_C10_e01/20260206_C10_e01_BF_t0130_embryo.png,above_lower,0.00017496376928011401,0.00017496376928011401,875349.4025088911,875196.2748697799,57.783179556762704,48-<72,b9d2_unknown,,unavailable,30.0,compact,1.4552524025022282,0.30363327909791427,not_too_small,0,exclusion,viability_dead_flag|persistence_dead_flag|focus_flag,,,,
SA-005,20230629,20230629_G05_e01_BF_t0013,20230629_G05_e01,13,True,unavailable_source_schema,,object_extraction/20230629/snips/per_well/20230629_G05/snips/20230629_G05_e01/20230629_G05_e01_BF_t0013.png,object_extraction/20230629/snips/per_well/20230629_G05/snips/20230629_G05_e01/20230629_G05_e01_BF_t0013_embryo.png,above_lower,0.00020589175382726063,0.00020589175382726063,510684.572288631,510579.4481905749,20.80984118923611,18-<24,wik,Fgf_100,unavailable,22.0,compact,1.4198895419640158,0.45684006313371156,not_too_small,0,exclusion,viability_dead_flag|persistence_dead_flag|focus_flag,,,,
SA-006,20260228,20260228_B02_e01_BF_t0115,20260228_B02_e01,115,True,unavailable_source_schema,,object_extraction/20260228/snips/per_well/20260228_B02/snips/20260228_B02_e01/20260228_B02_e01_BF_t0115.png,object_extraction/20260228/snips/per_well/20260228_B02/snips/20260228_B02_e01/20260228_B02_e01_BF_t0115_embryo.png,above_lower,0.0002248460165523105,0.0002248460165523105,944667.9899747462,944455.632887881,73.36246871918947,>=72,tmem67_heterozygous,,unavailable,30.0,elongated_or_thin,5.269494385223789,0.171521423653328,not_too_small,0,exclusion,focus_flag,,,,
SA-007,20260210,20260210_C05_e01_BF_t0074,20260210_C05_e01,74,True,unavailable_source_schema,,object_extraction/20260210/snips/per_well/20260210_C05/snips/20260210_C05_e01/20260210_C05_e01_BF_t0074.png,object_extraction/20260210/snips/per_well/20260210_C05/snips/20260210_C05_e01/20260210_C05_e01_BF_t0074_embryo.png,above_lower,0.00024395980877107035,0.00024395980877107035,890275.7057879413,890058.5672700751,63.17101074272461,48-<72,cep290_homozyous,,unavailable,30.0,elongated_or_thin,2.457798527327103,0.07953337154180624,not_too_small,0,exclusion,focus_flag,,,,
SA-008,20260208,20260208_B05_e01_BF_t0078,20260208_B05_e01,78,True,unavailable_source_schema,,object_extraction/20260208/snips/per_well/20260208_B05/snips/20260208_B05_e01/20260208_B05_e01_BF_t0078.png,object_extraction/20260208/snips/per_well/20260208_B05/snips/20260208_B05_e01/20260208_B05_e01_BF_t0078_embryo.png,above_lower,0.0003258584441766869,0.0003258584441766869,459208.2422786978,459058.6541398739,18.770523293530275,18-<24,cep290_unkown,,unavailable,30.0,compact,1.1685317038619092,0.5366254059143559,not_too_small,0,exclusion,persistence_dead_flag,,,,
SA-009,20260210,20260210_F09_e01_BF_t0147,20260210_F09_e01,147,True,unavailable_source_schema,,object_extraction/20260210/snips/per_well/20260210_F09/snips/20260210_F09_e01/20260210_F09_e01_BF_t0147.png,object_extraction/20260210/snips/per_well/20260210_F09/snips/20260210_F09_e01/20260210_F09_e01_BF_t0147_embryo.png,above_lower,0.0003498870901097332,0.0003498870901097332,939490.7547115232,939162.1539983195,84.03566173586425,>=72,cep290_homozyous,,unavailable,30.0,elongated_or_thin,5.0768247715124675,0.17628516684955992,not_too_small,0,exclusion,focus_flag,,,,
SA-010,20250515_part2,20250515_part2_D07_e01_BF_t0006,20250515_part2_D07_e01,6,True,unavailable_source_schema,,object_extraction/20250515_part2/snips/per_well/20250515_part2_D07/snips/20250515_part2_D07_e01/20250515_part2_D07_e01_BF_t0006.png,object_extraction/20250515_part2/snips/per_well/20250515_part2_D07/snips/20250515_part2_D07_e01/20250515_part2_D07_e01_BF_t0006_embryo.png,above_lower,0.0003585488346667547,0.0003585488346667547,942277.693855234,941939.9623793968,109.39597320881349,>=72,cep290_wildtype,,unavailable,30.0,elongated_or_thin,4.07281471491187,0.1170615604231883,not_too_small,0,exclusion,focus_flag,,,,
SA-011,20260210,20260210_E04_e01_BF_t0023,20260210_E04_e01,23,True,unavailable_source_schema,,object_extraction/20260210/snips/per_well/20260210_E04/snips/20260210_E04_e01/20260210_E04_e01_BF_t0023.png,object_extraction/20260210/snips/per_well/20260210_E04/snips/20260210_E04_e01/20260210_E04_e01_BF_t0023_embryo.png,above_lower,0.00039000038504783747,0.00039000038504783747,849181.4008861085,848850.3489231805,48.5903806875,48-<72,cep290_wildtype,,unavailable,30.0,elongated_or_thin,2.213328324939733,0.2901787250285727,not_too_small,0,exclusion,,,,,
SA-012,20260418_irx_pilot,20260418_irx_pilot_E04_e01_BF_t0066,20260418_irx_pilot_E04_e01,66,True,unavailable_source_schema,,object_extraction/20260418_irx_pilot/snips/per_well/20260418_irx_pilot_E04/snips/20260418_irx_pilot_E04_e01/20260418_irx_pilot_E04_e01_BF_t0066.png,object_extraction/20260418_irx_pilot/snips/per_well/20260418_irx_pilot_E04/snips/20260418_irx_pilot_E04_e01/20260418_irx_pilot_E04_e01_BF_t0066_embryo.png,above_lower,0.0004295390341941381,0.0004295390341941381,875036.2632792607,874660.5624260285,59.924196669872536,48-<72,irx6a_crispant,,unavailable,28.5,compact,1.7708175857789414,0.18771093369255767,not_too_small,0,exclusion,persistence_dead_flag|focus_flag,,,,
SA-013,20230620,20230620_B07_e01_BF_t0064,20230620_B07_e01,64,True,unavailable_source_schema,,object_extraction/20230620/snips/per_well/20230620_B07/snips/20230620_B07_e01/20230620_B07_e01_BF_t0064.png,object_extraction/20230620/snips/per_well/20230620_B07/snips/20230620_B07_e01/20230620_B07_e01_BF_t0064_embryo.png,above_lower,0.0005724212469014918,0.0005724212469014918,520236.6688579264,519939.0447016455,26.75654778645833,24-<36,H2B-mScarlet,ethanol_ctrl,unavailable,22.0,compact,1.4355001976472253,0.5154981285333152,not_too_small,0,exclusion,,,,,
SA-014,20251119,20251119_A01_e01_BF_t0101,20251119_A01_e01,101,True,unavailable_source_schema,,object_extraction/20251119/snips/per_well/20251119_A01/snips/20251119_A01_e01/20251119_A01_e01_BF_t0101.png,object_extraction/20251119/snips/per_well/20251119_A01/snips/20251119_A01_e01/20251119_A01_e01_BF_t0101_embryo.png,above_lower,0.0006648723584601385,0.0006648723584601385,490229.901960752,489904.1782143631,22.009497239526368,18-<24,b9d2_heterozygous,,unavailable,30.0,compact,1.156463681789397,0.5282548136306169,not_too_small,0,exclusion,,,,,
SA-015,20260202,20260202_E12_e01_BF_t0056,20260202_E12_e01,56,True,unavailable_source_schema,,object_extraction/20260202/snips/per_well/20260202_E12/snips/20260202_E12_e01/20260202_E12_e01_BF_t0056.png,object_extraction/20260202/snips/per_well/20260202_E12/snips/20260202_E12_e01/20260202_E12_e01_BF_t0056_embryo.png,above_lower,0.000676839059452075,0.000676839059452075,753235.5409273462,752726.0665244547,42.19697324189453,36-<48,ab,,unavailable,30.0,elongated_or_thin,3.5165043123432778,0.2722693196153878,not_too_small,0,exclusion,viability_dead_flag|overlapping_mask_flag|focus_flag,,,,
SA-016,20260418_irx_pilot,20260418_irx_pilot_D07_e01_BF_t0019,20260418_irx_pilot_D07_e01,19,True,unavailable_source_schema,,object_extraction/20260418_irx_pilot/snips/per_well/20260418_irx_pilot_D07/snips/20260418_irx_pilot_D07_e01/20260418_irx_pilot_D07_e01_BF_t0019.png,object_extraction/20260418_irx_pilot/snips/per_well/20260418_irx_pilot_D07/snips/20260418_irx_pilot_D07_e01/20260418_irx_pilot_D07_e01_BF_t0019_embryo.png,above_lower,0.0006799481314831298,0.0006799481314831298,653312.8127522775,652868.8957664976,35.810456394437665,24-<36,irx3a_irx6a_crispant,,unavailable,28.5,elongated_or_thin,2.4706581214033245,0.2776812678717341,not_too_small,0,exclusion,persistence_dead_flag,,,,
SA-017,20251125,20251125_A09_e02_BF_t0154,20251125_A09_e02,154,True,unavailable_source_schema,,object_extraction/20251125/snips/per_well/20251125_A09/snips/20251125_A09_e02/20251125_A09_e02_BF_t0154.png,object_extraction/20251125/snips/per_well/20251125_A09/snips/20251125_A09_e02/20251125_A09_e02_BF_t0154_embryo.png,above_lower,0.0008309094573583862,0.0008309094573583862,888208.9868723806,887471.5783447971,68.58372301206056,48-<72,b9d2_homozygous,,unavailable,30.0,compact,1.0972225821957702,0.6671774999178162,not_too_small,0,exclusion,edge_flag|focus_flag,,,,
SA-018,20260228,20260228_H06_e01_BF_t0147,20260228_H06_e01,147,True,unavailable_source_schema,,object_extraction/20260228/snips/per_well/20260228_H06/snips/20260228_H06_e01/20260228_H06_e01_BF_t0147.png,object_extraction/20260228/snips/per_well/20260228_H06/snips/20260228_H06_e01/20260228_H06_e01_BF_t0147_embryo.png,above_lower,0.000917996983167987,0.000917996983167987,907216.5381109474,906384.4798928155,76.59871773159182,>=72,tmem67_wildtype,,unavailable,30.0,compact,1.932075062960344,0.40857245534776443,not_too_small,0,exclusion,focus_flag,,,,
SA-019,20251205,20251205_B05_e01_BF_t0062,20251205_B05_e01,62,True,unavailable_source_schema,,object_extraction/20251205/snips/per_well/20251205_B05/snips/20251205_B05_e01/20251205_B05_e01_BF_t0062.png,object_extraction/20251205/snips/per_well/20251205_B05/snips/20251205_B05_e01/20251205_B05_e01_BF_t0062_embryo.png,above_lower,0.0009986974092713737,0.0009986974092713737,751993.4219831455,751243.1573881292,44.57588156879884,36-<48,cep290_wildtype,,unavailable,30.0,elongated_or_thin,5.521064330435341,0.13279873494894728,not_too_small,0,exclusion,,,,,
SA-020,20250515_part2,20250515_part2_D05_e01_BF_t0021,20250515_part2_D05_e01,21,True,unavailable_source_schema,,object_extraction/20250515_part2/snips/per_well/20250515_part2_D05/snips/20250515_part2_D05_e01/20250515_part2_D05_e01_BF_t0021.png,object_extraction/20250515_part2/snips/per_well/20250515_part2_D05/snips/20250515_part2_D05_e01/20250515_part2_D05_e01_BF_t0021_embryo.png,above_lower,0.0010241038182106001,0.0010241038182106001,1016783.9545586332,1015743.7275289473,117.7895180998047,>=72,cep290_homozygous,,unavailable,30.0,elongated_or_thin,2.750068673335792,0.2826689877560795,not_too_small,0,exclusion,focus_flag,,,,
SA-021,20251112,20251112_F06_e01_BF_t0031,20251112_F06_e01,31,True,unavailable_source_schema,,object_extraction/20251112/snips/per_well/20251112_F06/snips/20251112_F06_e01/20251112_F06_e01_BF_t0031.png,object_extraction/20251112/snips/per_well/20251112_F06/snips/20251112_F06_e01/20251112_F06_e01_BF_t0031_embryo.png,above_lower,0.0010717506559932161,0.0010717506559932161,762128.6950488503,761312.7576014749,43.32276480522461,36-<48,cep290_heterozygous,,unavailable,30.0,elongated_or_thin,4.409476289469125,0.1607643148873937,not_too_small,0,exclusion,,,,,
SA-022,20260418_irx_pilot,20260418_irx_pilot_D09_e03_BF_t0020,20260418_irx_pilot_D09_e03,20,True,unavailable_source_schema,,object_extraction/20260418_irx_pilot/snips/per_well/20260418_irx_pilot_D09/snips/20260418_irx_pilot_D09_e03/20260418_irx_pilot_D09_e03_BF_t0020.png,object_extraction/20260418_irx_pilot/snips/per_well/20260418_irx_pilot_D09/snips/20260418_irx_pilot_D09_e03/20260418_irx_pilot_D09_e03_BF_t0020_embryo.png,above_lower,0.0011585279926743415,0.0011585279926743415,660546.3289567403,659781.9530950184,36.3252504964676,36-<48,irx5a_irx6a_crispant,,unavailable,28.5,compact,1.8394078845970332,0.3255209671463254,not_too_small,0,exclusion,,,,,
SA-023,20251112,20251112_F12_e02_BF_t0011,20251112_F12_e02,11,True,unavailable_source_schema,,object_extraction/20251112/snips/per_well/20251112_F12/snips/20251112_F12_e02/20251112_F12_e02_BF_t0011.png,object_extraction/20251112/snips/per_well/20251112_F12/snips/20251112_F12_e02/20251112_F12_e02_BF_t0011_embryo.png,above_lower,0.0014921933892755998,0.0014921933892755998,619097.132927993,618174.6967321119,31.57559226586914,24-<36,cep290_heterozygous,,unavailable,30.0,compact,1.024739762538676,0.6148622001457442,not_too_small,0,exclusion,focus_flag,,,,
