review_id,boundary_side,agent_visual_impression,label_scope
SA-002,above_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-003,above_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-006,above_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-009,above_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-019,above_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-021,above_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-031,above_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-037,above_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-044,above_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-045,above_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-017,above_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-035,above_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-052,above_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-056,above_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-082,above_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-085,above_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-092,above_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-093,above_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-096,above_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-124,above_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-153,below_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-159,below_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-165,below_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-173,below_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-181,below_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-202,below_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-213,below_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-222,below_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-235,below_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-241,below_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-254,below_lower,continuous_head_to_tail_silhouette_visible,nonexpert_mask_morphology_not_biological_usability
SA-157,below_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-178,below_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-204,below_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-214,below_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-246,below_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-256,below_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-257,below_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-270,below_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-280,below_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-282,below_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
SA-300,below_lower,obvious_fragment_disconnected_or_artifactual_shape,nonexpert_mask_morphology_not_biological_usability
