policy,dimension,stratum,rows,eligible_rows,row_recovery_vs_strict,row_loss_vs_strict
strict_exclusion_k0.90,experiment,20230531,7846,4044,0,0
strict_exclusion_k0.90,experiment,20230602,8998,3447,0,0
strict_exclusion_k0.90,experiment,20230613,5421,3611,0,0
strict_exclusion_k0.90,experiment,20230615,4216,2767,0,0
strict_exclusion_k0.90,experiment,20230620,5460,3001,0,0
strict_exclusion_k0.90,experiment,20230622,3582,1906,0,0
strict_exclusion_k0.90,experiment,20230627,4193,2831,0,0
strict_exclusion_k0.90,experiment,20230629,3918,1125,0,0
strict_exclusion_k0.90,experiment,20240509_18ss,25,24,0,0
strict_exclusion_k0.90,experiment,20240509_24hpf,32,29,0,0
strict_exclusion_k0.90,experiment,20240510,59,57,0,0
strict_exclusion_k0.90,experiment,20240717,68,56,0,0
strict_exclusion_k0.90,experiment,20240718,99,93,0,0
strict_exclusion_k0.90,experiment,20240724,56,56,0,0
strict_exclusion_k0.90,experiment,20240725,64,53,0,0
strict_exclusion_k0.90,experiment,20240726,60,49,0,0
strict_exclusion_k0.90,experiment,20240813_24hpf,48,0,0,0
strict_exclusion_k0.90,experiment,20240813_30hpf,50,0,0,0
strict_exclusion_k0.90,experiment,20240813_36hpf,50,38,0,0
strict_exclusion_k0.90,experiment,20250501,24718,2319,0,0
strict_exclusion_k0.90,experiment,20250512,24569,7108,0,0
strict_exclusion_k0.90,experiment,20250515_part2,3510,1351,0,0
strict_exclusion_k0.90,experiment,20250519,4179,2549,0,0
strict_exclusion_k0.90,experiment,20250612_24hpf_ctrl_atf6,97,93,0,0
strict_exclusion_k0.90,experiment,20250612_24hpf_wfs1_ctcf,96,88,0,0
strict_exclusion_k0.90,experiment,20250612_30hpf_ctrl_atf6,97,72,0,0
strict_exclusion_k0.90,experiment,20250612_30hpf_wfs1_ctcf,97,74,0,0
strict_exclusion_k0.90,experiment,20250612_36hpf_ctrl_atf6,102,81,0,0
strict_exclusion_k0.90,experiment,20250612_36hpf_wfs1_ctcf,97,72,0,0
strict_exclusion_k0.90,experiment,20250622_chem_28C_T00_1425,91,76,0,0
strict_exclusion_k0.90,experiment,20250622_chem_28C_T01_1658,86,72,0,0
strict_exclusion_k0.90,experiment,20250622_chem_34C_T00_1256,78,73,0,0
strict_exclusion_k0.90,experiment,20250622_chem_34C_T01_1632,79,69,0,0
strict_exclusion_k0.90,experiment,20250624_chem02_28C_T00_1356,104,57,0,0
strict_exclusion_k0.90,experiment,20250624_chem02_28C_T01_1808,97,45,0,0
strict_exclusion_k0.90,experiment,20250624_chem02_34C_T00_1243,78,38,0,0
strict_exclusion_k0.90,experiment,20250624_chem02_34C_T01_1739,75,22,0,0
