experiment_order,experiment_id,frame_inventory_present,plate_metadata_present,frame_masks_present,physical_embryo_registry_present,snip_inventory_present,mask_geometry_present,stage_predictions_present,surface_area_qc_present,death_detection_qc_present,mask_quality_qc_present,focus_qc_present,motion_blur_qc_present,snip_qc_present,core_inputs_present,stored_sa_source_present,evaluable
0,20250612_24hpf_ctrl_atf6,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
1,20250612_24hpf_wfs1_ctcf,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
2,20250612_30hpf_ctrl_atf6,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
3,20250612_30hpf_wfs1_ctcf,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
4,20250612_36hpf_ctrl_atf6,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
5,20250612_36hpf_wfs1_ctcf,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
6,20240813_24hpf,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
7,20240813_30hpf,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
8,20240813_36hpf,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
9,20240813_extras,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,20260702_hotchem_24hpf_plate01,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
11,20260702_hotchem_24hpf_plate02,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
12,20260702_hotchem_30hpf_plate01,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
13,20260702_hotchem_30hpf_plate02,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
14,20260702_hotchem_36hpf_plate01,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
15,20260702_hotchem_36hpf_plate02,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
16,20260320_cilia_crispant_48hpf,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,20260324_cep290_18hpf_24hpf_plate02,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,20260324_cep290_18hpf_plate01,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,20260324_cep290_24hpf_plate01,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
20,20260324_cep290_24hpf_plate02,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
21,20260324_cep290_30hpf_plate01,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
22,20260324_cep290_30hpf_plate02,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
23,20260331_b9d2_18hpf_plate01,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,20260331_b9d2_18hpf_plate02,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
25,20260414_b9d2_14hpf_plate01,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
26,20260414_b9d2_14hpf_plate02,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,20260414_b9d2_30hpf_plate01,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
28,20260414_b9d2_30hpf_plate02,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
29,20260415_b9d2_30to48hpf_plate01_t02,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
30,20260415_b9d2_30to48hpf_plate02_t02,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
31,20260415_cep290_18hpf_plate03,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
32,20260415_cep290_30to48hpf_plate02_t01,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
33,20230525,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,20230531,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
35,20230602,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
36,20230613,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
37,20230615,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
38,20230620,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
39,20230622,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
40,20230627,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
41,20230629,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
42,20230831,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
43,20240509_18ss,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
44,20240509_24hpf,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
45,20240510,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
46,20240717,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
47,20240718,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
48,20240724,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
49,20240725,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
50,20240726,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
