k_lower,stratum,stratum_value,row_count,flagged_rows,recovered_rows_vs_production,physical_embryo_count,flagged_physical_embryos
0.7,experiment_id,20260804_seahub_CHEM13_shard001,96,6,35,96,6
0.7,experiment_id,20260804_seahub_CHEM13_shard002,88,0,32,88,0
0.7,experiment_id,20260804_seahub_CHEM15_shard001,96,0,5,96,0
0.7,experiment_id,20260804_seahub_CHEM15_shard002,96,1,2,96,1
0.7,experiment_id,20260804_seahub_CHEM15_shard003,96,0,0,96,0
0.7,experiment_id,20260804_seahub_CHEM15_shard004,96,0,5,96,0
0.7,experiment_id,20260804_seahub_CHEM15_shard005,48,5,4,48,5
0.7,experiment_id,20260804_seahub_CHEM16_shard001,96,7,20,96,7
0.7,experiment_id,20260804_seahub_CHEM16_shard002,96,23,11,96,23
0.7,experiment_id,20260804_seahub_CHEM16_shard003,96,15,9,96,15
0.7,experiment_id,20260804_seahub_CHEM16_shard004,96,0,0,96,0
0.7,experiment_id,20260804_seahub_CHEM16_shard005,96,0,6,96,0
0.7,experiment_id,20260804_seahub_CHEM16_shard006,96,0,11,96,0
0.7,experiment_id,20260804_seahub_CHEM16_shard007,48,0,15,48,0
0.7,experiment_id,20260804_seahub_CHEM17_shard001,96,0,0,96,0
0.7,experiment_id,20260804_seahub_CHEM17_shard002,96,4,0,96,4
0.7,experiment_id,20260804_seahub_CHEM17_shard003,32,0,4,32,0
0.7,experiment_id,20260804_seahub_GENE10_shard001,96,0,3,96,0
0.7,experiment_id,20260804_seahub_GENE10_shard002,96,0,0,96,0
0.7,experiment_id,20260804_seahub_GENE10_shard003,96,0,0,96,0
0.7,stage_bin,60-72,296,6,63,296,6
0.7,stage_bin,>72,168,5,43,168,5
0.7,stage_bin,<18,400,7,28,400,7
0.7,stage_bin,18-24,376,39,22,376,39
0.7,stage_bin,36-48,424,4,6,424,4
0.7,stage_bin,30-36,88,0,0,88,0
0.7,genotype,ctrl,1464,61,159,1464,61
0.7,genotype,ctrl-inj,56,0,3,56,0
0.7,genotype,her1,24,0,0,24,0
0.7,genotype,"her1,her7",24,0,0,24,0
0.7,genotype,her7,24,0,0,24,0
0.7,genotype,prdm1a,16,0,0,16,0
0.7,genotype,zeb1a,16,0,0,16,0
0.7,genotype,"zeb1a,zeb1b",16,0,0,16,0
0.7,genotype,zeb1b,16,0,0,16,0
0.7,genotype,zeb2a,16,0,0,16,0
0.7,genotype,"zeb2a,zeb2b",16,0,0,16,0
0.7,genotype,zeb2b,16,0,0,16,0
0.7,genotype,"meis1a,1b",8,0,0,8,0
0.7,genotype,"meis2a,2b",8,0,0,8,0
0.7,genotype,meis1a,8,0,0,8,0
0.7,genotype,meis1b,8,0,0,8,0
0.7,genotype,meis2a,8,0,0,8,0
0.7,genotype,meis2b,8,0,0,8,0
0.7,chem_perturbation,ctrl,40,1,14,40,1
0.7,chem_perturbation,DMH1,32,1,11,32,1
0.7,chem_perturbation,LY411575,32,1,14,32,1
0.7,chem_perturbation,SB505124,40,0,12,40,0
0.7,chem_perturbation,SU5402,40,3,16,40,3
0.7,chem_perturbation,2-DG,32,0,0,32,0
