experiment_order,experiment_id
0,20250612_24hpf_ctrl_atf6
1,20250612_24hpf_wfs1_ctcf
2,20250612_30hpf_ctrl_atf6
3,20250612_30hpf_wfs1_ctcf
4,20250612_36hpf_ctrl_atf6
5,20250612_36hpf_wfs1_ctcf
6,20240813_24hpf
7,20240813_30hpf
8,20240813_36hpf
9,20240813_extras
10,20260702_hotchem_24hpf_plate01
11,20260702_hotchem_24hpf_plate02
12,20260702_hotchem_30hpf_plate01
13,20260702_hotchem_30hpf_plate02
14,20260702_hotchem_36hpf_plate01
15,20260702_hotchem_36hpf_plate02
16,20260320_cilia_crispant_48hpf
17,20260324_cep290_18hpf_24hpf_plate02
18,20260324_cep290_18hpf_plate01
19,20260324_cep290_24hpf_plate01
20,20260324_cep290_24hpf_plate02
21,20260324_cep290_30hpf_plate01
22,20260324_cep290_30hpf_plate02
23,20260331_b9d2_18hpf_plate01
24,20260331_b9d2_18hpf_plate02
25,20260414_b9d2_14hpf_plate01
26,20260414_b9d2_14hpf_plate02
27,20260414_b9d2_30hpf_plate01
28,20260414_b9d2_30hpf_plate02
29,20260415_b9d2_30to48hpf_plate01_t02
30,20260415_b9d2_30to48hpf_plate02_t02
31,20260415_cep290_18hpf_plate03
32,20260415_cep290_30to48hpf_plate02_t01
33,20230525
34,20230531
35,20230602
36,20230613
37,20230615
38,20230620
39,20230622
40,20230627
41,20230629
42,20230831
43,20240509_18ss
44,20240509_24hpf
45,20240510
46,20240717
47,20240718
48,20240724
49,20240725
50,20240726
51,20250622_chem_28C_T00_1425
52,20250622_chem_28C_T01_1658
53,20250622_chem_34C_T00_1256
54,20250622_chem_34C_T01_1632
55,20250622_chem_35C_T00_1223_check
56,20250622_chem_35C_T01_1605
57,20250623_chem_28C_T02_1259
58,20250623_chem_34C_T02_1231
59,20250623_chem_35C_T02_1204
60,20250624_chem02_28C_T00_1356
61,20250624_chem02_28C_T01_1808
62,20250624_chem02_34C_T00_1243
63,20250624_chem02_34C_T01_1739
64,20250624_chem02_35C_T00_1216
65,20250624_chem02_35C_T01_1711
66,20250625_chem02_28C_T02_1332
67,20250625_chem02_34C_T02_1301
68,20250625_chem02_35C_T02_1228
69,20250703_chem3_28C_T00_1325
70,20250703_chem3_34C_T00_1131
71,20250703_chem3_34C_T01_1457
72,20250703_chem3_35C_T00_1101
73,20250703_chem3_35C_T01_1437
74,20250716_chem4_28C_T00_1158
75,20250716_chem4_28C_T01_1400
76,20250716_chem4_34C_T00_1014
77,20250716_chem4_35C_T00_1045
78,20250721_chem5_28C_T00_1257
79,20250721_chem5_28C_T01_1401
80,20250721_chem5_35C_T00_1023
81,20260319_cilia_crispant_18hpf
82,20260319_cilia_crispant_24hpf
83,20260319_cilia_crispant_30hpf
84,20260416_cep290_30to48hpf_plate01_t02
85,20260416_cep290_30to48hpf_plate02_t02
86,20260320
87,20231110
88,20231206
89,20231218
90,20240306
91,20240307
92,20240404
93,20240411
94,20240418
95,20240509
96,20240522
97,20240530
98,20240626
99,20240812
100,20241022
101,20241023
102,20250126
103,20250215
104,20250305
105,20250415
106,20250416
107,20250425
108,20250501
109,20250512
110,20250515_part2
111,20250519
112,20250711
113,20250912
114,20251017_part1
115,20251017_part2
116,20251020
117,20251104
118,20251106
119,20251112
120,20251113
121,20251119
122,20251121
123,20251125
124,20251205
125,20251207_pbx
126,20251212
127,20260122
128,20260202
129,20260206
130,20260208
131,20260210
132,20260213
133,20260219
134,20260223
135,20260224
136,20260228
137,20260304
138,20260306
139,20260319
140,20260417_irx_pilot
141,20260418_irx_pilot
142,20260724_hotfish_24hpf_plate01
143,20260724_hotfish_24hpf_plate02
144,20260724_hotfish_30hpf_plate01
145,20260724_hotfish_30hpf_plate02
146,20260724_hotfish_36hpf_plate01
147,20260724_hotfish_36hpf_plate02
