experiment_id,rows,physical_embryos,stored_flag_source,stored_flag_rows,parity_matches,parity_mismatches,too_small_rows,too_large_rows,missing_stage_rows,surface_applicability_schema
20250612_24hpf_ctrl_atf6,97,97,surface_area_qc,97,97,0,1,1,0,stored
20250612_24hpf_wfs1_ctcf,96,96,snip_qc_carried_flag,96,96,0,5,2,0,stored
20250612_30hpf_ctrl_atf6,97,97,snip_qc_carried_flag,97,97,0,21,2,0,stored
20250612_30hpf_wfs1_ctcf,97,97,snip_qc_carried_flag,97,97,0,20,1,0,stored
20250612_36hpf_ctrl_atf6,102,102,snip_qc_carried_flag,102,102,0,16,3,0,stored
20250612_36hpf_wfs1_ctcf,97,97,snip_qc_carried_flag,97,97,0,24,0,0,stored
20240813_24hpf,48,48,snip_qc_carried_flag,48,48,0,0,0,0,stored
20240813_30hpf,50,50,snip_qc_carried_flag,50,50,0,10,0,0,stored
20240813_36hpf,50,50,snip_qc_carried_flag,50,50,0,11,0,0,stored
20260702_hotchem_24hpf_plate01,104,104,snip_qc_carried_flag,104,104,0,11,0,0,stored
20260702_hotchem_24hpf_plate02,117,117,snip_qc_carried_flag,117,117,0,12,7,0,stored
20260702_hotchem_30hpf_plate01,124,124,snip_qc_carried_flag,124,124,0,30,7,0,stored
20260702_hotchem_30hpf_plate02,107,107,snip_qc_carried_flag,107,107,0,19,3,0,stored
20260702_hotchem_36hpf_plate01,101,101,snip_qc_carried_flag,101,101,0,12,3,0,stored
20260702_hotchem_36hpf_plate02,99,99,snip_qc_carried_flag,99,99,0,10,0,0,stored
20260324_cep290_24hpf_plate01,101,101,snip_qc_carried_flag,101,101,0,4,2,0,stored
20260324_cep290_24hpf_plate02,101,101,snip_qc_carried_flag,101,101,0,5,2,32,stored
20260324_cep290_30hpf_plate01,98,98,snip_qc_carried_flag,98,98,0,3,1,0,stored
20260324_cep290_30hpf_plate02,72,72,snip_qc_carried_flag,72,72,0,9,2,0,stored
20260331_b9d2_18hpf_plate02,70,70,snip_qc_carried_flag,70,70,0,2,22,0,stored
20260414_b9d2_14hpf_plate01,107,107,snip_qc_carried_flag,107,107,0,4,6,0,stored
20260414_b9d2_30hpf_plate01,106,106,snip_qc_carried_flag,106,106,0,11,0,0,stored
20260414_b9d2_30hpf_plate02,72,72,snip_qc_carried_flag,72,72,0,8,0,9,stored
20260415_b9d2_30to48hpf_plate01_t02,109,109,snip_qc_carried_flag,109,109,0,13,2,0,stored
20260415_b9d2_30to48hpf_plate02_t02,58,58,snip_qc_carried_flag,58,58,0,10,0,7,stored
20260415_cep290_18hpf_plate03,81,81,snip_qc_carried_flag,81,81,0,15,13,25,stored
20260415_cep290_30to48hpf_plate02_t01,93,93,snip_qc_carried_flag,93,93,0,10,3,33,stored
20230531,7846,124,snip_qc_carried_flag,7846,7846,0,2712,190,0,stored
20230602,8998,95,snip_qc_carried_flag,8998,8998,0,4169,93,0,stored
20230613,5421,83,snip_qc_carried_flag,5421,5421,0,1390,29,0,stored
20230615,4216,85,snip_qc_carried_flag,4216,4216,0,999,105,0,stored
20230620,5460,62,snip_qc_carried_flag,5460,5460,0,864,1153,0,stored
20230622,3582,83,snip_qc_carried_flag,3582,3582,0,856,157,0,stored
20230627,4193,95,snip_qc_carried_flag,4193,4193,0,915,179,0,stored
20230629,3918,98,snip_qc_carried_flag,3918,3918,0,1652,186,0,stored
20240509_18ss,25,25,snip_qc_carried_flag,25,25,0,1,0,0,stored
20240509_24hpf,32,32,snip_qc_carried_flag,32,32,0,0,0,0,stored
20240510,59,59,snip_qc_carried_flag,59,59,0,0,0,59,stored
20240717,68,68,snip_qc_carried_flag,68,68,0,6,0,0,stored
20240718,99,99,snip_qc_carried_flag,99,99,0,1,0,35,stored
20240724,56,56,snip_qc_carried_flag,56,56,0,0,0,0,stored
20240725,64,64,snip_qc_carried_flag,64,64,0,7,2,0,stored
20240726,60,60,snip_qc_carried_flag,60,60,0,6,1,0,stored
20250622_chem_28C_T00_1425,91,91,snip_qc_carried_flag,91,91,0,12,3,0,stored
20250622_chem_28C_T01_1658,86,86,snip_qc_carried_flag,86,86,0,12,1,0,stored
20250622_chem_34C_T00_1256,78,78,snip_qc_carried_flag,78,78,0,3,1,0,stored
20250622_chem_34C_T01_1632,79,79,snip_qc_carried_flag,79,79,0,7,0,0,stored
20250624_chem02_28C_T00_1356,104,104,snip_qc_carried_flag,104,104,0,39,1,0,stored
20250624_chem02_28C_T01_1808,97,97,snip_qc_carried_flag,97,97,0,45,2,0,stored
20250624_chem02_34C_T00_1243,78,78,snip_qc_carried_flag,78,78,0,20,2,0,stored
20250624_chem02_34C_T01_1739,75,75,snip_qc_carried_flag,75,75,0,30,2,0,stored
20250624_chem02_35C_T00_1216,81,81,snip_qc_carried_flag,81,81,0,25,3,0,stored
20250624_chem02_35C_T01_1711,84,84,snip_qc_carried_flag,84,84,0,45,4,0,stored
20250625_chem02_28C_T02_1332,96,96,snip_qc_carried_flag,96,96,0,23,0,0,stored
20250625_chem02_34C_T02_1301,82,82,snip_qc_carried_flag,82,82,0,45,7,0,stored
20250625_chem02_35C_T02_1228,84,84,snip_qc_carried_flag,84,84,0,63,3,0,stored
20250703_chem3_28C_T00_1325,61,61,snip_qc_carried_flag,61,61,0,0,0,61,stored
20250703_chem3_34C_T00_1131,58,58,snip_qc_carried_flag,58,58,0,0,0,58,stored
20250703_chem3_34C_T01_1457,59,59,snip_qc_carried_flag,59,59,0,0,0,59,stored
20250703_chem3_35C_T00_1101,65,65,snip_qc_carried_flag,65,65,0,0,0,65,stored
20250703_chem3_35C_T01_1437,58,58,snip_qc_carried_flag,58,58,0,0,0,58,stored
20250716_chem4_28C_T00_1158,87,87,snip_qc_carried_flag,87,87,0,6,1,0,stored
20250716_chem4_28C_T01_1400,94,94,snip_qc_carried_flag,94,94,0,18,1,0,stored
20250716_chem4_34C_T00_1014,94,94,snip_qc_carried_flag,94,94,0,8,0,0,stored
20250716_chem4_35C_T00_1045,91,91,snip_qc_carried_flag,91,91,0,12,0,0,stored
20250721_chem5_28C_T00_1257,107,107,snip_qc_carried_flag,107,107,0,12,0,0,stored
20250721_chem5_28C_T01_1401,107,107,snip_qc_carried_flag,107,107,0,12,1,0,stored
20250721_chem5_35C_T00_1023,108,108,snip_qc_carried_flag,108,108,0,14,1,0,stored
20260319_cilia_crispant_18hpf,92,92,snip_qc_carried_flag,92,92,0,1,34,0,stored
20260319_cilia_crispant_24hpf,99,99,snip_qc_carried_flag,99,99,0,4,0,41,stored
20260319_cilia_crispant_30hpf,102,102,snip_qc_carried_flag,102,102,0,3,0,44,stored
20260416_cep290_30to48hpf_plate01_t02,109,109,snip_qc_carried_flag,109,109,0,18,1,0,stored
20260416_cep290_30to48hpf_plate02_t02,70,70,snip_qc_carried_flag,70,70,0,13,2,11,stored
20250501,24718,142,snip_qc_carried_flag,24718,24718,0,3077,8974,0,stored
20250512,24569,126,snip_qc_carried_flag,24569,24569,0,11807,4097,0,stored
20250515_part2,3510,130,snip_qc_carried_flag,3510,3510,0,1025,81,0,stored
20250519,4179,82,snip_qc_carried_flag,4179,4179,0,1396,91,0,stored
20250711,19723,111,snip_qc_carried_flag,19723,19723,0,4860,365,0,stored
20250912,15572,138,snip_qc_carried_flag,15572,15572,0,10752,238,0,stored
20251017_part1,6794,108,snip_qc_carried_flag,6794,6794,0,1027,112,0,stored
20251017_part2,7559,123,snip_qc_carried_flag,7559,7559,0,2379,116,0,stored
20251020,5216,93,snip_qc_carried_flag,5216,5216,0,2853,11,0,stored
20251112,6991,186,snip_qc_carried_flag,6991,6991,0,2002,124,0,stored
20251119,10440,30,snip_qc_carried_flag,10440,10440,0,6448,0,0,stored
20251121,20857,135,snip_qc_carried_flag,20857,20857,0,5185,597,0,stored
20251125,21934,97,snip_qc_carried_flag,21934,21934,0,8719,86,0,stored
20251205,12291,107,snip_qc_carried_flag,12291,12291,0,2679,177,0,stored
20251207_pbx,14760,118,snip_qc_carried_flag,14760,14760,0,3730,1087,0,stored
20251212,11437,103,snip_qc_carried_flag,11437,11437,0,3110,89,0,stored
20260122,20098,199,snip_qc_carried_flag,20098,20098,0,4624,2415,0,stored
20260202,16943,242,snip_qc_carried_flag,16943,16943,0,6586,494,0,stored
20260206,14700,98,snip_qc_carried_flag,14700,14700,0,1582,0,0,stored
20260208,31680,102,snip_qc_carried_flag,31680,31680,0,23854,177,0,stored
20260210,15892,99,snip_qc_carried_flag,15892,15892,0,3562,28,0,stored
20260213,29010,221,snip_qc_carried_flag,29010,29010,0,18616,2617,0,stored
20260219,31713,181,snip_qc_carried_flag,31713,31713,0,18784,711,0,stored
20260228,17012,114,snip_qc_carried_flag,17012,17012,0,5426,155,0,stored
20260304,37409,199,snip_qc_carried_flag,37409,37408,1,18143,1355,0,stored
20260306,26979,149,snip_qc_carried_flag,26979,26979,0,13630,1366,0,stored
20260319,10269,98,snip_qc_carried_flag,10269,10269,0,2192,576,0,stored
20260417_irx_pilot,4968,184,surface_area_qc,4968,4968,0,414,11,0,mixed_or_recomputed
20260418_irx_pilot,15251,197,surface_area_qc,15251,15251,0,9952,98,0,mixed_or_recomputed
20260724_hotfish_24hpf_plate01,102,102,snip_qc_carried_flag,102,102,0,0,0,102,stored
20260724_hotfish_30hpf_plate01,98,98,snip_qc_carried_flag,98,98,0,0,0,98,stored
20260724_hotfish_36hpf_plate01,101,101,snip_qc_carried_flag,101,101,0,0,0,101,stored
