policy,stratum,stratum_value,row_count,excluded_rows,physical_embryo_count,excluded_physical_embryos
strict_exclusion,experiment_id,20260804_seahub_CHEM13_shard001,96,41,96,41
strict_exclusion,experiment_id,20260804_seahub_CHEM13_shard002,88,32,88,32
strict_exclusion,experiment_id,20260804_seahub_CHEM15_shard001,96,5,96,5
strict_exclusion,experiment_id,20260804_seahub_CHEM15_shard002,96,3,96,3
strict_exclusion,experiment_id,20260804_seahub_CHEM15_shard003,96,0,96,0
strict_exclusion,experiment_id,20260804_seahub_CHEM15_shard004,96,5,96,5
strict_exclusion,experiment_id,20260804_seahub_CHEM15_shard005,48,9,48,9
strict_exclusion,experiment_id,20260804_seahub_CHEM16_shard001,96,27,96,27
strict_exclusion,experiment_id,20260804_seahub_CHEM16_shard002,96,34,96,34
strict_exclusion,experiment_id,20260804_seahub_CHEM16_shard003,96,24,96,24
strict_exclusion,experiment_id,20260804_seahub_CHEM16_shard004,96,0,96,0
strict_exclusion,experiment_id,20260804_seahub_CHEM16_shard005,96,6,96,6
strict_exclusion,experiment_id,20260804_seahub_CHEM16_shard006,96,11,96,11
strict_exclusion,experiment_id,20260804_seahub_CHEM16_shard007,48,15,48,15
strict_exclusion,experiment_id,20260804_seahub_CHEM17_shard001,96,0,96,0
strict_exclusion,experiment_id,20260804_seahub_CHEM17_shard002,96,4,96,4
strict_exclusion,experiment_id,20260804_seahub_CHEM17_shard003,32,4,32,4
strict_exclusion,experiment_id,20260804_seahub_GENE10_shard001,96,3,96,3
strict_exclusion,experiment_id,20260804_seahub_GENE10_shard002,96,0,96,0
strict_exclusion,experiment_id,20260804_seahub_GENE10_shard003,96,0,96,0
strict_exclusion,stage_bin,60-72,296,69,296,69
strict_exclusion,stage_bin,>72,168,48,168,48
strict_exclusion,stage_bin,<18,400,35,400,35
strict_exclusion,stage_bin,18-24,376,61,376,61
strict_exclusion,stage_bin,36-48,424,10,424,10
strict_exclusion,stage_bin,30-36,88,0,88,0
strict_exclusion,genotype,ctrl,1464,220,1464,220
strict_exclusion,genotype,ctrl-inj,56,3,56,3
strict_exclusion,genotype,her1,24,0,24,0
strict_exclusion,genotype,"her1,her7",24,0,24,0
strict_exclusion,genotype,her7,24,0,24,0
strict_exclusion,genotype,prdm1a,16,0,16,0
strict_exclusion,genotype,zeb1a,16,0,16,0
strict_exclusion,genotype,"zeb1a,zeb1b",16,0,16,0
strict_exclusion,genotype,zeb1b,16,0,16,0
strict_exclusion,genotype,zeb2a,16,0,16,0
strict_exclusion,genotype,"zeb2a,zeb2b",16,0,16,0
strict_exclusion,genotype,zeb2b,16,0,16,0
strict_exclusion,genotype,"meis1a,1b",8,0,8,0
strict_exclusion,genotype,"meis2a,2b",8,0,8,0
strict_exclusion,genotype,meis1a,8,0,8,0
strict_exclusion,genotype,meis1b,8,0,8,0
strict_exclusion,genotype,meis2a,8,0,8,0
strict_exclusion,genotype,meis2b,8,0,8,0
strict_exclusion,chem_perturbation,ctrl,40,15,40,15
strict_exclusion,chem_perturbation,DMH1,32,12,32,12
strict_exclusion,chem_perturbation,LY411575,32,15,32,15
