experiment_id,well_id,physical_embryo_id,embryo_id,snip_id,time_index,area_um2,perimeter_um,length_um,width_um,aspect_ratio,circularity,predicted_stage_hpf,stage_prediction_status,model_version,stage_hpf,start_age_hpf,elapsed_time_s,incubation_temperature_c,reference_version,reference_p5_um2,reference_p95_um2,lower_threshold_um2,upper_threshold_um2,recomputed_too_small,recomputed_too_large,recomputed_sa_outlier_flag,sa_outlier_flag,surface_area_qc_applicability,normalized_boundary_margin,lower_deficit_fraction,source_scope_resolved,acquisition_mode,genotype,chem_perturbation,perturbation,perturbation_domain,control_status,calibration_status_resolved,calibration_method_resolved,segmentation_backend,segmentation_model_id,asset_key_snip_id,asset_key_snip_product_key,asset_key_z_index,asset_key_status,processed_snip_path_resolved,embryo_mask_snip_path_resolved
20260804_seahub_CHEM13_shard001,20260804_seahub_CHEM13_shard001_A01,20260804_seahub_CHEM13_shard001_A01_e01,20260804_seahub_CHEM13_shard001_A01_e01_BF,20260804_seahub_CHEM13_shard001_A01_e01_BF_t0000,0,958178.3393296162,7350.110146874519,2898.145973954609,602.0144502545373,4.81408041406522,0.22287867551367302,72.0,predicted,kimmel1995_temp_rate_v1,72.0,72.0,0.0,28.5,v1,1008626.0140639994,1657575.932491499,907763.4126575994,2320606.3054880984,False,False,False,False,diagnostic_only,0.05553751778166545,0.0,seahub,snapshot,ctrl,ctrl,ctrl,chemical,unavailable,placeholder,strict_wt_p50_over_fov_median_mask_area,sam2_image_precomputed,sam2.1_hiera_large:seahub_source_fov,20260804_seahub_CHEM13_shard001_A01_e01_BF_t0000,,,unavailable_missing_snip_product_key,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A01/snips/20260804_seahub_CHEM13_shard001_A01_e01/20260804_seahub_CHEM13_shard001_A01_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A01/snips/20260804_seahub_CHEM13_shard001_A01_e01/20260804_seahub_CHEM13_shard001_A01_e01_BF_t0000_embryo.png
20260804_seahub_CHEM13_shard001,20260804_seahub_CHEM13_shard001_A02,20260804_seahub_CHEM13_shard001_A02_e01,20260804_seahub_CHEM13_shard001_A02_e01_BF,20260804_seahub_CHEM13_shard001_A02_e01_BF_t0000,0,926003.2778273346,7350.110146874519,2880.978903555972,613.0321976702236,4.699555609811174,0.21539454150870613,72.0,predicted,kimmel1995_temp_rate_v1,72.0,72.0,0.0,28.5,v1,1008626.0140639994,1657575.932491499,907763.4126575994,2320606.3054880984,False,False,False,False,diagnostic_only,0.02009319269250509,0.0,seahub,snapshot,ctrl,ctrl,ctrl,chemical,unavailable,placeholder,strict_wt_p50_over_fov_median_mask_area,sam2_image_precomputed,sam2.1_hiera_large:seahub_source_fov,20260804_seahub_CHEM13_shard001_A02_e01_BF_t0000,,,unavailable_missing_snip_product_key,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A02/snips/20260804_seahub_CHEM13_shard001_A02_e01/20260804_seahub_CHEM13_shard001_A02_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A02/snips/20260804_seahub_CHEM13_shard001_A02_e01/20260804_seahub_CHEM13_shard001_A02_e01_BF_t0000_embryo.png
20260804_seahub_CHEM13_shard001,20260804_seahub_CHEM13_shard001_A03,20260804_seahub_CHEM13_shard001_A03_e01,20260804_seahub_CHEM13_shard001_A03_e01_BF,20260804_seahub_CHEM13_shard001_A03_e01_BF_t0000,0,955987.4304724569,7951.410869331423,2952.6942333118,592.4484364638326,4.983883915595503,0.19000877406251657,72.0,predicted,kimmel1995_temp_rate_v1,72.0,72.0,0.0,28.5,v1,1008626.0140639994,1657575.932491499,907763.4126575994,2320606.3054880984,False,False,False,False,diagnostic_only,0.05312399369971866,0.0,seahub,snapshot,ctrl,ctrl,ctrl,chemical,unavailable,placeholder,strict_wt_p50_over_fov_median_mask_area,sam2_image_precomputed,sam2.1_hiera_large:seahub_source_fov,20260804_seahub_CHEM13_shard001_A03_e01_BF_t0000,,,unavailable_missing_snip_product_key,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A03/snips/20260804_seahub_CHEM13_shard001_A03_e01/20260804_seahub_CHEM13_shard001_A03_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A03/snips/20260804_seahub_CHEM13_shard001_A03_e01/20260804_seahub_CHEM13_shard001_A03_e01_BF_t0000_embryo.png
20260804_seahub_CHEM13_shard001,20260804_seahub_CHEM13_shard001_A04,20260804_seahub_CHEM13_shard001_A04_e01,20260804_seahub_CHEM13_shard001_A04_e01_BF,20260804_seahub_CHEM13_shard001_A04_e01_BF_t0000,0,925940.6804314158,7144.402004981368,2892.267760902866,590.5739047058422,4.897384963772604,0.2279613716890553,72.0,predicted,kimmel1995_temp_rate_v1,72.0,72.0,0.0,28.5,v1,1008626.0140639994,1657575.932491499,907763.4126575994,2320606.3054880984,False,False,False,False,diagnostic_only,0.02002423486159237,0.0,seahub,snapshot,ctrl,ctrl,ctrl,chemical,unavailable,placeholder,strict_wt_p50_over_fov_median_mask_area,sam2_image_precomputed,sam2.1_hiera_large:seahub_source_fov,20260804_seahub_CHEM13_shard001_A04_e01_BF_t0000,,,unavailable_missing_snip_product_key,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A04/snips/20260804_seahub_CHEM13_shard001_A04_e01/20260804_seahub_CHEM13_shard001_A04_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A04/snips/20260804_seahub_CHEM13_shard001_A04_e01/20260804_seahub_CHEM13_shard001_A04_e01_BF_t0000_embryo.png
20260804_seahub_CHEM13_shard001,20260804_seahub_CHEM13_shard001_A05,20260804_seahub_CHEM13_shard001_A05_e01,20260804_seahub_CHEM13_shard001_A05_e01_BF,20260804_seahub_CHEM13_shard001_A05_e01_BF_t0000,0,941339.6398274492,7270.991630761769,2976.655621754177,581.551588100266,5.118472174545877,0.22375302825815216,72.0,predicted,kimmel1995_temp_rate_v1,72.0,72.0,0.0,28.5,v1,1008626.0140639994,1657575.932491499,907763.4126575994,2320606.3054880984,False,False,False,False,diagnostic_only,0.03698786126613197,0.0,seahub,snapshot,ctrl,ctrl,ctrl,chemical,unavailable,placeholder,strict_wt_p50_over_fov_median_mask_area,sam2_image_precomputed,sam2.1_hiera_large:seahub_source_fov,20260804_seahub_CHEM13_shard001_A05_e01_BF_t0000,,,unavailable_missing_snip_product_key,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A05/snips/20260804_seahub_CHEM13_shard001_A05_e01/20260804_seahub_CHEM13_shard001_A05_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A05/snips/20260804_seahub_CHEM13_shard001_A05_e01/20260804_seahub_CHEM13_shard001_A05_e01_BF_t0000_embryo.png
20260804_seahub_CHEM13_shard001,20260804_seahub_CHEM13_shard001_A06,20260804_seahub_CHEM13_shard001_A06_e01,20260804_seahub_CHEM13_shard001_A06_e01_BF,20260804_seahub_CHEM13_shard001_A06_e01_BF_t0000,0,929070.5502273577,7286.815333984319,2886.4684860479338,599.2343770894753,4.816927393364379,0.21987863432481905,72.0,predicted,kimmel1995_temp_rate_v1,72.0,72.0,0.0,28.5,v1,1008626.0140639994,1657575.932491499,907763.4126575994,2320606.3054880984,False,False,False,False,diagnostic_only,0.02347212640723062,0.0,seahub,snapshot,ctrl,ctrl,ctrl,chemical,unavailable,placeholder,strict_wt_p50_over_fov_median_mask_area,sam2_image_precomputed,sam2.1_hiera_large:seahub_source_fov,20260804_seahub_CHEM13_shard001_A06_e01_BF_t0000,,,unavailable_missing_snip_product_key,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A06/snips/20260804_seahub_CHEM13_shard001_A06_e01/20260804_seahub_CHEM13_shard001_A06_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A06/snips/20260804_seahub_CHEM13_shard001_A06_e01/20260804_seahub_CHEM13_shard001_A06_e01_BF_t0000_embryo.png
20260804_seahub_CHEM13_shard001,20260804_seahub_CHEM13_shard001_A07,20260804_seahub_CHEM13_shard001_A07_e01,20260804_seahub_CHEM13_shard001_A07_e01_BF,20260804_seahub_CHEM13_shard001_A07_e01_BF_t0000,0,880995.7501616919,8236.237527337325,2896.9585812128203,591.8657037928668,4.8946214701209625,0.16320217852531418,72.0,predicted,kimmel1995_temp_rate_v1,72.0,72.0,0.0,28.5,v1,1008626.0140639994,1657575.932491499,907763.4126575994,2320606.3054880984,True,False,True,True,diagnostic_only,-0.02948748773377149,0.02948748773377149,seahub,snapshot,ctrl,ctrl,ctrl,chemical,unavailable,placeholder,strict_wt_p50_over_fov_median_mask_area,sam2_image_precomputed,sam2.1_hiera_large:seahub_source_fov,20260804_seahub_CHEM13_shard001_A07_e01_BF_t0000,,,unavailable_missing_snip_product_key,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A07/snips/20260804_seahub_CHEM13_shard001_A07_e01/20260804_seahub_CHEM13_shard001_A07_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A07/snips/20260804_seahub_CHEM13_shard001_A07_e01/20260804_seahub_CHEM13_shard001_A07_e01_BF_t0000_embryo.png
20260804_seahub_CHEM13_shard001,20260804_seahub_CHEM13_shard001_A08,20260804_seahub_CHEM13_shard001_A08_e01,20260804_seahub_CHEM13_shard001_A08_e01_BF,20260804_seahub_CHEM13_shard001_A08_e01_BF_t0000,0,901152.1116475568,8093.824198334374,2861.738571317483,581.4016646726418,4.9221368723269565,0.17286235867741326,72.0,predicted,kimmel1995_temp_rate_v1,72.0,72.0,0.0,28.5,v1,1008626.0140639994,1657575.932491499,907763.4126575994,2320606.3054880984,True,False,True,True,diagnostic_only,-0.007283066179861985,0.007283066179861985,seahub,snapshot,ctrl,ctrl,ctrl,chemical,unavailable,placeholder,strict_wt_p50_over_fov_median_mask_area,sam2_image_precomputed,sam2.1_hiera_large:seahub_source_fov,20260804_seahub_CHEM13_shard001_A08_e01_BF_t0000,,,unavailable_missing_snip_product_key,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A08/snips/20260804_seahub_CHEM13_shard001_A08_e01/20260804_seahub_CHEM13_shard001_A08_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A08/snips/20260804_seahub_CHEM13_shard001_A08_e01/20260804_seahub_CHEM13_shard001_A08_e01_BF_t0000_embryo.png
20260804_seahub_CHEM13_shard001,20260804_seahub_CHEM13_shard001_A09,20260804_seahub_CHEM13_shard001_A09_e01,20260804_seahub_CHEM13_shard001_A09_e01_BF,20260804_seahub_CHEM13_shard001_A09_e01_BF_t0000,0,746296.9065341939,8012.2392067249,2709.7094299606165,634.9538408831447,4.267569160920005,0.1460877135712934,72.0,predicted,kimmel1995_temp_rate_v1,72.0,72.0,0.0,28.5,v1,1008626.0140639994,1657575.932491499,907763.4126575994,2320606.3054880984,True,False,True,True,diagnostic_only,-0.1778728949327123,0.1778728949327123,seahub,snapshot,ctrl,ctrl,ctrl,chemical,unavailable,placeholder,strict_wt_p50_over_fov_median_mask_area,sam2_image_precomputed,sam2.1_hiera_large:seahub_source_fov,20260804_seahub_CHEM13_shard001_A09_e01_BF_t0000,,,unavailable_missing_snip_product_key,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A09/snips/20260804_seahub_CHEM13_shard001_A09_e01/20260804_seahub_CHEM13_shard001_A09_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A09/snips/20260804_seahub_CHEM13_shard001_A09_e01/20260804_seahub_CHEM13_shard001_A09_e01_BF_t0000_embryo.png
20260804_seahub_CHEM13_shard001,20260804_seahub_CHEM13_shard001_A10,20260804_seahub_CHEM13_shard001_A10_e01,20260804_seahub_CHEM13_shard001_A10_e01_BF,20260804_seahub_CHEM13_shard001_A10_e01_BF_t0000,0,1625091.0105395685,15489.23118997897,3193.98495095435,2436.0570288226872,1.3111289732399898,0.08511925775670806,72.0,predicted,kimmel1995_temp_rate_v1,72.0,72.0,0.0,28.5,v1,1008626.0140639994,1657575.932491499,907763.4126575994,2320606.3054880984,False,False,False,False,diagnostic_only,0.29971274890690286,0.0,seahub,snapshot,ctrl,ctrl,ctrl,chemical,unavailable,placeholder,strict_wt_p50_over_fov_median_mask_area,sam2_image_precomputed,sam2.1_hiera_large:seahub_source_fov,20260804_seahub_CHEM13_shard001_A10_e01_BF_t0000,,,unavailable_missing_snip_product_key,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A10/snips/20260804_seahub_CHEM13_shard001_A10_e01/20260804_seahub_CHEM13_shard001_A10_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20260804_seahub_CHEM13_shard001/snips/per_well/20260804_seahub_CHEM13_shard001_A10/snips/20260804_seahub_CHEM13_shard001_A10_e01/20260804_seahub_CHEM13_shard001_A10_e01_BF_t0000_embryo.png
