stage_axis,experiment_id,row_count,flagged_rows,changed_rows_vs_production_axis,changed_fraction_vs_production_axis
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM13_shard001,96,36,5,0.052083333333333336
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM13_shard002,88,30,2,0.022727272727272728
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM15_shard001,96,0,5,0.052083333333333336
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM15_shard002,96,5,2,0.020833333333333332
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM15_shard003,96,0,0,0.0
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM15_shard004,96,4,1,0.010416666666666666
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM15_shard005,48,10,5,0.10416666666666667
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM16_shard001,96,10,21,0.21875
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM16_shard002,96,66,32,0.3333333333333333
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM16_shard003,96,24,0,0.0
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM16_shard004,96,0,0,0.0
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM16_shard005,96,3,3,0.03125
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM16_shard006,96,11,0,0.0
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM16_shard007,48,7,8,0.16666666666666666
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM17_shard001,96,0,0,0.0
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM17_shard002,96,8,4,0.041666666666666664
predicted_stage_hpf_offset_-3,20260804_seahub_CHEM17_shard003,32,3,1,0.03125
predicted_stage_hpf_offset_-3,20260804_seahub_GENE10_shard001,96,0,3,0.03125
predicted_stage_hpf_offset_-3,20260804_seahub_GENE10_shard002,96,0,0,0.0
predicted_stage_hpf_offset_-3,20260804_seahub_GENE10_shard003,96,1,1,0.010416666666666666
predicted_stage_hpf_offset_-3,__all__,1752,218,93,0.053082191780821915
predicted_stage_hpf_offset_-1.5,20260804_seahub_CHEM13_shard001,96,35,6,0.0625
predicted_stage_hpf_offset_-1.5,20260804_seahub_CHEM13_shard002,88,30,2,0.022727272727272728
predicted_stage_hpf_offset_-1.5,20260804_seahub_CHEM15_shard001,96,2,3,0.03125
predicted_stage_hpf_offset_-1.5,20260804_seahub_CHEM15_shard002,96,3,0,0.0
predicted_stage_hpf_offset_-1.5,20260804_seahub_CHEM15_shard003,96,0,0,0.0
predicted_stage_hpf_offset_-1.5,20260804_seahub_CHEM15_shard004,96,4,1,0.010416666666666666
predicted_stage_hpf_offset_-1.5,20260804_seahub_CHEM15_shard005,48,9,4,0.08333333333333333
predicted_stage_hpf_offset_-1.5,20260804_seahub_CHEM16_shard001,96,14,13,0.13541666666666666
predicted_stage_hpf_offset_-1.5,20260804_seahub_CHEM16_shard002,96,34,0,0.0
predicted_stage_hpf_offset_-1.5,20260804_seahub_CHEM16_shard003,96,24,0,0.0
predicted_stage_hpf_offset_-1.5,20260804_seahub_CHEM16_shard004,96,0,0,0.0
predicted_stage_hpf_offset_-1.5,20260804_seahub_CHEM16_shard005,96,3,3,0.03125
predicted_stage_hpf_offset_-1.5,20260804_seahub_CHEM16_shard006,96,11,0,0.0
predicted_stage_hpf_offset_-1.5,20260804_seahub_CHEM16_shard007,48,6,9,0.1875
predicted_stage_hpf_offset_-1.5,20260804_seahub_CHEM17_shard001,96,0,0,0.0
