dimension,stratum,rows,physical_embryos,too_small_rows,too_large_rows,sa_outlier_rows,isolated_sa_only_rows,current_use_snip_rows,sa_outlier_rate,too_small_rate
experiment,20230531,7846,124,2712,190,2902,1177,4044,0.3698699974509304,0.34565383634973235
experiment,20230602,8998,95,4169,93,4262,614,3447,0.47366081351411427,0.4633251833740831
experiment,20230613,5421,83,1390,29,1419,367,3611,0.26175982291090205,0.2564102564102564
experiment,20230615,4216,85,999,105,1104,526,2767,0.2618595825426945,0.23695445920303607
experiment,20230620,5460,62,864,1153,2017,1113,3001,0.36941391941391943,0.15824175824175823
experiment,20230622,3582,83,856,157,1013,187,1906,0.28280290340591846,0.23897264098269122
experiment,20230627,4193,95,915,179,1094,421,2831,0.2609110422132125,0.21822084426424995
experiment,20230629,3918,98,1652,186,1838,218,1125,0.46911689637570186,0.4216436957631445
experiment,20240509_18ss,25,25,1,0,1,1,24,0.04,0.04
experiment,20240509_24hpf,32,32,0,0,0,0,29,0.0,0.0
experiment,20240510,59,59,0,0,0,0,57,0.0,0.0
experiment,20240717,68,68,6,0,6,3,56,0.08823529411764706,0.08823529411764706
experiment,20240718,99,99,1,0,1,0,93,0.010101010101010102,0.010101010101010102
experiment,20240724,56,56,0,0,0,0,56,0.0,0.0
experiment,20240725,64,64,7,2,9,2,53,0.140625,0.109375
experiment,20240726,60,60,6,1,7,3,49,0.11666666666666667,0.1
experiment,20240813_24hpf,48,48,0,0,0,0,47,0.0,0.0
experiment,20240813_30hpf,50,50,10,0,10,8,38,0.2,0.2
experiment,20240813_36hpf,50,50,11,0,11,10,38,0.22,0.22
experiment,20250501,24718,142,3077,8974,12051,579,2319,0.48753944493891094,0.12448418156808803
experiment,20250512,24569,126,11807,4097,15904,2966,7108,0.6473197932353779,0.4805649395579796
experiment,20250515_part2,3510,130,1025,81,1106,613,1351,0.31509971509971507,0.292022792022792
experiment,20250519,4179,82,1396,91,1487,1212,2549,0.3558267528116774,0.33405120842306774
experiment,20250612_24hpf_ctrl_atf6,97,97,1,1,2,1,93,0.020618556701030927,0.010309278350515464
experiment,20250612_24hpf_wfs1_ctcf,96,96,5,2,7,4,88,0.07291666666666667,0.052083333333333336
experiment,20250612_30hpf_ctrl_atf6,97,97,21,2,23,20,72,0.23711340206185566,0.21649484536082475
experiment,20250612_30hpf_wfs1_ctcf,97,97,20,1,21,19,74,0.21649484536082475,0.20618556701030927
experiment,20250612_36hpf_ctrl_atf6,102,102,16,3,19,10,81,0.18627450980392157,0.1568627450980392
experiment,20250612_36hpf_wfs1_ctcf,97,97,24,0,24,22,72,0.24742268041237114,0.24742268041237114
experiment,20250622_chem_28C_T00_1425,91,91,12,3,15,6,76,0.16483516483516483,0.13186813186813187
experiment,20250622_chem_28C_T01_1658,86,86,12,1,13,8,72,0.1511627906976744,0.13953488372093023
experiment,20250622_chem_34C_T00_1256,78,78,3,1,4,4,73,0.05128205128205128,0.038461538461538464
experiment,20250622_chem_34C_T01_1632,79,79,7,0,7,5,69,0.08860759493670886,0.08860759493670886
experiment,20250624_chem02_28C_T00_1356,104,104,39,1,40,32,57,0.38461538461538464,0.375
experiment,20250624_chem02_28C_T01_1808,97,97,45,2,47,40,45,0.4845360824742268,0.4639175257731959
experiment,20250624_chem02_34C_T00_1243,78,78,20,2,22,14,38,0.28205128205128205,0.2564102564102564
experiment,20250624_chem02_34C_T01_1739,75,75,30,2,32,21,22,0.4266666666666667,0.4
experiment,20250624_chem02_35C_T00_1216,81,81,25,3,28,13,49,0.345679012345679,0.30864197530864196
experiment,20250624_chem02_35C_T01_1711,84,84,45,4,49,24,29,0.5833333333333334,0.5357142857142857
experiment,20250625_chem02_28C_T02_1332,96,96,23,0,23,12,46,0.23958333333333334,0.23958333333333334
experiment,20250625_chem02_34C_T02_1301,82,82,45,7,52,6,23,0.6341463414634146,0.5487804878048781
experiment,20250625_chem02_35C_T02_1228,84,84,63,3,66,9,14,0.7857142857142857,0.75
experiment,20250703_chem3_28C_T00_1325,61,61,0,0,0,0,53,0.0,0.0
experiment,20250703_chem3_34C_T00_1131,58,58,0,0,0,0,54,0.0,0.0
experiment,20250703_chem3_34C_T01_1457,59,59,0,0,0,0,50,0.0,0.0
experiment,20250703_chem3_35C_T00_1101,65,65,0,0,0,0,54,0.0,0.0
experiment,20250703_chem3_35C_T01_1437,58,58,0,0,0,0,50,0.0,0.0
