k_lower,dimension,stratum,rows,too_small_rows,eligible_rows,row_recovery_vs_k0.90
0.7,experiment,20230531,7846,2296,4178,134
0.7,experiment,20230602,8998,3570,3558,111
0.7,experiment,20230613,5421,1094,3697,86
0.7,experiment,20230615,4216,741,2904,137
0.7,experiment,20230620,5460,608,3092,91
0.7,experiment,20230622,3582,557,1951,45
0.7,experiment,20230627,4193,690,2959,128
0.7,experiment,20230629,3918,1148,1192,67
0.7,experiment,20240509_18ss,25,1,24,0
0.7,experiment,20240509_24hpf,32,0,29,0
0.7,experiment,20240510,59,0,57,0
0.7,experiment,20240717,68,3,57,1
0.7,experiment,20240718,99,1,93,0
0.7,experiment,20240724,56,0,56,0
0.7,experiment,20240725,64,5,53,0
0.7,experiment,20240726,60,3,51,2
0.7,experiment,20240813_24hpf,48,0,0,0
0.7,experiment,20240813_30hpf,50,4,0,0
0.7,experiment,20240813_36hpf,50,2,47,9
0.7,experiment,20250501,24718,2654,2320,1
0.7,experiment,20250512,24569,10957,7409,301
0.7,experiment,20250515_part2,3510,793,1430,79
0.7,experiment,20250519,4179,1085,2776,227
0.7,experiment,20250612_24hpf_ctrl_atf6,97,0,94,1
0.7,experiment,20250612_24hpf_wfs1_ctcf,96,1,92,4
0.7,experiment,20250612_30hpf_ctrl_atf6,97,2,90,18
0.7,experiment,20250612_30hpf_wfs1_ctcf,97,1,93,19
0.7,experiment,20250612_36hpf_ctrl_atf6,102,5,90,9
0.7,experiment,20250612_36hpf_wfs1_ctcf,97,1,94,22
0.7,experiment,20250622_chem_28C_T00_1425,91,8,79,3
0.7,experiment,20250622_chem_28C_T01_1658,86,5,78,6
0.7,experiment,20250622_chem_34C_T00_1256,78,0,76,3
0.7,experiment,20250622_chem_34C_T01_1632,79,3,73,4
0.7,experiment,20250624_chem02_28C_T00_1356,104,18,76,19
0.7,experiment,20250624_chem02_28C_T01_1808,97,19,71,26
0.7,experiment,20250624_chem02_34C_T00_1243,78,5,50,12
0.7,experiment,20250624_chem02_34C_T01_1739,75,8,42,20
0.7,experiment,20250624_chem02_35C_T00_1216,81,10,57,8
0.7,experiment,20250624_chem02_35C_T01_1711,84,21,43,14
0.7,experiment,20250625_chem02_28C_T02_1332,96,18,48,2
0.7,experiment,20250625_chem02_34C_T02_1301,82,32,28,5
0.7,experiment,20250625_chem02_35C_T02_1228,84,51,17,3
0.7,experiment,20250703_chem3_28C_T00_1325,61,0,53,0
0.7,experiment,20250703_chem3_34C_T00_1131,58,0,54,0
0.7,experiment,20250703_chem3_34C_T01_1457,59,0,50,0
0.7,experiment,20250703_chem3_35C_T00_1101,65,0,54,0
0.7,experiment,20250703_chem3_35C_T01_1437,58,0,50,0
0.7,experiment,20250711,19723,4090,10526,107
0.7,experiment,20250716_chem4_28C_T00_1158,87,4,76,1
0.7,experiment,20250716_chem4_28C_T01_1400,94,11,74,7
0.7,experiment,20250716_chem4_34C_T00_1014,94,8,85,0
0.7,experiment,20250716_chem4_35C_T00_1045,91,10,78,2
0.7,experiment,20250721_chem5_28C_T00_1257,107,10,92,0
0.7,experiment,20250721_chem5_28C_T01_1401,107,12,93,0
0.7,experiment,20250721_chem5_35C_T00_1023,108,13,89,0
0.7,experiment,20250912,15572,9411,2950,172
0.7,experiment,20251017_part1,6794,567,4101,198
0.7,experiment,20251017_part2,7559,1646,2416,118
0.7,experiment,20251020,5216,2323,1160,36
0.7,experiment,20251112,6991,1734,3503,85
0.7,experiment,20251119,10440,5447,3902,425
0.7,experiment,20251121,20857,3705,7071,49
0.7,experiment,20251125,21934,7018,8781,550
0.7,experiment,20251205,12291,1485,6401,366
0.7,experiment,20251207_pbx,14760,1568,7664,424
0.7,experiment,20251212,11437,2501,4873,229
0.7,experiment,20260122,20098,3019,9663,406
0.7,experiment,20260202,16943,5310,6508,360
0.7,experiment,20260206,14700,727,11990,269
0.7,experiment,20260208,31680,22335,7009,635
0.7,experiment,20260210,15892,779,9547,547
0.7,experiment,20260213,29010,16801,3025,205
0.7,experiment,20260219,31713,15511,7701,678
0.7,experiment,20260228,17012,3349,9428,745
0.7,experiment,20260304,37409,14118,6401,273
0.7,experiment,20260306,26979,9420,6646,269
0.7,experiment,20260319,10269,1289,2708,121
0.7,experiment,20260319_cilia_crispant_18hpf,92,1,55,0
0.7,experiment,20260319_cilia_crispant_24hpf,99,0,69,0
0.7,experiment,20260319_cilia_crispant_30hpf,102,3,80,0
0.7,experiment,20260324_cep290_24hpf_plate01,101,2,91,0
0.7,experiment,20260324_cep290_24hpf_plate02,101,0,74,0
0.7,experiment,20260324_cep290_30hpf_plate01,98,2,91,0
0.7,experiment,20260324_cep290_30hpf_plate02,72,9,55,0
0.7,experiment,20260331_b9d2_18hpf_plate02,70,2,45,0
0.7,experiment,20260414_b9d2_14hpf_plate01,107,4,97,0
0.7,experiment,20260414_b9d2_30hpf_plate01,106,8,94,1
0.7,experiment,20260414_b9d2_30hpf_plate02,72,4,63,4
0.7,experiment,20260415_b9d2_30to48hpf_plate01_t02,109,12,92,1
0.7,experiment,20260415_b9d2_30to48hpf_plate02_t02,58,4,47,5
0.7,experiment,20260415_cep290_18hpf_plate03,81,13,44,2
0.7,experiment,20260415_cep290_30to48hpf_plate02_t01,93,7,52,1
0.7,experiment,20260416_cep290_30to48hpf_plate01_t02,109,13,92,3
0.7,experiment,20260416_cep290_30to48hpf_plate02_t02,70,10,50,1
0.7,experiment,20260417_irx_pilot,4968,157,3764,153
0.7,experiment,20260418_irx_pilot,15251,6542,6793,2403
