well,x_um,y_um
A01,48801.5,-31080.9
A02,39678.6,-31277.7
A03,30678.8,-31277.600000000002
A04,21678.6,-31277.5
A05,12678.599999999999,-31277.7
A06,3678.699999999999,-31277.600000000002
A07,-5321.200000000002,-31277.600000000002
A08,-14321.100000000002,-31277.5
A09,-23321.300000000003,-31277.600000000002
A10,-32321.200000000004,-31277.600000000002
A11,-41321.100000000006,-31277.5
A12,-50321.3,-31277.600000000002
B01,48678.9,-22277.4
B02,39678.700000000004,-22277.5
B03,30678.8,-22277.600000000002
B04,21678.8,-22277.5
B05,12678.8,-22277.5
B06,3678.699999999999,-22277.600000000002
B07,-5321.000000000002,-22277.600000000002
B08,-14321.100000000002,-22277.5
B09,-23321.100000000002,-22277.600000000002
B10,-32321.100000000002,-22277.600000000002
B11,-41321.100000000006,-22277.5
B12,-50321.100000000006,-22277.5
C01,48678.9,-13277.5
C02,39678.8,-13277.7
C03,30678.8,-13277.5
C04,21678.8,-13277.5
C05,12678.9,-13277.5
C06,3678.799999999999,-13277.6
C07,-5321.000000000002,-13277.5
C08,-14321.000000000002,-13277.6
C09,-23321.100000000002,-13277.5
C10,-32321.100000000002,-13277.6
C11,-41321.00000000001,-13277.5
C12,-50321.100000000006,-13277.6
D01,48678.9,-4277.2
D02,39678.8,-4277.5
D03,30678.8,-4277.400000000001
D04,21678.7,-4277.6
D05,12678.8,-4277.400000000001
D06,3678.699999999999,-4277.6
D07,-5321.100000000002,-4277.5
D08,-14321.000000000002,-4277.6
D09,-23321.100000000002,-4277.3
D10,-32321.100000000002,-4277.6
D11,-41321.00000000001,-4277.400000000001
D12,-50321.100000000006,-4277.5
E01,48678.8,4722.7
E02,39678.9,4722.400000000001
E03,30678.8,4722.5
E04,21678.7,4722.400000000001
E05,12678.8,4722.5
E06,3678.9999999999986,4722.3
E07,-5321.100000000002,4722.5
E08,-14321.000000000002,4722.3
E09,-23321.200000000004,4722.400000000001
E10,-32321.100000000002,4722.400000000001
E11,-41321.100000000006,4722.5
E12,-50321.100000000006,4722.400000000001
F01,48678.700000000004,13722.5
F02,39678.8,13722.300000000001
F03,30678.7,13722.5
F04,21678.9,13722.400000000001
F05,12678.699999999999,13722.400000000001
F06,3678.8999999999987,13722.400000000001
F07,-5321.200000000002,13722.5
F08,-14321.000000000002,13722.300000000001
F09,-23321.200000000004,13722.7
F10,-32321.000000000004,13722.300000000001
F11,-41321.100000000006,13722.400000000001
F12,-50321.100000000006,13722.300000000001
G01,48678.700000000004,22722.5
G02,39678.9,22722.4
G03,30678.7,22722.600000000002
G04,21678.8,22722.4
G05,12678.599999999999,22722.5
G06,3678.8999999999987,22722.5
G07,-5321.200000000002,22722.5
G08,-14321.000000000002,22722.5
G09,-23321.200000000004,22722.600000000002
G10,-32321.000000000004,22722.300000000003
G11,-41321.100000000006,22722.600000000002
G12,-50321.200000000004,22722.5
H01,48678.700000000004,31722.7
H02,39678.8,31722.600000000002
H03,30678.7,31722.600000000002
H04,21678.9,31722.600000000002
H05,12678.8,31722.800000000003
H06,3678.8999999999987,31722.600000000002
H07,-5321.200000000002,31722.4
H08,-14320.900000000001,31722.800000000003
H09,-23321.200000000004,31722.5
H10,-32321.000000000004,31722.7
H11,-41321.200000000004,31722.300000000003
H12,-50321.100000000006,31722.7
