stage_hpf,p5,p50,p95,n
0.25,13.707061602629285,70.27385310032949,314.6177998216218,0
0.75,13.70706160262928,70.27385310032946,314.61779982162176,0
1.25,13.707061602629285,70.2738531003295,314.61779982162204,0
1.75,13.707061602629285,70.2738531003295,314.61779982162204,0
2.25,13.707061602629285,70.2738531003295,314.61779982162204,0
2.75,13.707061602629285,70.2738531003295,314.61779982162204,0
3.25,13.707061602629285,70.2738531003295,314.61779982162204,0
3.75,13.707061602629285,70.2738531003295,314.61779982162204,0
4.25,13.707061602629285,70.2738531003295,314.61779982162204,0
4.75,13.707061602629285,70.2738531003295,314.61779982162204,0
5.25,13.707061602629285,70.2738531003295,314.61779982162204,0
5.75,13.707061602629285,70.2738531003295,314.61779982162204,0
6.25,13.707061602629285,70.2738531003295,314.61779982162204,0
6.75,13.707061602629285,70.2738531003295,314.61779982162204,0
7.25,13.707061602629285,70.2738531003295,314.61779982162204,0
7.75,13.707061602629285,70.2738531003295,314.61779982162204,0
8.25,13.707061602629285,70.2738531003295,314.61779982162204,0
8.75,13.707061602629285,70.2738531003295,314.61779982162204,0
9.25,13.707061602629285,70.2738531003295,314.61779982162204,0
9.75,10.480976679375992,66.08391608174597,311.19874992086295,0
10.25,20.43822042570128,76.65041768733239,324.48962983596635,20
10.75,48.588568283983214,127.51715374815903,351.2191567480519,16
11.25,86.33247113782193,170.95611746363545,346.9311809506972,16
11.75,105.14427385324835,171.25217168027405,302.3021650732376,19
12.25,96.44852390131852,161.60042081849036,248.33035396621437,25
12.75,109.13612608498701,177.86221652286213,227.66321427539276,20
13.25,139.5471398732148,198.8319816065878,266.29013423637093,20
13.75,163.0762044499201,205.6908258577878,319.84853840316975,20
14.25,159.33925808792122,219.95921530617764,346.49626745120514,20
14.75,153.59179509320325,229.60587097225053,388.7472100722781,25
15.25,155.58244596215394,255.91900908381677,458.8925319554581,20
15.75,168.86403892559875,284.56766476639075,535.5057000101258,20
