stage_hpf,p5,p50,p95,n
0.25,-672.21550981006,-650.7572142282608,-410.35573445579485,0
0.75,-627.025558463089,-597.257831986788,-357.31552760016064,0
1.25,-582.1954177132482,-544.2823132977586,-304.809257318767,0
1.75,-537.7238008226379,-491.82816371959024,-252.8343203294662,0
2.25,-493.6094210533593,-439.89288881070047,-201.38811335011067,0
2.75,-449.8509916675132,-388.47399412950693,-150.46803309855284,0
3.25,-406.4472259272004,-337.5689852344273,-100.07147629264495,0
3.75,-363.3968370945218,-287.17536768387913,-50.19583965023941,0
4.25,-320.69853843157824,-237.29064703628006,-0.8385198891886034,0
4.75,-278.3510432004706,-187.9123288500479,48.003086272655025,0
5.25,-236.35306466329973,-139.03791868359997,96.33158211743938,0
5.75,-194.70331608216645,-90.6649220953542,144.1495709273118,0
6.25,-153.40051071917173,-42.790844643728065,191.45965598441995,0
6.75,-112.44336183641633,4.586808112860695,238.26444057091174,0
7.25,-71.8305826960011,51.47053061599456,284.5665279689345,0
7.75,-31.560886560026916,97.86281730725591,330.36852146063603,0
8.25,8.367013309405365,143.766162628227,375.6730243281639,0
8.75,47.95440365019488,189.1830610204903,420.4826398536657,0
9.25,87.20257120024075,234.1160069256282,464.7999713192891,0
9.75,126.11280269744213,278.56749478522295,508.62762200718186,0
10.25,164.68638487969804,322.5400190408569,551.9681951994914,20
10.75,202.92460448490783,366.0360741341127,594.8242941783656,16
11.25,240.82874825097065,409.0581545065721,637.1985222259518,16
11.75,278.4001029157854,451.6087545998183,679.0934826243979,19
12.25,315.63995521725155,493.6903688554331,720.5117786558515,25
12.75,352.5495918932679,535.3054917149988,761.4560136024602,20
13.25,389.13029968173373,576.4566176200984,801.9287907463713,20
13.75,425.38336532054836,617.1462410123135,841.9327133697329,20
14.25,461.3100755476105,657.3768563332268,881.4703847546925,20
14.75,496.9117171008197,697.1509580244209,920.5444081833978,25
15.25,532.1895767180754,736.4710405274778,959.1573869379961,20
15.75,567.1449411372757,775.3395982839801,997.3119243006354,20
16.25,601.7790970963208,813.7591257355099,1035.0106235534631,20
16.75,636.0933313331091,851.73211732365,1072.256087978627,25
17.25,670.0889305855401,889.2610674899821,1109.0509208582748,20
17.75,703.767181591513,926.3484706760895,1145.397725474554,20
18.25,737.1293710889265,962.996821323554,1181.2991051096121,20
18.75,770.1767858156804,999.2086138739577,1216.757663045597,20
19.25,802.9107125096734,1034.9863427688833,1251.7760025646562,25
19.75,835.3324379088049,1070.3325024499136,1286.3567269489372,20
20.25,867.4432487509735,1105.24958735863,1320.502439480588,20
20.75,899.2444317740792,1139.7400919366155,1354.2157434417559,20
21.25,930.7372737160201,1173.8065106254526,1387.4992421145885,20
21.75,961.9230613146965,1207.4513378667234,1420.355538781234,20
22.25,992.8030813080065,1240.6770681020103,1452.7872367238392,25
22.75,1023.3786204338498,1273.486195772895,1484.7969392245523,18
23.25,1053.650965430126,1305.8812153209615,1516.3872495655205,17
23.75,1083.621403034733,1337.8646211877908,1547.5607710288923,18
24.25,1113.291219985571,1369.4389078149652,1578.3201068968142,19
24.75,1142.6617030205384,1400.6065696440678,1608.6678604514348,24
25.25,1171.7341388775353,1431.3701011166809,1638.6066349749012,35
25.75,1200.5098142944596,1461.7319966743867,1668.1390337493613,34
26.25,1228.9900160092113,1491.6947507587674,1697.2676600569625,33
26.75,1257.1760307596894,1521.2608578114055,1725.995117179852,35
27.25,1285.069145283793,1550.4328122738834,1754.324008400179,38
27.75,1312.6706463194214,1579.2131085877836,1782.2569370000892,33
28.25,1339.9818206044733,1607.6042411946878,1809.7965062617318,18
28.75,1367.0039548768477,1635.6087045361792,1836.9453194672533,35
29.25,1393.738335874445,1663.22899305384,1863.7059798988025,39
29.75,1420.1862503351626,1690.467601189252,1890.0810908385251,33
30.25,1446.3489849969014,1717.3270233839985,1916.0732555685713,34
30.75,1472.2278265975592,1743.8097540796612,1941.6850773710862,32
31.25,1497.824061875036,1769.9182877178223,1966.9191595282196,19
31.75,1523.13897756723,1795.655118740065,1991.7781053221183,34
32.25,1548.1738604120414,1821.0227415879704,2016.264518034929,29
