stage_hpf,p5,p50,p95,n
0.25,-0.010014237162056348,78.67246352381049,306.90306152235576,0
0.75,10.251449587585112,75.6656071253693,313.07349971035796,0
1.25,17.3327276786393,72.84269310961952,317.17515850488695,0
1.75,21.633465052786672,70.2529290698682,319.4916420429858,0
2.25,23.553306726813396,67.94552259942249,320.306554461698,0
2.75,23.49189771750565,65.96968129158947,319.9034998980666,0
3.25,21.848883041649614,64.37461273967618,318.5660824891349,0
3.75,19.02390771603144,63.20952453698977,316.5779063719462,0
4.25,15.4166167574373,62.52362427683731,314.2225756835436,0
4.75,11.426655182653372,62.36611955252591,311.7836945609704,0
5.25,7.453668008465835,62.78621795736265,309.5448671412699,0
5.75,3.8973002516608393,63.83312708465463,307.78969756148535,0
6.25,1.1571969290245754,65.55605452770891,306.8017899586599,0
6.75,-0.36699694265681515,68.0042078798326,306.8647484698368,0
7.25,-0.27563634659713543,71.22679473433286,308.26217723205946,0
7.75,1.830923733989792,75.27302268451669,311.2776803823708,0
8.25,6.352328315890105,80.19209932369121,316.1948620578144,0
8.75,13.688222415890003,86.03323224516353,323.2973263954333,0
9.25,24.03884805854893,92.84562904224073,332.1130798549162,0
9.75,36.80683529951947,100.67849730822994,339.1477381865328,0
10.25,51.19541120222752,109.58104463643816,340.1513194631987,20
10.75,66.40780283009893,119.60247862017258,330.87384175782904,16
11.25,81.64723724655963,130.79200685274026,309.38486772252685,16
11.75,96.11694151503545,143.19883692744827,283.0321383261475,19
12.25,109.02014269895226,156.87217643760374,261.4829391167337,25
12.75,119.56006786173599,171.86123297651372,254.4045556423285,20
13.25,127.32005293153044,188.2152141374853,268.9507974513052,20
13.75,133.4038692953514,205.98332751382566,302.22157009335854,20
14.25,139.29539720493258,225.21478069884182,348.80330311851367,20
14.75,146.4785169120077,245.95878128584087,403.28242607679556,25
15.25,156.4371086683105,268.26453686812994,460.67917780152135,20
15.75,170.65505272557473,292.18125503901604,517.7490342591752,20
16.25,190.61622933553406,317.7581433918064,571.6812806995333,20
16.75,217.8045187499223,345.044409519808,619.6652023723719,25
17.25,252.45050359917556,377.6178475309261,659.9655455088293,20
17.75,289.77157602853987,433.1705975914581,695.148900265493,20
18.25,323.73183056196336,518.7244029139309,728.8573177803121,20
18.75,348.2953617233948,584.5050728373977,764.7328491912363,20
19.25,357.42626403678236,582.9542961851153,795.7273534167792,25
19.75,345.08863202607455,532.173213590634,772.0319204977111,20
20.25,305.2465602152196,466.6778286400771,672.4070590871775,20
20.75,231.86414312816603,420.9841449195679,632.6517211655687,20
21.25,145.04775744801793,437.2206284380557,790.4268584322598,20
21.75,169.47290849450215,587.9655948957937,1083.1721432361803,20
22.25,363.0673446119271,894.4921976530284,1294.34369419901,25
22.75,412.1986576063056,1163.7107395184653,1447.732491164276,18
23.25,206.42075531848235,1271.8046201000177,1511.250077867778,17
23.75,434.44687755973854,1288.105397756892,1599.6920177765314,18
24.25,687.1825265718279,1304.8054846808625,1620.267843130749,19
24.75,757.1881642485885,1333.700198142478,1588.560163586168,24
25.25,654.1695779343532,1367.80069437398,1677.7125236542356,35
25.75,669.6128084161638,1405.3785803756057,1778.7174151577317,34
26.25,964.669880312722,1446.0205758395925,1759.1786975101284,33
26.75,1098.370037703129,1489.3134004581786,1727.1835167244444,35
27.25,1171.7497438253363,1534.843773923601,1794.6538482627136,38
27.75,1242.0875930217146,1582.198415928097,1848.3676987834772,33
28.25,1305.4743280166208,1630.964046163904,1810.1850725683832,18
28.75,1358.000691534413,1680.7273843232595,1870.4622674161662,35
29.25,1397.0560207516935,1731.0751500984009,1955.8433544017532,39
29.75,1425.2240306540507,1781.5940631815654,2027.2865250913298,33
30.25,1446.3870306793171,1831.87084326499,2078.5724176186013,34
30.75,1464.427330265326,1881.4922100409133,2103.4816701172745,32
31.25,1499.0292960685408,1930.0448832015718,2105.337325658199,19
31.75,1633.0855236199525,1977.1155824392033,2125.632047060801,34
32.25,1861.2795475831613,2022.2910274460446,2195.35141838858,29
32.75,1911.851360103689,2065.157937914333,2265.2830889327565,29
33.25,1941.8428118681911,2105.390778090028,2284.8477762247944,26
33.75,1995.5337126818963,2143.0149904339673,2278.1964055294056,27
34.25,2051.6131296731746,2178.1437619607113,2282.7372969108856,14
34.75,2088.7701299703986,2210.8902796848215,2314.1781418986225,28
35.25,2093.042450171384,2241.367730620855,2374.030968458781,25
35.75,2079.862504751729,2269.689301783374,2428.7257788395423,27
36.25,2072.011377656474,2295.968180186939,2447.744220216115,30
36.75,2092.2701528306634,2320.3175528461084,2447.856545189823,26
37.25,2151.0174825998865,2342.850606775443,2452.563047025334,31
37.75,2209.022292811932,2363.680528989503,2464.9955762146074,16
38.25,2230.3848918182885,2382.9205065028477,2483.1938725564196,33
38.75,2242.140844463048,2400.6837263300376,2505.197675849552,28
39.25,2270.808860807904,2417.083375485632,2529.046725892782,29
39.75,2277.9049752923497,2432.232640984193,2552.7807624848892,25
40.25,2230.9959276607906,2446.244709840278,2574.4395254246533,30
40.75,2186.85395449948,2459.2327690684483,2592.0627545108528,29
41.25,2203.9692568535825,2471.310005683264,2604.263853965093,24
41.75,2258.498396762057,2482.5896066992855,2611.9508857002843,37
42.25,2306.0145265123087,2493.184759131072,2616.605576052165,37
42.75,2302.0907983917464,2503.208649993184,2619.7096513564725,34
43.25,2232.396227204051,2512.7744663001804,2622.7448379489433,27
43.75,2202.983277817998,2521.9953950666227,2627.192862165314,35
44.25,2282.4120725906732,2530.98462330707,2634.5354503413246,31
44.75,2268.889913767315,2539.855338036083,2646.25432881271,20
45.25,2116.4390960513533,2548.7207262682214,2663.0774705409394,33
45.75,2318.705334119028,2557.6939750180445,2682.717834990409,34
46.25,2332.058318280633,2566.888271300114,2702.1346282512454,35
46.75,2130.4927577010076,2576.4168021289884,2718.2870564135774,26
47.25,2367.0927059578253,2586.3927545192278,2729.070934832518,32
47.75,2386.6260347746684,2596.929315485393,2736.128515923136,20
48.25,2359.978132376952,2608.1396720420435,2742.0386613654864,30
48.75,2365.8844706399527,2620.1370112037393,2749.3802328396227,30
49.25,2377.0153208770907,2632.785239269775,2760.007720620315,23
49.75,2387.8898914257556,2644.951139678378,2772.878129361189,29
50.25,2398.4896248793298,2655.252215152511,2786.224092310585,29
50.75,2408.7959638311936,2662.3059684151362,2798.2782427168418,23
51.25,2418.7903508747277,2665.10482328507,2807.2732138283,13
51.75,2428.454228603313,2664.14088796454,2811.4416388932977,19
52.25,2437.7690396103303,2660.2811917516287,2809.0161511601773,19
52.75,2446.7162264891626,2654.392763944419,2798.229383877278,19
53.25,2455.2772318331886,2647.2770114929335,2776.3005404330993,20
53.75,2463.43349823579,2639.4728519549553,2736.395104776788,6
54.25,2471.1664682903493,2631.453580540211,2682.3247271896894,1
54.75,2478.4575845902464,2623.6924924584246,2664.539442721316,8
55.25,2485.2882897288623,2616.6628829193214,2736.700813550655,6
55.75,2491.6400262995785,2610.838047132625,2862.852993424135,8
56.25,2497.4942368957754,2606.691280308062,2851.8370255529912,8
56.75,2502.8323641108345,2604.6958776553547,2779.143517112968,7
