rank,embryo_id,avg_surface_area_um
1,20251119_B01_e01,952480.2191835444
2,20251119_G04_e01,903724.3346432835
3,20251119_H03_e01,889606.9298583333
4,20251119_F01_e01,881106.4545182927
5,20251119_D04_e01,868764.2450910256
6,20251119_D03_e01,865547.518342
7,20251119_G02_e01,859831.1964986667
8,20251119_H04_e01,855497.3694464286
9,20251119_G01_e01,854054.4851763889
10,20251119_B02_e01,846519.5782586667
11,20251119_A01_e01,841379.4895318181
12,20251119_E04_e01,841069.3325857143
13,20251119_H01_e01,835911.6655367647
14,20251119_C03_e01,834840.0205493671
15,20251119_H02_e01,832957.3535088607
16,20251119_D02_e01,829512.6536797618
17,20251119_C04_e01,825712.3984749999
18,20251119_F03_e01,811079.9104394737
19,20251119_A02_e01,799807.7941619048
20,20251119_E02_e01,707797.4233047619
21,20251119_E01_e01,702440.1329880952
22,20251119_C02_e01,699816.59785
23,20251119_C01_e01,692758.1662345238
24,20251119_G03_e01,692747.3554761905
25,20251119_F04_e01,677331.0887142858
26,20251119_A03_e01,674585.4044202381
27,20251119_B03_e01,668898.8208619048
