cohort,wells,well_pass,well_fail,well_nosnip,snips,snip_pass,snip_fail
24C_dmso,24,0,6,18,12,0,12
24C_hsp90,24,3,6,15,12,3,9
24C_mTor,24,0,11,13,20,0,20
28C_dmso,36,0,14,22,25,0,25
28C_hsp90,36,0,13,23,21,0,21
28C_mTor,36,2,12,22,31,2,29
32C_dmso,36,2,11,23,24,2,22
32C_hsp90,36,2,13,21,33,2,31
32C_mTor,36,1,11,24,20,1,19
34C_dmso,48,1,19,28,38,1,37
34C_hsp90,48,0,13,35,25,0,25
34C_mTor,48,7,13,28,36,7,29
35C_dmso,48,3,19,26,42,3,39
35C_hsp90,48,1,18,29,40,1,39
35C_mTor,48,5,9,34,22,5,17
