image_id,image_path,relative_path,filename,stem,extension,size_bytes,modified_time,perturbation_domain,experiment_id,batch_folder,width_px,height_px,image_mode,image_role,excluded_path,read_error,stage_hpf,stage_source_label,stage_addition_hpf,stage_addition_source_label,perturbation_parsed,perturbation_key,fov_label,source_embryo_label,crop_variant,filename_parse_method,metadata_match_status,metadata_match_score,metadata_candidate_count,metadata_row_number,metadata_collection_name,metadata_collection_status,metadata_collection_user,metadata_notes,metadata_expt,metadata_cross_batch,metadata_collection_batch,metadata_perturbation,metadata_collection_date,metadata_perturbation_type,metadata_stage_addition,metadata_dose,metadata_stage_collected,metadata_ancestors,metadata_end,metadata_collection_date_excel_raw,metadata_stage_hpf
20c70b0f7aa46705,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/image_data/chemical_perturbations/CHEM13/images/10_60hpf_ctrl_72hpf.jpg,chemical_perturbations/CHEM13/images/10_60hpf_ctrl_72hpf.jpg,10_60hpf_ctrl_72hpf.jpg,10_60hpf_ctrl_72hpf,.jpg,137240,2025-04-25 21:43:47.000000000,chemical,CHEM13,,1280,960,RGB,eight_embryo_fov,False,,72.0,72hpf,60.0,60hpf,ctrl,ctrl,10,,,numbered_chemical_filename,unmatched_condition,0.16666666666666666,1,,,,,,,,,,,,,,,,,,
23dc5d6eebe304c8,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/image_data/chemical_perturbations/CHEM13/images/11_48hpf_SB505124_96hpf.jpg,chemical_perturbations/CHEM13/images/11_48hpf_SB505124_96hpf.jpg,11_48hpf_SB505124_96hpf.jpg,11_48hpf_SB505124_96hpf,.jpg,114641,2025-04-25 21:43:45.000000000,chemical,CHEM13,,1280,960,RGB,eight_embryo_fov,False,,96.0,96hpf,48.0,48hpf,SB505124,sb505124,11,,,numbered_chemical_filename,exact,1.0,1,1104.0,"CHEM13_
SB505124_
48hpf_
96hpf",#NO MATCH,#NO MATCH,#NO MATCH,CHEM13,#NO MATCH,#NO MATCH,SB505124,,drug,48hpf,,96hpf,1.0,,#NO MATCH,96.0
a196b96defeea126,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/image_data/chemical_perturbations/CHEM13/images/12_48hpf_SU5402_96hpf.jpg,chemical_perturbations/CHEM13/images/12_48hpf_SU5402_96hpf.jpg,12_48hpf_SU5402_96hpf.jpg,12_48hpf_SU5402_96hpf,.jpg,114281,2025-04-25 21:43:47.000000000,chemical,CHEM13,,1280,960,RGB,eight_embryo_fov,False,,96.0,96hpf,48.0,48hpf,SU5402,su5402,12,,,numbered_chemical_filename,exact,1.0,1,1105.0,"CHEM13_
SU5402_
48hpf_
96hpf",#NO MATCH,#NO MATCH,#NO MATCH,CHEM13,#NO MATCH,#NO MATCH,SU5402,,drug,48hpf,,96hpf,1.0,,#NO MATCH,96.0
e2cb521420f54843,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/image_data/chemical_perturbations/CHEM13/images/13_48hpf_DMH1_96hpf.jpg,chemical_perturbations/CHEM13/images/13_48hpf_DMH1_96hpf.jpg,13_48hpf_DMH1_96hpf.jpg,13_48hpf_DMH1_96hpf,.jpg,133342,2025-04-25 21:43:47.000000000,chemical,CHEM13,,1280,960,RGB,eight_embryo_fov,False,,96.0,96hpf,48.0,48hpf,DMH1,dmh1,13,,,numbered_chemical_filename,exact,1.0,1,1106.0,"CHEM13_
DMH1_
48hpf_
96hpf",#NO MATCH,#NO MATCH,#NO MATCH,CHEM13,#NO MATCH,#NO MATCH,DMH1,,drug,48hpf,,96hpf,1.0,,#NO MATCH,96.0
a0cfc2b4c0e01610,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/image_data/chemical_perturbations/CHEM13/images/14_48hpf_LY411575_96hpf.jpg,chemical_perturbations/CHEM13/images/14_48hpf_LY411575_96hpf.jpg,14_48hpf_LY411575_96hpf.jpg,14_48hpf_LY411575_96hpf,.jpg,112043,2025-04-25 21:43:47.000000000,chemical,CHEM13,,1280,960,RGB,eight_embryo_fov,False,,96.0,96hpf,48.0,48hpf,LY411575,ly411575,14,,,numbered_chemical_filename,exact,1.0,1,1107.0,"CHEM13_
LY411575_
48hpf_
96hpf",#NO MATCH,#NO MATCH,#NO MATCH,CHEM13,#NO MATCH,#NO MATCH,LY411575,,drug,48hpf,,96hpf,1.0,,#NO MATCH,96.0
1fdf92df0a53d62f,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/image_data/chemical_perturbations/CHEM13/images/15_48hpf_ctrl_96hpf.jpg,chemical_perturbations/CHEM13/images/15_48hpf_ctrl_96hpf.jpg,15_48hpf_ctrl_96hpf.jpg,15_48hpf_ctrl_96hpf,.jpg,116418,2025-04-25 21:43:47.000000000,chemical,CHEM13,,1280,960,RGB,eight_embryo_fov,False,,96.0,96hpf,48.0,48hpf,ctrl,ctrl,15,,,numbered_chemical_filename,unmatched_condition,0.16666666666666666,1,,,,,,,,,,,,,,,,,,
9acddbf675094202,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/image_data/chemical_perturbations/CHEM13/images/16_60hpf_SB505124_96hpf.jpg,chemical_perturbations/CHEM13/images/16_60hpf_SB505124_96hpf.jpg,16_60hpf_SB505124_96hpf.jpg,16_60hpf_SB505124_96hpf,.jpg,129396,2025-04-25 21:43:46.000000000,chemical,CHEM13,,1280,960,RGB,eight_embryo_fov,False,,96.0,96hpf,60.0,60hpf,SB505124,sb505124,16,,,numbered_chemical_filename,exact,1.0,1,1108.0,"CHEM13_
SB505124_
60hpf_
96hpf",#NO MATCH,#NO MATCH,#NO MATCH,CHEM13,#NO MATCH,#NO MATCH,SB505124,,drug,60hpf,,96hpf,1.0,,#NO MATCH,96.0
522a03cca520cd62,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/image_data/chemical_perturbations/CHEM13/images/17_60hpf_SU5402_96hpf.jpg,chemical_perturbations/CHEM13/images/17_60hpf_SU5402_96hpf.jpg,17_60hpf_SU5402_96hpf.jpg,17_60hpf_SU5402_96hpf,.jpg,126702,2025-04-25 21:43:46.000000000,chemical,CHEM13,,1280,960,RGB,eight_embryo_fov,False,,96.0,96hpf,60.0,60hpf,SU5402,su5402,17,,,numbered_chemical_filename,exact,1.0,1,1109.0,"CHEM13_
SU5402_
60hpf_
96hpf",#NO MATCH,#NO MATCH,#NO MATCH,CHEM13,#NO MATCH,#NO MATCH,SU5402,,drug,60hpf,,96hpf,1.0,,#NO MATCH,96.0
15e4019d06e07120,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/image_data/chemical_perturbations/CHEM13/images/18_60hpf_DMH1_96hpf.jpg,chemical_perturbations/CHEM13/images/18_60hpf_DMH1_96hpf.jpg,18_60hpf_DMH1_96hpf.jpg,18_60hpf_DMH1_96hpf,.jpg,154575,2025-04-25 21:43:46.000000000,chemical,CHEM13,,1280,960,RGB,eight_embryo_fov,False,,96.0,96hpf,60.0,60hpf,DMH1,dmh1,18,,,numbered_chemical_filename,exact,1.0,1,1110.0,"CHEM13_
DMH1_
60hpf_
96hpf",#NO MATCH,#NO MATCH,#NO MATCH,CHEM13,#NO MATCH,#NO MATCH,DMH1,,drug,60hpf,,96hpf,1.0,,#NO MATCH,96.0
fb8fe96008e4ab21,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/image_data/chemical_perturbations/CHEM13/images/19_60hpf_LY411575_96hpf.jpg,chemical_perturbations/CHEM13/images/19_60hpf_LY411575_96hpf.jpg,19_60hpf_LY411575_96hpf.jpg,19_60hpf_LY411575_96hpf,.jpg,114174,2025-04-25 21:43:46.000000000,chemical,CHEM13,,1280,960,RGB,eight_embryo_fov,False,,96.0,96hpf,60.0,60hpf,LY411575,ly411575,19,,,numbered_chemical_filename,exact,1.0,1,1111.0,"CHEM13_
LY411575_
60hpf_
96hpf",#NO MATCH,#NO MATCH,#NO MATCH,CHEM13,#NO MATCH,#NO MATCH,LY411575,,drug,60hpf,,96hpf,1.0,,#NO MATCH,96.0
