control_cohort,mask_selection,n_rows,n_wells,n_fovs,n_stages,row_weighted_median_um_per_px,fov_weighted_median_um_per_px,stage_balanced_median_um_per_px,row_q25_um_per_px,row_q75_um_per_px
chemical vehicle/untreated only,largest mask per intended well,112,112,14,6,7.763199992104622,7.936047604647409,5.788943785698572,4.808100097093713,8.368488325448606
chemical vehicle/untreated only,e01 mask per intended well,112,112,14,6,7.763199992104622,7.936047604647409,5.8290778213565115,5.02988401234289,8.377592190499259
chemical vehicle/untreated only,all masks,140,112,14,6,7.970348532917521,8.0294249530448,6.647053280109466,5.848842984400412,8.590781009590826
genetic ctrl-inj only,largest mask per intended well,208,208,26,8,7.131224242051978,7.861978583732057,5.169352865512254,4.34851047964486,8.381259199340986
genetic ctrl-inj only,e01 mask per intended well,208,208,26,8,7.131224242051978,7.861978583732057,5.169352865512254,4.34851047964486,8.381259199340986
genetic ctrl-inj only,all masks,208,208,26,8,7.131224242051978,7.861978583732057,5.169352865512254,4.34851047964486,8.381259199340986
nominal 28C control only,largest mask per intended well,56,56,7,3,5.415556516771482,5.852039917055829,5.852039917055829,3.7859960443934764,6.899293525502997
nominal 28C control only,e01 mask per intended well,56,56,7,3,6.006186450800101,5.974529067186795,5.852039917055829,4.148611967422326,7.237315524990301
nominal 28C control only,all masks,82,56,7,3,6.877658089548678,6.986443635612772,6.6827940496673435,4.1909866667585565,7.894688654334445
strict reference-like controls,largest mask per intended well,376,376,47,9,7.090086222409274,7.574416005581055,5.658421144198068,4.401198260870097,8.255223219177138
strict reference-like controls,e01 mask per intended well,376,376,47,9,7.222240490551348,7.71848787571114,5.658421144198068,4.483924801013623,8.26641960571057
strict reference-like controls,all masks,430,376,47,9,7.371358611435363,7.574416005581055,5.702120902794606,4.608961250606275,8.399363052562885
broad controls (+24C/+34C),largest mask per intended well,440,440,55,9,6.04261774508746,6.936772108377966,5.658421144198068,4.245405101242082,8.108847766982002
broad controls (+24C/+34C),e01 mask per intended well,440,440,55,9,6.34651207061553,7.118855954251758,5.658421144198068,4.342031113016053,8.145339906814936
broad controls (+24C/+34C),all masks,503,440,55,9,6.896992471960471,7.1105080056950705,5.658421144198068,4.397129532990339,8.256268845997768
