source_experiment_id,predicted_stage_hpf,calibration_fov_id,source_filename,control_class,n_embryos,median_area_px,median_effective_um_per_px,median_strict_wt_effective_um_per_px,q25_effective_um_per_px,q75_effective_um_per_px
GENE6,12.0,69f1965d66ba20e0,12hpf_D_ctrl-inj.jpg,genetic ctrl-inj,8,14489.0,5.658421144198068,5.686785632477263,5.546580868726296,5.847979085702177
CHEM15,14.0,876746bbc597224e,14hpf_DMSO_shield.jpg,chemical vehicle/untreated,8,26349.0,4.3628255794460244,4.250471607060186,4.317668372978361,4.425919056979166
CHEM16,14.0,56c343bb3ccf40ab,14hpf_control_28C.jpg,nominal 28C control,8,14645.0,5.852039917055829,5.701334847767866,4.827205201102318,5.9524560058246925
GENE8,14.0,d9c9fc93b4207ebb,14hpf_I_ctrl-inj.jpg,genetic ctrl-inj,8,36659.5,3.6988592242606173,3.603604092105083,3.6511515984500154,3.728963714666157
GENE6,15.0,a9643cc1daaf39e3,12s_H_ctrl-inj.jpg,genetic ctrl-inj,8,31147.0,4.024051714333734,4.01041081893431,3.9673108989968227,4.048263633704622
CHEM15,18.0,59977d384009f8ad,18hpf_DMSO_shield.jpg,chemical vehicle/untreated,8,39250.0,3.8265981206077746,3.935797764804533,3.739314056788941,3.859897440299169
GENE6,18.0,298eda00fe9f6bbf,18hpf_D_ctrl-inj.jpg,genetic ctrl-inj,8,34730.5,4.068017235419948,4.18410625775595,4.025391438050794,4.113857948911761
GENE8,18.0,558089c5280d1cc6,18hpf_G_ctrl-inj.jpg,genetic ctrl-inj,8,24560.0,4.837541842367363,4.975590791152596,4.762992277229854,5.023279704161621
GENE8,18.0,7f0e486f0fa34b9c,18hpf_I_ctrl-inj.jpg,genetic ctrl-inj,8,40381.0,3.772625463116358,3.8802848893940523,3.7617210133593324,3.8965517446830096
CHEM15,24.0,393960597b9c301d,24hpf_DMSO_shield.jpg,chemical vehicle/untreated,8,36669.00000000001,4.366397044467279,4.630303402285916,4.171988575726273,4.5089944284291334
CHEM16,24.0,a0a6200d8ccb28e9,24hpf_control_28C_1.jpg,nominal 28C control,8,39244.5,4.2231938516589596,4.478444965197891,3.4262306840192944,6.282459425367797
