experiment_id,scope,product,kind,path,reason,missing_columns,planned_action,applied,audit_timestamp
20230525,Keyence,snakemake,stale_lock,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230525/.snakemake/locks/0.output.lock,experiment is not active; lock is stale,,delete,true,2026-07-26T14:34:14.584547-07:00
20230525,Keyence,snakemake,stale_lock,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230525/.snakemake/locks/0.input.lock,experiment is not active; lock is stale,,delete,true,2026-07-26T14:34:14.584605-07:00
20230525,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230525/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvZmVhdHVyZV9leHRyYWN0aW9uLzIwMjMwNTI1L2N1cnZhdHVyZV9tZXRyaWNzL3Blcl93ZWxsLzIwMjMwNTI1X0QwMi8yMDIzMDUyNV9EMDJfY3VydmF0dXJlX21ldHJpY3MuY3N2,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20230525/curvature_metrics/per_well/20230525_D02/20230525_D02_curvature_metrics.csv,,delete,true,2026-07-26T14:34:14.584609-07:00
20230525,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230525/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvb2JqZWN0X2V4dHJhY3Rpb24vMjAyMzA1MjUvZnJhbWVfZGV0ZWN0aW9ucy9wZXJfd2VsbC8yMDIzMDUyNV9BMDIvMjAyMzA1MjVfQTAyX2ZyYW1lX2RldGVjdGlvbnMuY3N2,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20230525/frame_detections/per_well/20230525_A02/20230525_A02_frame_detections.csv,,delete,true,2026-07-26T14:34:14.584612-07:00
20230525,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230525/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvb2JqZWN0X2V4dHJhY3Rpb24vMjAyMzA1MjUvZnJhbWVfbWFza3MvcGVyX3dlbGwvMjAyMzA1MjVfRTAzLzIwMjMwNTI1X0UwM19mcmFtZV9tYXNrcy5jc3YudmFsaWRhdGVk,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20230525/frame_masks/per_well/20230525_E03/20230525_E03_frame_masks.csv.validated,,delete,true,2026-07-26T14:34:14.584615-07:00
20230525,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230525/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvb2JqZWN0X2V4dHJhY3Rpb24vMjAyMzA1MjUvZnJhbWVfZGV0ZWN0aW9ucy9wZXJfd2VsbC8yMDIzMDUyNV9EMDMvMjAyMzA1MjVfRDAzX2ZyYW1lX2RldGVjdGlvbnMuY3N2,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20230525/frame_detections/per_well/20230525_D03/20230525_D03_frame_detections.csv,,delete,true,2026-07-26T14:34:14.584617-07:00
20230531,Keyence,snakemake,stale_lock,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230531/.snakemake/locks/0.output.lock,experiment is not active; lock is stale,,delete,true,2026-07-26T14:34:14.584620-07:00
20230531,Keyence,snakemake,stale_lock,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230531/.snakemake/locks/0.input.lock,experiment is not active; lock is stale,,delete,true,2026-07-26T14:34:14.584623-07:00
20230531,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230531/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvcXVhbGl0eV9jb250cm9sLzIwMjMwNTMxL21vdGlvbl9ibHVyX3FjL3Blcl93ZWxsLzIwMjMwNTMxX0IxMC8yMDIzMDUzMV9CMTBfbW90aW9uX2JsdXJfcWMuY3N2,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20230531/motion_blur_qc/per_well/20230531_B10/20230531_B10_motion_blur_qc.csv,,delete,true,2026-07-26T14:34:14.584626-07:00
20230531,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230531/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvYWNxdWlzaXRpb24vMjAyMzA1MzEvZnJhbWVfaW52ZW50b3J5L3Blcl93ZWxsLzIwMjMwNTMxX0MwOC8yMDIzMDUzMV9DMDhfZnJhbWVfaW52ZW50b3J5LmNzdi52YWxpZGF0ZWQ=,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20230531/frame_inventory/per_well/20230531_C08/20230531_C08_frame_inventory.csv.validated,,delete,true,2026-07-26T14:34:14.584629-07:00
20230531,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230531/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvb2JqZWN0X2V4dHJhY3Rpb24vMjAyMzA1MzEvZnJhbWVfZGV0ZWN0aW9ucy9wZXJfd2VsbC8yMDIzMDUzMV9HMDQvMjAyMzA1MzFfRzA0X2ZyYW1lX2RldGVjdGlvbnMuY3N2,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20230531/frame_detections/per_well/20230531_G04/20230531_G04_frame_detections.csv,,delete,true,2026-07-26T14:34:14.584632-07:00
20230531,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230531/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvb2JqZWN0X2V4dHJhY3Rpb24vMjAyMzA1MzEvZnJhbWVfZGV0ZWN0aW9ucy9wZXJfd2VsbC8yMDIzMDUzMV9EMDMvMjAyMzA1MzFfRDAzX2ZyYW1lX2RldGVjdGlvbnMuY3N2,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20230531/frame_detections/per_well/20230531_D03/20230531_D03_frame_detections.csv,,delete,true,2026-07-26T14:34:14.584635-07:00
20230602,Keyence,snakemake,stale_lock,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230602/.snakemake/locks/0.output.lock,experiment is not active; lock is stale,,delete,true,2026-07-26T14:34:14.584638-07:00
20230602,Keyence,snakemake,stale_lock,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230602/.snakemake/locks/0.input.lock,experiment is not active; lock is stale,,delete,true,2026-07-26T14:34:14.584640-07:00
20230602,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230602/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvb2JqZWN0X2V4dHJhY3Rpb24vMjAyMzA2MDIvc25pcF9hdXhpbGlhcnlfbWFza3MvcGVyX3dlbGwvMjAyMzA2MDJfRDAzLzIwMjMwNjAyX0QwM19zbmlwX2F1eGlsaWFyeV9tYXNrcy5jc3Y=,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20230602/snip_auxiliary_masks/per_well/20230602_D03/20230602_D03_snip_auxiliary_masks.csv,,delete,true,2026-07-26T14:34:14.584643-07:00
20230602,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230602/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvcXVhbGl0eV9jb250cm9sLzIwMjMwNjAyL2ZvY3VzX3FjL3Blcl93ZWxsLzIwMjMwNjAyX0YwMy8yMDIzMDYwMl9GMDNfZm9jdXNfcWMuY3N2,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20230602/focus_qc/per_well/20230602_F03/20230602_F03_focus_qc.csv,,delete,true,2026-07-26T14:34:14.584645-07:00
20230602,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230602/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvZmVhdHVyZV9leHRyYWN0aW9uLzIwMjMwNjAyL2N1cnZhdHVyZV9tZXRyaWNzL3Blcl93ZWxsLzIwMjMwNjAyX0MwOS8yMDIzMDYwMl9DMDlfY3VydmF0dXJlX21ldHJpY3MuY3N2,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20230602/curvature_metrics/per_well/20230602_C09/20230602_C09_curvature_metrics.csv,,delete,true,2026-07-26T14:34:14.584648-07:00
20230602,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230602/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvb2JqZWN0X2V4dHJhY3Rpb24vMjAyMzA2MDIvc25pcHMvcGVyX3dlbGwvMjAyMzA2MDJfRzA1LzIwMjMwNjAyX0cwNV9zbmlwX2ludmVudG9yeS5jc3Y=,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20230602/snips/per_well/20230602_G05/20230602_G05_snip_inventory.csv,,delete,true,2026-07-26T14:34:14.584650-07:00
20230613,Keyence,snakemake,stale_lock,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230613/.snakemake/locks/0.output.lock,experiment is not active; lock is stale,,delete,true,2026-07-26T14:34:14.584653-07:00
20230613,Keyence,snakemake,stale_lock,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230613/.snakemake/locks/0.input.lock,experiment is not active; lock is stale,,delete,true,2026-07-26T14:34:14.584655-07:00
20230613,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230613/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvYWNxdWlzaXRpb24vMjAyMzA2MTMvZnJhbWVfaW52ZW50b3J5L3Blcl93ZWxsLzIwMjMwNjEzX0QwNi8yMDIzMDYxM19EMDZfZnJhbWVfaW52ZW50b3J5LmNzdi52YWxpZGF0ZWQ=,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20230613/frame_inventory/per_well/20230613_D06/20230613_D06_frame_inventory.csv.validated,,delete,true,2026-07-26T14:34:14.584658-07:00
20230613,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230613/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvb2JqZWN0X2V4dHJhY3Rpb24vMjAyMzA2MTMvZnJhbWVfZGV0ZWN0aW9ucy9wZXJfd2VsbC8yMDIzMDYxM19FMDgvMjAyMzA2MTNfRTA4X2ZyYW1lX2RldGVjdGlvbnMuY3N2,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20230613/frame_detections/per_well/20230613_E08/20230613_E08_frame_detections.csv,,delete,true,2026-07-26T14:34:14.584660-07:00
20230613,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230613/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvb2JqZWN0X2V4dHJhY3Rpb24vMjAyMzA2MTMvc25pcF9hdXhpbGlhcnlfbWFza3MvcGVyX3dlbGwvMjAyMzA2MTNfRDA5LzIwMjMwNjEzX0QwOV9zbmlwX2F1eGlsaWFyeV9tYXNrcy5jc3Y=,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20230613/snip_auxiliary_masks/per_well/20230613_D09/20230613_D09_snip_auxiliary_masks.csv,,delete,true,2026-07-26T14:34:14.584664-07:00
20230613,Keyence,snakemake,stale_incomplete_record,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/work_directories/20230613/.snakemake/incomplete/L25ldC90cmFwbmVsbC92b2wxL2hvbWUvbmxhbW1lcnMvcHJvamVjdHMvZGF0YS9tb3JwaHNlcS9waXBlbGluZS9vdXRwdXQvYWNxdWlzaXRpb24vMjAyMzA2MTMvZnJhbWVfaW52ZW50b3J5L3Blcl93ZWxsLzIwMjMwNjEzX0EwMy8yMDIzMDYxM19BMDNfZnJhbWVfaW52ZW50b3J5LmNzdg==,stale Snakemake incomplete-state record; decoded output=/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20230613/frame_inventory/per_well/20230613_A03/20230613_A03_frame_inventory.csv,,delete,true,2026-07-26T14:34:14.584667-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_F05/20231110_F05_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584669-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_H01/20231110_H01_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584671-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_F03/20231110_F03_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584674-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_E05/20231110_E05_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584676-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_B10/20231110_B10_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584679-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_D05/20231110_D05_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584681-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_D02/20231110_D02_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584683-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_E10/20231110_E10_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584686-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_E11/20231110_E11_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584688-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_A10/20231110_A10_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584691-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_C05/20231110_C05_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584693-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_H02/20231110_H02_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584695-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_B08/20231110_B08_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584698-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_G11/20231110_G11_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584700-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_C08/20231110_C08_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584702-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_D07/20231110_D07_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584705-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_D09/20231110_D09_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584707-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_D10/20231110_D10_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584710-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_E12/20231110_E12_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584713-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_C06/20231110_C06_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584715-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_H05/20231110_H05_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584718-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_A01/20231110_A01_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584720-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_H04/20231110_H04_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584723-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_D01/20231110_D01_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584726-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_C12/20231110_C12_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584728-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_B12/20231110_B12_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584731-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_G04/20231110_G04_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584733-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_C01/20231110_C01_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584736-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_B11/20231110_B11_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584738-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_B03/20231110_B03_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584741-07:00
20231110,YX1,focus_qc,stale_schema,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20231110/focus_qc/per_well/20231110_G09/20231110_G09_focus_qc.csv,missing current contract columns: ['focus_qc_applicability'],focus_qc_applicability,delete,true,2026-07-26T14:34:14.584743-07:00
