well,variant,target_pixel_size_um,blend_radius_um,background_mean,background_std
A01,render_6p5_r75,6.5,75.0,13.39364,3.3183133592835987
A01,render_7p8_r75,7.8,75.0,13.39364,3.3183133592835987
A01,render_6p5_r20,6.5,20.0,13.39364,3.3183133592835987
A01,render_7p8_r20,7.8,20.0,13.39364,3.3183133592835987
A02,render_6p5_r75,6.5,75.0,18.59164,3.3380536410309527
A02,render_7p8_r75,7.8,75.0,18.59164,3.3380536410309527
A02,render_6p5_r20,6.5,20.0,18.59164,3.3380536410309527
A02,render_7p8_r20,7.8,20.0,18.59164,3.3380536410309527
A03,render_6p5_r75,6.5,75.0,19.903260000000003,2.108609819857624
A03,render_7p8_r75,7.8,75.0,19.903260000000003,2.108609819857624
A03,render_6p5_r20,6.5,20.0,19.903260000000003,2.108609819857624
A03,render_7p8_r20,7.8,20.0,19.903260000000003,2.108609819857624
A04,render_6p5_r75,6.5,75.0,19.1784,2.1139123539068505
A04,render_7p8_r75,7.8,75.0,19.1784,2.1139123539068505
A04,render_6p5_r20,6.5,20.0,19.1784,2.1139123539068505
A04,render_7p8_r20,7.8,20.0,19.1784,2.1139123539068505
A05,render_6p5_r75,6.5,75.0,18.88704,2.4705011715034666
A05,render_7p8_r75,7.8,75.0,18.88704,2.4705011715034666
A05,render_6p5_r20,6.5,20.0,18.88704,2.4705011715034666
A05,render_7p8_r20,7.8,20.0,18.88704,2.4705011715034666
A06,render_6p5_r75,6.5,75.0,17.34616,1.3822421113538685
A06,render_7p8_r75,7.8,75.0,17.34616,1.3822421113538685
A06,render_6p5_r20,6.5,20.0,17.34616,1.3822421113538685
A06,render_7p8_r20,7.8,20.0,17.34616,1.3822421113538685
A07,render_6p5_r75,6.5,75.0,18.86156,2.3239721096433152
A07,render_7p8_r75,7.8,75.0,18.86156,2.3239721096433152
A07,render_6p5_r20,6.5,20.0,18.86156,2.3239721096433152
A07,render_7p8_r20,7.8,20.0,18.86156,2.3239721096433152
