well,stage,region,n_pixels,mean,p50,p95,p99,fraction_ge_245,fraction_ge_250,fraction_eq_255
A01,legacy_clahe_stored,mask,17589,122.83540849394508,121.0,239.59999999999854,251.0,0.03149695832622662,0.015123088293820001,0.0036386377849792484
A01,legacy_clahe_stored,core_ge_8px,13843,141.82930000722388,142.0,242.0,252.0,0.03893664668063281,0.0184931012063859,0.00411760456548436
A01,legacy_clahe_stored,fixed_gt30,118146,71.88556531748853,54.0,171.0,235.0,0.004689113469774685,0.0022514515937907334,0.0005417026391075449
A01,legacy_clahe_stored,all,147456,61.24175347222222,46.0,161.0,231.0,0.003757052951388889,0.001803927951388889,0.00043402777777777775
A01,legacy_clahe_rebuilt,mask,17589,122.32042753993973,120.0,240.0,251.0,0.03246347148786173,0.015464210586161806,5.6853715390300756e-05
A01,legacy_clahe_rebuilt,core_ge_8px,13843,141.45365888896916,142.0,242.0,252.0,0.04095932962508127,0.01964892003178502,7.223867658744492e-05
A01,legacy_clahe_rebuilt,fixed_gt30,116899,72.27761571955277,55.0,171.0,235.0,0.004884558464999701,0.002326794925534008,8.554393108580911e-06
A01,legacy_clahe_rebuilt,all,147456,61.070888943142364,46.0,161.0,230.0,0.003872341579861111,0.0018446180555555555,6.781684027777777e-06
A01,legacy_final_stored,mask,17589,103.73597134572745,98.0,226.0,245.0,0.010802205924157144,0.005059980669736767,0.0011370743078060151
A01,legacy_final_stored,core_ge_8px,13843,124.28462038575454,121.0,231.0,247.0,0.013725348551614534,0.006429242216282598,0.0014447735317488983
A01,legacy_final_stored,fixed_gt30,13998,126.03657665380769,120.0,230.14999999999964,247.0,0.013573367623946278,0.006358051150164309,0.001428775539362766
A01,legacy_final_stored,all,147456,21.087965223524307,10.0,115.0,212.0,0.0012885199652777778,0.0006035698784722222,0.00013563368055555556
A01,old_ff_raw_current_geometry_6p5,mask,14367,134.03160019489107,132.0,213.0,226.0,0.0,0.0,0.0
A01,old_ff_raw_current_geometry_6p5,core_ge_8px,11161,137.23644834692232,135.0,214.0,226.0,0.0,0.0,0.0
A01,old_ff_raw_current_geometry_6p5,fixed_gt30,90929,65.69060475755809,50.0,161.0,210.0,0.0,0.0,0.0
A01,old_ff_raw_current_geometry_6p5,all,147456,49.00787353515625,35.0,131.0,201.0,0.0,0.0,0.0
A01,current_ff_raw_current_geometry_6p5,mask,14367,133.1129672165379,132.0,206.0,218.0,0.0,0.0,0.0
A01,current_ff_raw_current_geometry_6p5,core_ge_8px,11161,135.84983424424334,134.0,208.0,219.0,0.0,0.0,0.0
A01,current_ff_raw_current_geometry_6p5,fixed_gt30,88452,67.75088183421516,56.0,162.0,203.0,0.0,0.0,0.0
A01,current_ff_raw_current_geometry_6p5,all,147456,49.719577365451386,34.0,130.0,196.0,0.0,0.0,0.0
A01,old_ff_clahe_current_geometry_6p5,mask,14367,141.8779842695065,141.0,242.0,251.0,0.03758613489246189,0.017400988376139764,0.00013920790700911812
A01,old_ff_clahe_current_geometry_6p5,core_ge_8px,11161,143.1260639727623,144.0,243.0,252.0,0.04148373801630678,0.02024908162351044,8.959770629871875e-05
A01,old_ff_clahe_current_geometry_6p5,fixed_gt30,121767,71.2775300368737,54.0,169.0,234.0,0.00443469905639459,0.002053101414997495,1.6424811319979963e-05
A01,old_ff_clahe_current_geometry_6p5,all,147456,62.17976209852431,46.0,160.0,230.0,0.003662109375,0.0016954210069444445,1.3563368055555555e-05
A01,current_ff_clahe_current_geometry_6p5,mask,14367,142.95524465789657,142.0,242.0,251.0,0.03856059024152572,0.01705296860861697,6.960395350455906e-05
A01,current_ff_clahe_current_geometry_6p5,core_ge_8px,11161,143.40668398888988,144.0,243.0,251.0,0.04229011737299525,0.019532299973120688,8.959770629871875e-05
A01,current_ff_clahe_current_geometry_6p5,fixed_gt30,121165,72.04748070812528,57.0,165.0,235.0,0.004572277472867577,0.00202203606652086,8.25320843477902e-06
A01,current_ff_clahe_current_geometry_6p5,all,147456,62.640218098958336,45.0,155.0,231.0,0.003757052951388889,0.0016615125868055555,6.781684027777777e-06
A01,current_clahe_7p8,mask,9961,150.90282100190743,150.0,244.0,253.0,0.04748519224977412,0.02600140548137737,0.0009035237425961249
A01,current_clahe_7p8,core_ge_8px,7332,153.46617566830332,155.0,246.0,254.0,0.060147299509001634,0.03464266230223677,0.0012274959083469722
A01,current_clahe_7p8,fixed_gt30,114423,79.60439771724216,67.0,189.0,231.0,0.004133784291619692,0.002263530933466174,7.865551506253113e-05
A01,current_clahe_7p8,all,147456,64.85932074652777,48.0,179.0,226.0,0.003207736545138889,0.0017564561631944445,6.103515625e-05
A01,current_production,mask,10942,135.00996161579235,135.0,242.0,253.0,0.04057759093401572,0.023030524584171083,0.0008225187351489673
A01,current_production,core_ge_8px,8136,151.99176499508357,153.0,245.0,254.0,0.05457227138643068,0.030973451327433628,0.0011061946902654867
A01,current_production,fixed_gt30,10219,143.16459536158138,142.0,243.0,253.0,0.0434484783246893,0.02465994715725609,0.0008807123984734318
A01,current_production,all,147456,21.967753092447918,13.0,97.0,220.0,0.0030110677083333335,0.001708984375,6.103515625e-05
A01,current_production_jpeg75,mask,10942,134.9793456406507,135.0,242.0,253.0,0.04048619996344361,0.020745750319868396,0.006123195028331201
A01,current_production_jpeg75,core_ge_8px,8136,151.94051130776793,153.0,245.0,254.0,0.05432645034414946,0.027900688298918386,0.008235004916420846
A01,current_production_jpeg75,fixed_gt30,10208,143.27253134796237,142.0,243.0,253.0,0.04339733542319749,0.022237460815047023,0.006563479623824452
A01,current_production_jpeg75,all,147456,21.965318467881943,13.0,98.0,221.0,0.0030042860243055555,0.0015394422743055555,0.0004543728298611111
A01,current_rerender_6p5_r10,mask,14367,139.6431405303821,138.0,240.0,250.0,0.03292267000765643,0.01259831558432519,0.0
A01,current_rerender_6p5_r10,core_ge_8px,11161,142.4272914613386,143.0,242.0,250.0,0.037720634351760596,0.015590000895977063,0.0
A01,current_rerender_6p5_r10,fixed_gt30,14054,142.8231108581187,140.0,241.0,250.0,0.033655898676533375,0.01287889568806034,0.0
A01,current_rerender_6p5_r10,all,147456,25.331298828125,13.0,135.0,229.0,0.003207736545138889,0.0012274848090277778,0.0
