stage,region,n_images,n_pixels,mean,p50,p95,p99,fraction_ge_245,fraction_ge_250,fraction_eq_255
current_clahe_7p8,all,93,13713408,73.00620750144675,52,194,234,0.0037177483525612305,0.001609738439926822,5.636819089755078e-05
current_clahe_7p8,core_ge_8px,93,744148,151.51968828781372,154,243,252,0.042209345452786276,0.020001397571450842,0.0006315947902836533
current_clahe_7p8,fixed_gt30,93,9939195,95.26564082906111,82,204,238,0.005129489863112656,0.0022210048198068356,7.777289810693924e-05
current_clahe_7p8,mask,93,1144682,149.90167400203725,151,241,251,0.03390199199428313,0.015392047747758765,0.000459516267400029
current_ff_clahe_current_geometry_6p5,all,93,13713408,72.00905201682907,49,195,235,0.00443208573682049,0.0020205772336096177,6.90565029495221e-05
current_ff_clahe_current_geometry_6p5,core_ge_8px,93,1165245,149.35628387163214,153,242,252,0.039583950156404875,0.01875142137490399,0.0006187539959407678
current_ff_clahe_current_geometry_6p5,fixed_gt30,93,10064712,91.43474587250981,74,206,239,0.006038821577805704,0.0027530842412579713,9.409111756004543e-05
current_ff_clahe_current_geometry_6p5,mask,93,1650963,147.9691894972813,150,241,251,0.03404861283990011,0.015578180734516764,0.00047487436120615664
current_ff_raw_current_geometry_6p5,all,93,13713408,65.04071110551075,42,185,217,4.528414818548387e-05,1.0208986708482676e-06,0.0
current_ff_raw_current_geometry_6p5,core_ge_8px,93,1165245,144.3802402069951,144,220,232,0.0004248033675321499,1.2014640697878986e-05,0.0
current_ff_raw_current_geometry_6p5,fixed_gt30,93,9153544,87.50278220107971,69,197,221,6.784257550955128e-05,1.52946224981275e-06,0.0
current_ff_raw_current_geometry_6p5,mask,93,1650963,140.19229746517638,140,218,231,0.0003022478395942247,8.479899307252798e-06,0.0
current_production,all,93,13713408,26.362842701099538,15,124,222,0.002407206144526583,0.0010967368578255676,3.12832521281362e-05
current_production,core_ge_8px,93,874041,150.8551887154035,153,242,251,0.03761494026023951,0.01718683677310332,0.0004908236570138014
current_production,fixed_gt30,93,1188946,139.96222620707752,139,238,250,0.027764927927761227,0.012649859623565747,0.00036082378846474106
current_production,mask,93,1289580,130.63066037004296,131,237,250,0.02559825679678655,0.011662711890693093,0.00033266644954171127
current_production_jpeg75,all,93,13713408,26.357720779546558,15,124,222,0.0023983826631571088,0.0011170089885752688,0.00023903613164575867
current_production_jpeg75,core_ge_8px,93,874041,150.85085825493312,153,242,252,0.03740442381993522,0.017477440989610328,0.003741243259755549
current_production_jpeg75,fixed_gt30,93,1183812,140.45223312485427,139,238,251,0.027783127726361954,0.012939554591438505,0.0027690207566742017
current_production_jpeg75,mask,93,1289580,130.62413188790148,131,237,250,0.02550442779819786,0.011878285953566277,0.0025419128708571784
current_rerender_6p5_r10,all,93,13713408,31.155701996177754,15,162,232,0.003383695723192951,0.0013856511816756273,0.0
current_rerender_6p5_r10,core_ge_8px,93,1165245,148.3676522962982,152,241,251,0.03514711498440242,0.014899870842612498,0.0
current_rerender_6p5_r10,fixed_gt30,93,1669939,143.54508218563672,144,239,250,0.027786643703752053,0.011378858748732738,0.0
current_rerender_6p5_r10,mask,93,1650963,144.213078669843,145,239,250,0.028092089283648394,0.011500560581914919,0.0
current_rerender_6p5_r100,all,93,13713408,28.348309260542674,16,125,200,0.00014205075791517323,1.808449074074074e-05,0.0
current_rerender_6p5_r100,core_ge_8px,93,1165245,127.66476492068192,126,219,236,0.001559328724860437,0.00018107779908946187,0.0
current_rerender_6p5_r100,fixed_gt30,93,1775863,111.38785030151537,105,211,233,0.0010969314637446694,0.00013965041222211398,0.0
current_rerender_6p5_r100,mask,93,1650963,116.24278860277305,111,213,233,0.0011744660540545125,0.00014536970241004794,0.0
current_rerender_6p5_r20,all,93,13713408,30.919743144811267,15,158,230,0.0033823831391875748,0.001556287102374552,4.754470952807646e-05
