dimension,family,direct_correlation,best_matching_current_dimension,best_matching_abs_correlation,hungarian_current_dimension
0,nuisance,0.726349625885037,0,0.726349625885037,48
1,nuisance,0.9626603081046964,1,0.9626603081046964,1
2,nuisance,0.24708279194232186,56,0.41507204819819804,14
3,nuisance,0.5665147393602656,3,0.5665147393602656,3
4,nuisance,0.37090368959022,33,0.5533498354442562,4
5,nuisance,0.0001227874107425999,38,0.5151571483365129,17
6,nuisance,0.7760110680535068,6,0.7760110680535068,6
7,nuisance,0.5165495045156987,7,0.5165495045156987,7
8,nuisance,0.12990276021805347,92,0.3144517660691723,12
9,nuisance,0.7266375044674102,9,0.7266375044674102,9
10,nuisance,0.32634565421691925,67,0.3896813465191099,10
11,nuisance,0.6967980510807857,11,0.6967980510807857,11
12,nuisance,-0.01580995774694932,78,0.4846213961705772,78
13,nuisance,0.26905229706593153,18,0.4522180967279454,18
14,nuisance,0.026255697368725232,99,0.37781167555236755,5
15,nuisance,0.46438594949699796,15,0.46438594949699796,15
16,nuisance,0.40124345054752003,65,0.47998353004181793,16
17,nuisance,0.08675689082309679,82,0.45631579800108457,2
18,nuisance,0.2676648921293501,1,0.4729618884959176,19
19,nuisance,-0.023916341031735924,76,0.3470575364895854,8
20,biological,0.6594360182929893,20,0.6594360182929893,20
21,biological,0.5047798638010053,31,0.6400682704718198,21
22,biological,0.623719161602816,22,0.623719161602816,22
23,biological,0.3888185984689881,82,0.6272308678439859,82
24,biological,0.7573934714514104,27,0.8412883037729966,24
25,biological,0.7966464091796245,25,0.7966464091796245,25
26,biological,0.5529723966039662,33,0.6231961951251404,26
27,biological,0.8579546534138226,27,0.8579546534138226,27
28,biological,0.871936066761082,28,0.871936066761082,28
29,biological,0.6615638100287042,72,0.7003158135993602,86
30,biological,0.6761884179735905,98,0.7329006114905401,30
31,biological,0.6872541518528694,45,0.7391210999159037,31
32,biological,0.8208340231377578,27,0.853662596058522,32
33,biological,0.9727027419549754,33,0.9727027419549754,33
34,biological,0.4754979239286832,76,0.662557998614345,34
35,biological,0.6093709875614931,35,0.6093709875614931,35
36,biological,0.6159925153047433,76,0.7845829851278463,36
37,biological,0.80832630975677,37,0.80832630975677,37
38,biological,0.6654819236237735,33,0.6747510456716319,38
39,biological,0.7943034665653178,58,0.7949404179325447,39
40,biological,0.7820376730799057,28,0.8460445548645608,40
41,biological,0.4052623246973102,0,0.6357900020477998,41
42,biological,0.7371500765976067,42,0.7371500765976067,42
43,biological,0.7734546335310233,27,0.8220183197282975,43
44,biological,0.48514030324404095,33,0.7184317856088678,44
45,biological,0.8124242785287753,45,0.8124242785287753,45
46,biological,0.5342161232563455,76,0.7255309497061588,46
47,biological,0.8509290300224891,47,0.8509290300224891,47
48,biological,0.23041834598305316,71,0.4672174051381994,23
49,biological,0.27643599414886577,71,0.6883806354846642,0
50,biological,0.8175809941911284,84,0.8198599356132322,50
51,biological,0.8185941920091003,53,0.8291013682784543,51
52,biological,0.6700267310163032,52,0.6700267310163032,52
53,biological,0.8419617741768085,53,0.8419617741768085,53
54,biological,0.6991505730780847,33,0.8520452678236023,54
55,biological,0.5329549593180144,20,0.6123753289017294,85
56,biological,0.754781539778177,83,0.7576817542333318,56
57,biological,0.5391204352011013,33,0.7418666534404768,57
58,biological,0.7903418481427987,58,0.7903418481427987,58
59,biological,0.6113321537766395,76,0.7510653840212635,59
60,biological,0.7822603438604115,53,0.8216973587355518,60
61,biological,0.7576068483320733,47,0.8222063771918107,61
62,biological,0.47565213585323307,20,0.6527164940429594,62
63,biological,0.7707599005297835,63,0.7707599005297835,63
64,biological,0.7351008119378181,37,0.7801130961495452,64
65,biological,0.7592007623883709,27,0.7662087539016837,65
66,biological,0.7130043766407266,37,0.7521999680558071,98
67,biological,0.6459119239240876,33,0.7406795319088111,67
68,biological,0.7683088311964181,63,0.7962753984496994,68
69,biological,0.8438406104697742,47,0.8509716431001482,69
70,biological,0.7911093204770047,51,0.8239954255592464,70
71,biological,0.7978711775051042,71,0.7978711775051042,71
72,biological,0.7993834329455943,53,0.8197139774785458,72
73,biological,0.647509610453481,27,0.7781124422945389,73
74,biological,0.5857911627198943,37,0.7136619068982629,74
75,biological,0.5687266302041094,42,0.7302702766007749,75
76,biological,0.7815659669540292,76,0.7815659669540292,76
77,biological,0.7935494405990802,28,0.847904678390217,77
78,biological,0.6804727023817319,66,0.7217838211507238,66
79,biological,0.7805962105355798,53,0.8121907286773067,79
80,biological,0.8456334794524183,95,0.8539511347081448,80
81,biological,0.6248796171264246,29,0.71094152925004,81
82,biological,0.6893395738937946,33,0.7704348774320772,13
83,biological,0.7086747416786111,83,0.7086747416786111,83
84,biological,0.8285209246118701,53,0.8332528659186027,84
85,biological,0.4474869156218214,20,0.6226835637512373,97
86,biological,0.717610529810591,86,0.717610529810591,29
87,biological,0.4242494327597425,92,0.6159813703230549,87
88,biological,0.5824252559459413,33,0.7691980287072018,88
89,biological,0.727995581656721,42,0.747739310970611,89
90,biological,0.8263707868328037,47,0.8346394421541563,90
91,biological,0.7223415223785624,33,0.8454530705363558,91
92,biological,0.6610165791481436,92,0.6610165791481436,92
93,biological,0.7564458608759718,93,0.7564458608759718,93
94,biological,0.6876672770954093,94,0.6876672770954093,94
95,biological,0.8597328148412405,95,0.8597328148412405,95
96,biological,0.5642937791967881,92,0.59266115612017,96
97,biological,0.43885996893338963,33,0.6410771766709176,49
98,biological,0.6869031642364637,58,0.719122713065844,55
99,biological,0.7341652640922818,33,0.8208742218410414,99
