well,observed_legacy_uncropped__n_pixels,observed_legacy_uncropped__mean,observed_legacy_uncropped__p95,observed_legacy_uncropped__frac_ge_250,observed_legacy_uncropped__frac_eq_255,reconstructed_legacy_memory__n_pixels,reconstructed_legacy_memory__mean,reconstructed_legacy_memory__p95,reconstructed_legacy_memory__frac_ge_250,reconstructed_legacy_memory__frac_eq_255,reconstructed_legacy_jpeg__n_pixels,reconstructed_legacy_jpeg__mean,reconstructed_legacy_jpeg__p95,reconstructed_legacy_jpeg__frac_ge_250,reconstructed_legacy_jpeg__frac_eq_255,current_source_legacy_mask__n_pixels,current_source_legacy_mask__mean,current_source_legacy_mask__p95,current_source_legacy_mask__frac_ge_250,current_source_legacy_mask__frac_eq_255,legacy_source_current_mask__n_pixels,legacy_source_current_mask__mean,legacy_source_current_mask__p95,legacy_source_current_mask__frac_ge_250,legacy_source_current_mask__frac_eq_255,current_source_current_mask__n_pixels,current_source_current_mask__mean,current_source_current_mask__p95,current_source_current_mask__frac_ge_250,current_source_current_mask__frac_eq_255,reconstruction__mae,reconstruction__rmse,reconstruction__correlation,source_raw__mae,source_raw__rmse,source_raw__correlation
A01,14112,141.25410997732428,242.0,0.01856575963718821,0.004322562358276644,14191,142.1672186597139,242.0,0.017546332182369107,0.00014093439503910928,14191,142.16926220844198,242.0,0.018744274540201535,0.004509900641251497,14191,142.74610668733703,242.0,0.01684166020717356,7.046719751955464e-05,14367,141.8779842695065,242.0,0.017400988376139764,0.00013920790700911812,14367,142.95524465789657,242.0,0.01705296860861697,6.960395350455906e-05,0.0,0.0,1.0,3.803738064236111,6.279341931376714,0.9868914264239045
A02,12240,142.8906045751634,242.0,0.016094771241830064,0.0035130718954248367,12313,143.47900592869325,242.0,0.015999350280191667,8.121497604158207e-05,12313,143.4988223828474,242.0,0.015999350280191667,0.003492243969788029,12313,143.85974173637618,241.0,0.014618695687484771,8.121497604158207e-05,11860,146.20118043844857,242.0,0.01669477234401349,0.00016863406408094435,11860,148.67504215851602,242.0,0.01509274873524452,0.0003372681281618887,0.0,0.0,1.0,3.855075412326389,8.15611945803366,0.9872180427567044
A03,17864,143.4820868786386,241.0,0.018081056874160322,0.005821764442454098,18046,144.3919428128117,241.0,0.018064945140197273,0.0001108278842956888,18046,144.3730466585393,241.0,0.01800953119804943,0.0058184639255236615,18046,147.17787875429457,241.0,0.015072592264213676,0.0001108278842956888,18032,145.20019964507543,240.0,0.016692546583850932,5.5456965394853596e-05,18032,147.57680789707186,239.0,0.012422360248447204,5.5456965394853596e-05,0.0,0.0,1.0,3.6890936957465277,5.021017701706566,0.9973952165510884
A04,21464,138.76514163250093,239.0,0.013790532985464033,0.003354453969437197,21390,140.25689574567554,239.0,0.0120617110799439,0.0009350163627863488,21390,140.23992519869097,239.0,0.013838242169237961,0.0033660589060308557,21390,138.85371669004206,239.0,0.011921458625525946,4.675081813931744e-05,20134,146.87463991258568,241.0,0.017184861428429524,0.0006456739843051554,20134,144.89659282805206,239.0,0.010628787126254098,0.0004966722956193504,0.0,0.0,0.9999999999999999,4.992479112413195,6.777061938785525,0.9895503155251058
A05,21208,143.62042625424368,238.0,0.011646548472274613,0.003347793285552622,21116,144.893729873082,239.0,0.010560712256109111,4.7357454063269556e-05,21116,144.9139988634211,239.0,0.01174464860769085,0.0034097366925554084,21116,145.21201932184127,239.0,0.011271074067058155,4.7357454063269556e-05,20399,149.0324035491936,240.0,0.013628119025442424,4.9022010882886415e-05,20399,149.53370263248198,240.0,0.013432030981910878,9.804402176577283e-05,0.0,0.0,1.0,3.7806871202256946,5.211014283958693,0.9940315109581389
A06,18736,144.3225341588386,240.0,0.014464133219470538,0.0038962425277540564,18777,145.31559887095915,240.0,0.01411301059807211,0.00031953986259785906,18777,145.26798743143206,240.0,0.014592320391968899,0.003994248282473239,18777,145.3735420993769,240.0,0.01022527560313149,0.00031953986259785906,18331,148.72352844907533,241.0,0.016202062080628445,5.4552397577873546e-05,18331,150.81910424963178,244.0,0.027003436801047408,0.001200152746713218,0.0,0.0,1.0,4.108330620659722,7.060373712001724,0.9920624164486973
A07,13720,145.65065597667638,243.0,0.021865889212827987,0.00597667638483965,13662,147.7960767091202,243.0,0.023715415019762844,7.319572536963841e-05,13662,147.7929292929293,243.0,0.022837066315327184,0.006734006734006734,13662,148.49765773678817,244.0,0.024374176548089592,0.0005855658029571073,13249,151.9306362744358,244.0,0.023699901879387125,0.00045286436712204693,13249,155.07004302211487,246.0,0.032153370065665335,0.0010566835232847763,0.0,0.0,1.0,4.024495442708333,7.993090718892873,0.9900020719476712
A08,12640,146.03061708860758,241.0,0.015268987341772152,0.003322784810126582,12830,147.07942322681217,241.0,0.015120810600155885,7.79423226812159e-05,12830,147.0656274356976,241.0,0.01504286827747467,0.0032735775526110678,12830,148.5290724863601,242.0,0.01979734996102884,0.0003897116134060795,12782,146.53841339383507,242.0,0.017055233922703802,0.0007041151619464872,12782,150.06016272883744,244.0,0.023548740416210297,7.823501799405414e-05,0.0,0.0,1.0,3.954006618923611,7.991892627203955,0.9882580013538556
A09,16816,139.12571360608945,239.0,0.013023311132254996,0.004103235014272122,16805,141.07753644748587,238.0,0.012912823564415353,5.950609937518596e-05,16805,141.07027670336208,239.0,0.013150847961916096,0.0041654269562630165,16805,141.68812853317465,238.0,0.010354061291282357,5.950609937518596e-05,15882,143.72358645006926,238.0,0.009066868152625614,6.29643621710112e-05,15882,144.45365822944214,238.0,0.008500188893086513,6.29643621710112e-05,0.0,0.0,1.0,3.548129611545139,6.209085371991919,0.9898881269256469
A10,16288,161.29359037328095,245.0,0.028364440078585462,0.007244597249508841,16256,162.7394808070866,246.0,0.027128444881889764,0.0003075787401574803,16256,162.7400344488189,245.0,0.028543307086614175,0.0073818897637795275,16256,160.50498277559055,244.0,0.020915354330708662,6.151574803149606e-05,16099,164.97776259394993,246.0,0.028200509348406733,0.000745387912292689,16099,162.1232995838251,243.0,0.0203739362693335,0.00012423131871544817,0.0,0.0,0.9999999999999998,6.415757921006945,9.048619938225848,0.9949472433513009
