cohort,target,temperature,timepoint,axis,global_component,loading
Control | 24C | 24hpf,Control,24,24,axis_1,G00,-0.262794710209688
Control | 24C | 24hpf,Control,24,24,axis_1,G01,-0.03028901852916599
Control | 24C | 24hpf,Control,24,24,axis_1,G02,-0.641341157163851
Control | 24C | 24hpf,Control,24,24,axis_1,G03,0.6137723719391162
Control | 24C | 24hpf,Control,24,24,axis_1,G04,-0.3491622616678983
Control | 24C | 24hpf,Control,24,24,axis_1,G05,0.11552199589004328
Control | 24C | 24hpf,Control,24,24,axis_1,G06,0.05356934364625497
Control | 24C | 24hpf,Control,24,24,axis_1,G07,0.06205920388404691
Control | 24C | 24hpf,Control,24,24,axis_1,G08,-0.0020115917018141
Control | 24C | 24hpf,Control,24,24,axis_1,G09,-0.0013523462062918087
Control | 24C | 24hpf,Control,24,24,axis_2,G00,0.30472891375024025
Control | 24C | 24hpf,Control,24,24,axis_2,G01,-0.19254684472740136
Control | 24C | 24hpf,Control,24,24,axis_2,G02,0.22914242177620042
Control | 24C | 24hpf,Control,24,24,axis_2,G03,0.19340088776487796
Control | 24C | 24hpf,Control,24,24,axis_2,G04,-0.49559721041536303
Control | 24C | 24hpf,Control,24,24,axis_2,G05,-0.7023380981781241
Control | 24C | 24hpf,Control,24,24,axis_2,G06,0.19055629342632116
Control | 24C | 24hpf,Control,24,24,axis_2,G07,0.008324737524365244
Control | 24C | 24hpf,Control,24,24,axis_2,G08,0.06944574548765645
Control | 24C | 24hpf,Control,24,24,axis_2,G09,-0.007532327322769801
Control | 24C | 24hpf,Control,24,24,axis_3,G00,0.0747181954181165
Control | 24C | 24hpf,Control,24,24,axis_3,G01,-0.5784069349075691
Control | 24C | 24hpf,Control,24,24,axis_3,G02,-0.353277945035905
Control | 24C | 24hpf,Control,24,24,axis_3,G03,-0.5048949916677605
Control | 24C | 24hpf,Control,24,24,axis_3,G04,-0.30036291204262355
Control | 24C | 24hpf,Control,24,24,axis_3,G05,0.04345153413915148
Control | 24C | 24hpf,Control,24,24,axis_3,G06,-0.421706964540892
Control | 24C | 24hpf,Control,24,24,axis_3,G07,-0.02762304803819291
Control | 24C | 24hpf,Control,24,24,axis_3,G08,0.09386537216736376
Control | 24C | 24hpf,Control,24,24,axis_3,G09,-0.02493853037386042
Control | 24C | 30hpf,Control,24,30,axis_1,G00,-0.5386389985173863
Control | 24C | 30hpf,Control,24,30,axis_1,G01,-0.8089763284645128
Control | 24C | 30hpf,Control,24,30,axis_1,G02,0.02342894571715559
Control | 24C | 30hpf,Control,24,30,axis_1,G03,-0.08770252791236793
Control | 24C | 30hpf,Control,24,30,axis_1,G04,-0.17147571966638425
Control | 24C | 30hpf,Control,24,30,axis_1,G05,0.12529797011340774
Control | 24C | 30hpf,Control,24,30,axis_1,G06,-0.03143847734459634
Control | 24C | 30hpf,Control,24,30,axis_1,G07,0.032964956547106655
Control | 24C | 30hpf,Control,24,30,axis_1,G08,-0.0007266743808570057
Control | 24C | 30hpf,Control,24,30,axis_1,G09,0.002362697066248169
Control | 24C | 30hpf,Control,24,30,axis_2,G00,-0.4690648235541044
Control | 24C | 30hpf,Control,24,30,axis_2,G01,0.178950648546546
Control | 24C | 30hpf,Control,24,30,axis_2,G02,-0.6095079778900973
Control | 24C | 30hpf,Control,24,30,axis_2,G03,0.5343514182910011
Control | 24C | 30hpf,Control,24,30,axis_2,G04,0.26700166653419755
Control | 24C | 30hpf,Control,24,30,axis_2,G05,-0.02581158077448257
Control | 24C | 30hpf,Control,24,30,axis_2,G06,0.05845501886551548
Control | 24C | 30hpf,Control,24,30,axis_2,G07,0.1238220642120272
Control | 24C | 30hpf,Control,24,30,axis_2,G08,-0.012145813575072412
Control | 24C | 30hpf,Control,24,30,axis_2,G09,0.008420339057080006
Control | 24C | 30hpf,Control,24,30,axis_3,G00,0.10990361809044624
Control | 24C | 30hpf,Control,24,30,axis_3,G01,-0.009621007508687565
Control | 24C | 30hpf,Control,24,30,axis_3,G02,-0.00857975313440405
Control | 24C | 30hpf,Control,24,30,axis_3,G03,0.4748985805753161
Control | 24C | 30hpf,Control,24,30,axis_3,G04,-0.8041425315426786
Control | 24C | 30hpf,Control,24,30,axis_3,G05,-0.3101591257777611
Control | 24C | 30hpf,Control,24,30,axis_3,G06,0.12786833195778063
Control | 24C | 30hpf,Control,24,30,axis_3,G07,-0.05373626013486035
Control | 24C | 30hpf,Control,24,30,axis_3,G08,-0.006240793311962421
Control | 24C | 30hpf,Control,24,30,axis_3,G09,0.010277117185677302
Control | 24C | 36hpf,Control,24,36,axis_1,G00,0.8920833757613765
Control | 24C | 36hpf,Control,24,36,axis_1,G01,-0.29037332163838975
Control | 24C | 36hpf,Control,24,36,axis_1,G02,0.06070342493066775
Control | 24C | 36hpf,Control,24,36,axis_1,G03,-0.01233020379299173
Control | 24C | 36hpf,Control,24,36,axis_1,G04,-0.24219865063201426
Control | 24C | 36hpf,Control,24,36,axis_1,G05,-0.22499034621327502
Control | 24C | 36hpf,Control,24,36,axis_1,G06,-0.01849275932851767
Control | 24C | 36hpf,Control,24,36,axis_1,G07,0.06405703500049527
Control | 24C | 36hpf,Control,24,36,axis_1,G08,-0.028048124688729394
Control | 24C | 36hpf,Control,24,36,axis_1,G09,0.03899768724752859
Control | 24C | 36hpf,Control,24,36,axis_2,G00,-0.16355650464334875
Control | 24C | 36hpf,Control,24,36,axis_2,G01,0.1731819217499873
Control | 24C | 36hpf,Control,24,36,axis_2,G02,0.5203949704848324
Control | 24C | 36hpf,Control,24,36,axis_2,G03,0.11356663121551272
Control | 24C | 36hpf,Control,24,36,axis_2,G04,0.07301961832388262
Control | 24C | 36hpf,Control,24,36,axis_2,G05,-0.8065172510750684
Control | 24C | 36hpf,Control,24,36,axis_2,G06,-0.005661080881416777
Control | 24C | 36hpf,Control,24,36,axis_2,G07,0.053700548452864705
Control | 24C | 36hpf,Control,24,36,axis_2,G08,0.023370375594655914
Control | 24C | 36hpf,Control,24,36,axis_2,G09,-0.01688415227698097
Control | 24C | 36hpf,Control,24,36,axis_3,G00,0.03734328652934163
Control | 24C | 36hpf,Control,24,36,axis_3,G01,0.11507068195033188
Control | 24C | 36hpf,Control,24,36,axis_3,G02,0.09762911724366724
Control | 24C | 36hpf,Control,24,36,axis_3,G03,0.8758593141152968
Control | 24C | 36hpf,Control,24,36,axis_3,G04,-0.22996236577183227
Control | 24C | 36hpf,Control,24,36,axis_3,G05,0.17297397727990058
Control | 24C | 36hpf,Control,24,36,axis_3,G06,0.34017757728291653
Control | 24C | 36hpf,Control,24,36,axis_3,G07,-0.09898072767350259
Control | 24C | 36hpf,Control,24,36,axis_3,G08,-0.017620209878984543
Control | 24C | 36hpf,Control,24,36,axis_3,G09,0.0084916211610956
