cohort,target,temperature,timepoint,n_wells,axis,shared_dim,loading,variance_ratio
Control | 24C | 24hpf,Control,24,24,12,cohort_PC1,G00,0.2405483402308147,0.6057184873735798
Control | 24C | 24hpf,Control,24,24,12,cohort_PC1,G01,0.037914724360629815,0.6057184873735798
Control | 24C | 24hpf,Control,24,24,12,cohort_PC1,G02,0.6262155133083408,0.6057184873735798
Control | 24C | 24hpf,Control,24,24,12,cohort_PC1,G03,-0.6165960067815737,0.6057184873735798
Control | 24C | 24hpf,Control,24,24,12,cohort_PC1,G04,0.410319954428061,0.6057184873735798
Control | 24C | 24hpf,Control,24,24,12,cohort_PC2,G00,-0.49330466653174887,0.2568844948997191
Control | 24C | 24hpf,Control,24,24,12,cohort_PC2,G01,0.3069804454581165,0.2568844948997191
Control | 24C | 24hpf,Control,24,24,12,cohort_PC2,G02,-0.3973548282114542,0.2568844948997191
Control | 24C | 24hpf,Control,24,24,12,cohort_PC2,G03,-0.1101731169616359,0.2568844948997191
Control | 24C | 24hpf,Control,24,24,12,cohort_PC2,G04,0.7017011734922062,0.2568844948997191
Control | 24C | 30hpf,Control,24,30,12,cohort_PC1,G00,0.5346459161354661,0.5700362770451937
Control | 24C | 30hpf,Control,24,30,12,cohort_PC1,G01,0.8201454712665195,0.5700362770451937
Control | 24C | 30hpf,Control,24,30,12,cohort_PC1,G02,-0.0053309723626049355,0.5700362770451937
Control | 24C | 30hpf,Control,24,30,12,cohort_PC1,G03,0.09251952576012998,0.5700362770451937
Control | 24C | 30hpf,Control,24,30,12,cohort_PC1,G04,0.18145762151939615,0.5700362770451937
Control | 24C | 30hpf,Control,24,30,12,cohort_PC2,G00,0.47954441354936933,0.2992565995197963
Control | 24C | 30hpf,Control,24,30,12,cohort_PC2,G01,-0.18951525637973068,0.2992565995197963
Control | 24C | 30hpf,Control,24,30,12,cohort_PC2,G02,0.6094725787396005,0.2992565995197963
Control | 24C | 30hpf,Control,24,30,12,cohort_PC2,G03,-0.5422436242586285,0.2992565995197963
Control | 24C | 30hpf,Control,24,30,12,cohort_PC2,G04,-0.2619850200837551,0.2992565995197963
Control | 24C | 36hpf,Control,24,36,12,cohort_PC1,G00,0.9209136258126983,0.7192989585219256
Control | 24C | 36hpf,Control,24,36,12,cohort_PC1,G01,-0.2927473980340976,0.7192989585219256
Control | 24C | 36hpf,Control,24,36,12,cohort_PC1,G02,0.010122126592758688,0.7192989585219256
Control | 24C | 36hpf,Control,24,36,12,cohort_PC1,G03,-0.02142102587315098,0.7192989585219256
Control | 24C | 36hpf,Control,24,36,12,cohort_PC1,G04,-0.25623375449100716,0.7192989585219256
Control | 24C | 36hpf,Control,24,36,12,cohort_PC2,G00,0.027690989819709574,0.1330056403516261
Control | 24C | 36hpf,Control,24,36,12,cohort_PC2,G01,0.25466671030594074,0.1330056403516261
Control | 24C | 36hpf,Control,24,36,12,cohort_PC2,G02,0.5890653869724317,0.1330056403516261
Control | 24C | 36hpf,Control,24,36,12,cohort_PC2,G03,0.7313009939024521,0.1330056403516261
Control | 24C | 36hpf,Control,24,36,12,cohort_PC2,G04,-0.2293008982386679,0.1330056403516261
Control | 28C | 24hpf,Control,28,24,11,cohort_PC1,G00,0.8013478503855426,0.6658901536333133
Control | 28C | 24hpf,Control,28,24,11,cohort_PC1,G01,0.42804162108083954,0.6658901536333133
Control | 28C | 24hpf,Control,28,24,11,cohort_PC1,G02,-0.3939845027022943,0.6658901536333133
Control | 28C | 24hpf,Control,28,24,11,cohort_PC1,G03,-0.1257368098186959,0.6658901536333133
Control | 28C | 24hpf,Control,28,24,11,cohort_PC1,G04,-0.05990375273720554,0.6658901536333133
Control | 28C | 24hpf,Control,28,24,11,cohort_PC2,G00,-0.3588324075821205,0.18290552929305903
Control | 28C | 24hpf,Control,28,24,11,cohort_PC2,G01,0.5898771406812737,0.18290552929305903
Control | 28C | 24hpf,Control,28,24,11,cohort_PC2,G02,-0.27285758716210684,0.18290552929305903
Control | 28C | 24hpf,Control,28,24,11,cohort_PC2,G03,0.28796720613705895,0.18290552929305903
Control | 28C | 24hpf,Control,28,24,11,cohort_PC2,G04,0.6049032050569688,0.18290552929305903
Control | 28C | 30hpf,Control,28,30,12,cohort_PC1,G00,0.7091186880394537,0.6973692876677742
Control | 28C | 30hpf,Control,28,30,12,cohort_PC1,G01,0.07557431558110494,0.6973692876677742
Control | 28C | 30hpf,Control,28,30,12,cohort_PC1,G02,0.6936160646455263,0.6973692876677742
Control | 28C | 30hpf,Control,28,30,12,cohort_PC1,G03,0.02800333372564523,0.6973692876677742
Control | 28C | 30hpf,Control,28,30,12,cohort_PC1,G04,-0.0977331942768399,0.6973692876677742
