,Control | 24C | 24hpf,Control | 24C | 30hpf,Control | 24C | 36hpf,Control | 28C | 24hpf,Control | 28C | 30hpf,Control | 28C | 36hpf,Control | 34C | 24hpf,Control | 34C | 30hpf,Control | 34C | 36hpf,Control | 35C | 24hpf,Control | 35C | 30hpf,Control | 35C | 36hpf,atf6 | 24C | 24hpf,atf6 | 24C | 30hpf,atf6 | 24C | 36hpf,atf6 | 28C | 24hpf,atf6 | 28C | 30hpf,atf6 | 28C | 36hpf,atf6 | 34C | 24hpf,atf6 | 34C | 30hpf,atf6 | 34C | 36hpf,atf6 | 35C | 24hpf,atf6 | 35C | 30hpf,atf6 | 35C | 36hpf,ctcf | 24C | 24hpf,ctcf | 24C | 30hpf,ctcf | 24C | 36hpf,ctcf | 28C | 24hpf,ctcf | 28C | 30hpf,ctcf | 28C | 36hpf,ctcf | 34C | 24hpf,ctcf | 34C | 30hpf,ctcf | 34C | 36hpf,ctcf | 35C | 24hpf,ctcf | 35C | 30hpf,ctcf | 35C | 36hpf,"wfs1a,wfs1b | 24C | 24hpf","wfs1a,wfs1b | 24C | 30hpf","wfs1a,wfs1b | 24C | 36hpf","wfs1a,wfs1b | 28C | 24hpf","wfs1a,wfs1b | 28C | 30hpf","wfs1a,wfs1b | 28C | 36hpf","wfs1a,wfs1b | 34C | 24hpf","wfs1a,wfs1b | 34C | 30hpf","wfs1a,wfs1b | 34C | 36hpf","wfs1a,wfs1b | 35C | 24hpf","wfs1a,wfs1b | 35C | 30hpf","wfs1a,wfs1b | 35C | 36hpf"
Control | 24C | 24hpf,1.0,0.4361410343542535,0.5132644756068061,0.31581770815645,0.5792719566033191,0.35818806621627197,0.575640523857709,0.323203897953116,0.2219060221184357,0.4244416868012446,0.8717215464221557,0.6522664317859047,0.8852208085032409,0.4040126042710407,0.6134226282850727,0.5054114641048157,0.40554303525094965,0.24970693367797972,0.4807990065496969,0.34500409020720646,0.2710574227482449,0.3413068554311638,0.5968116775419128,0.766084630111411,0.7232672847368805,0.3650835916097343,0.4252845258905207,0.2751503129277397,0.5638791079196604,0.40018221364804574,0.2897475032825786,0.41845635875576476,0.4769797887819783,0.3469649339272382,0.375496055511325,0.6044175255599431,0.8181284973137684,0.48981160510014754,0.4384761678500845,0.36772165555004754,0.468071809628372,0.295898531419715,0.21175109179166138,0.5044793526909567,0.5919632004740996,0.6138394109933121,0.4645819048597588,0.42778742034549394
Control | 24C | 30hpf,0.4361410343542535,1.0,0.3686186045235053,0.7738250634757884,0.6757533700945111,0.739814422361595,0.6490826246150836,0.6654872533262379,0.6483492164644666,0.5534097682898839,0.5705184861605348,0.7023665133719009,0.5239273238116572,0.8533751741667766,0.8640833858821662,0.8104233546597813,0.403581791648097,0.6698173250373656,0.5071663101574542,0.6603071572928076,0.4067786668308493,0.6881447016572204,0.7218287838788453,0.6627259978884104,0.44523936053925434,0.6317198726627471,0.47556936582145654,0.8553878640845396,0.49184343178478884,0.8556343230057075,0.4965296126025783,0.8059178882368422,0.5292693623242377,0.8011522340829929,0.7325107087855217,0.6216150832846581,0.49177448845277894,0.9683753679677612,0.703038293405061,0.8555250814558051,0.5131951584832591,0.7404501063022543,0.5979555829770828,0.7114255216898691,0.6198033981099671,0.7292141654016595,0.862945606061686,0.8277271995988293
Control | 24C | 36hpf,0.5132644756068061,0.3686186045235053,1.0,0.5863575956366496,0.5519619832661935,0.34027585137555155,0.5070178194962143,0.3344703728762055,0.34804046419360846,0.8030085342174853,0.5249946085932485,0.6467880385873018,0.4653249147187328,0.45621977495549715,0.4915510078103649,0.5022460015456645,0.7316712346200964,0.3348715369089341,0.7305057761259794,0.32318938505727457,0.613016016242626,0.7316233015989015,0.3928897927650603,0.5082503561096787,0.7552243979994719,0.4708582538023781,0.7960457654277198,0.4028956968654914,0.620903176939288,0.5653464833857824,0.5473710683069205,0.5332520638808136,0.4186108077267987,0.5550007475449632,0.49227273127318144,0.7102539477625505,0.615031005135875,0.46216523830559086,0.6495778115055632,0.5844217483574112,0.4755918240099716,0.4732264568691769,0.7464556006681207,0.5253883415736404,0.4899460421311177,0.7454797939770129,0.37422050777437776,0.47683908787311474
Control | 28C | 24hpf,0.31581770815645,0.7738250634757884,0.5863575956366496,1.0,0.5877035008834695,0.5736878496435366,0.3658221022288352,0.5858869488321643,0.6592255117565332,0.5608941978561911,0.49123365052632245,0.42353568245103346,0.5376992354525103,0.9214787748447593,0.7668992032181781,0.9271508115047558,0.3841561216515084,0.5585418488627196,0.35230184007297677,0.5425978582199819,0.2274119535730607,0.5469307434897096,0.47524637146826504,0.5246261243098894,0.6293424393490412,0.8828301768123515,0.44631153641455795,0.8019491806024872,0.3363335898955022,0.7413669816833931,0.5109456988825971,0.7190616818340412,0.44713182320101597,0.6047487514670924,0.5533547564324355,0.4141381165931414,0.5984923804323043,0.7827507596183647,0.7587771777123713,0.7452499847414396,0.4316429091542875,0.6728833275349566,0.6444723435155404,0.5026260482772887,0.5672316013110416,0.4067378760072298,0.5289108016609309,0.5475694755561176
Control | 28C | 30hpf,0.5792719566033191,0.6757533700945111,0.5519619832661935,0.5877035008834695,1.0,0.8989142646621733,0.5504710965695828,0.8329524380718037,0.7885429767680678,0.5029583211129756,0.624253694473075,0.5097898948550327,0.4776950066642017,0.56966745866962,0.4823325122865285,0.563383198980675,0.410530352409967,0.8404714085203533,0.5518130463196025,0.7795668304094535,0.7108053567541588,0.5990696090562907,0.624566353917333,0.6260221568239932,0.6219332248863961,0.32119889710220395,0.5839327040095094,0.5405501794582344,0.6843403800943152,0.7225515259303779,0.43968096424361003,0.5743651897724282,0.7082579460575976,0.6485790301926981,0.7005899448826562,0.49035731637661994,0.5436766066974352,0.6281461862592087,0.32807267481598207,0.47537022940901374,0.7474382983529426,0.8407014577003964,0.4114175165583862,0.5439758977817979,0.5787012737462061,0.5710021945342534,0.6100119601683054,0.6396084965898243
Control | 28C | 36hpf,0.35818806621627197,0.739814422361595,0.34027585137555155,0.5736878496435366,0.8989142646621733,1.0,0.5032949929258762,0.9569317921829396,0.8937465141884038,0.558558782599111,0.41669388337706037,0.6241996498961344,0.40399039569166884,0.5383243095921576,0.5883576317764083,0.4836534562020429,0.546626042399852,0.9711449636202866,0.6519696208748418,0.9241941536870977,0.7823250982412611,0.6461005791152665,0.6888728051655327,0.719934638451252,0.6432935764774117,0.3605671466813341,0.4423868819562761,0.5720535677363136,0.5714657686810903,0.809685153930087,0.4461653497972254,0.6758292710498912,0.7236849555266993,0.6750201061188709,0.767569460983214,0.5007343869881976,0.3405242986306677,0.6887866019531432,0.4537566701420216,0.5836748103522664,0.6379733274072998,0.9109992862078543,0.49297554606938415,0.496219367749132,0.7182366670828194,0.556215710354542,0.6888861586697271,0.6734573829419133
Control | 34C | 24hpf,0.575640523857709,0.6490826246150836,0.5070178194962143,0.3658221022288352,0.5504710965695828,0.5032949929258762,1.0,0.5403831283788822,0.3972484934793102,0.5054757435919471,0.5993826829561739,0.4395942071006737,0.4463350513254607,0.5394754160660231,0.4026840205597972,0.48070340286160806,0.5138030074917648,0.5341380409400934,0.5731165893269073,0.5095785260255723,0.4590855487743935,0.4196479729164192,0.6159298057899795,0.4503960992263918,0.3474616083897305,0.2989400161975637,0.35431626849742665,0.49748494069310434,0.4587423113589882,0.4840593483377096,0.25473522460741976,0.42692321479444345,0.611479383749784,0.5071312744645216,0.5496617889532186,0.5200316391622982,0.42943203923731954,0.6060255118133254,0.4222239086387861,0.48533519003749903,0.405195836849111,0.5103529245328622,0.34881184211226246,0.35150025393447715,0.5241472024392404,0.3616695275421699,0.6501889361512267,0.5951842834604719
Control | 34C | 30hpf,0.323203897953116,0.6654872533262379,0.3344703728762055,0.5858869488321643,0.8329524380718037,0.9569317921829396,0.5403831283788822,1.0,0.9103442504521337,0.4320595751006761,0.3926764806105651,0.6001472902098738,0.35565958180049145,0.4800780091203689,0.5825353998613181,0.427583527947917,0.5322812908934272,0.9777148197271481,0.5344451505747855,0.9480492008232777,0.7299427597968051,0.5981941964843546,0.7008956562107616,0.7557226383096447,0.6458397824212736,0.39428484506295935,0.4861073088254416,0.5682502599440553,0.6026819375753952,0.7692629001730882,0.5041447441729712,0.7188478615015774,0.5567715789952357,0.6508907725527521,0.7279078787020196,0.4872461490945286,0.3443451335248031,0.6052763527884992,0.4862026929814578,0.5184359376915649,0.5379350972364243,0.8871929120054103,0.4955275592501267,0.5398748764414533,0.7641161075898599,0.5109364409123367,0.6689570188776122,0.6367594978763382
Control | 34C | 36hpf,0.2219060221184357,0.6483492164644666,0.34804046419360846,0.6592255117565332,0.7885429767680678,0.8937465141884038,0.3972484934793102,0.9103442504521337,1.0,0.49466665973747426,0.29895621542977624,0.43788996280896997,0.5176297299639514,0.5101195837276336,0.5013972478854177,0.49654484156071677,0.4092045169261321,0.8989027540022425,0.5465541959531632,0.8708564482049836,0.6122433797533267,0.47488443072902675,0.5502670802957239,0.6118747167504159,0.6887518361944138,0.5389563011407142,0.4646481094251635,0.4407328138087469,0.49434890587820346,0.6128281795786377,0.682316649604708,0.5444249098111876,0.6208337743428567,0.4592141329196334,0.5407308961913181,0.29393251997183467,0.4047785226843702,0.6604385147223046,0.3274254194227224,0.42196293154253245,0.4840360442016959,0.7908986007055154,0.5306504752434325,0.50488601160559,0.6242557472208288,0.41805739632472605,0.5179651114684065,0.4157775879420673
Control | 35C | 24hpf,0.4244416868012446,0.5534097682898839,0.8030085342174853,0.5608941978561911,0.5029583211129756,0.558558782599111,0.5054757435919471,0.4320595751006761,0.49466665973747426,1.0,0.5428352246154582,0.7316081020914527,0.5641490630978556,0.5203292192318646,0.527155949112512,0.4993903143745071,0.6833664367377992,0.5216158269604596,0.6873031649452428,0.3812237190827651,0.7069398349508278,0.9126113437546258,0.7311683304710124,0.5111867071661725,0.6544251240140827,0.44253651124191384,0.6143096264537832,0.5865294768718853,0.28730473264555323,0.6342475280261942,0.72011892464383,0.4987278274652004,0.5536822795156137,0.8217151380299634,0.838074392067067,0.6758767974494544,0.609060945018761,0.5624103276059395,0.618718902762732,0.7226526703310232,0.6926090182716707,0.5774248076312134,0.8050481304740832,0.6204329461980995,0.3311648768241465,0.8047083296920912,0.7129184501443322,0.7366240813922438
Control | 35C | 30hpf,0.8717215464221557,0.5705184861605348,0.5249946085932485,0.49123365052632245,0.624253694473075,0.41669388337706037,0.5993826829561739,0.3926764806105651,0.29895621542977624,0.5428352246154582,1.0,0.6050132189701283,0.8656045846676175,0.5418819122465262,0.6265553799187595,0.6686761826199676,0.34975437160314005,0.3473068211734523,0.6013488670641243,0.366765333091187,0.4576436560861349,0.5766755190989228,0.542290652052692,0.7574942904659119,0.6630211265350943,0.5265600319720709,0.3405097813736068,0.3913748068287182,0.33195411037651607,0.48130192891455004,0.2588923336437079,0.49551220169200355,0.5610939360262845,0.5873438567760878,0.47974373686390986,0.4429319345324789,0.8288720485424786,0.5985208343475524,0.5753300490315068,0.4304364725982192,0.6183281789162756,0.4883206050439503,0.4000103893933001,0.5534716854576781,0.6156674425358891,0.513620649418168,0.48486233262798484,0.6164986186009058
