perturbation_group,temperature,timepoint_seq,n_wells,cohort
Control,24,24,12,Control | 24C | 24hpf
Control,24,30,12,Control | 24C | 30hpf
Control,24,36,12,Control | 24C | 36hpf
Control,28,24,12,Control | 28C | 24hpf
Control,28,30,12,Control | 28C | 30hpf
Control,28,36,11,Control | 28C | 36hpf
Control,34,24,12,Control | 34C | 24hpf
Control,34,30,12,Control | 34C | 30hpf
Control,34,36,12,Control | 34C | 36hpf
Control,35,24,12,Control | 35C | 24hpf
Control,35,30,10,Control | 35C | 30hpf
Control,35,36,12,Control | 35C | 36hpf
atf6,24,24,11,atf6 | 24C | 24hpf
atf6,24,30,11,atf6 | 24C | 30hpf
atf6,24,36,12,atf6 | 24C | 36hpf
atf6,28,24,12,atf6 | 28C | 24hpf
atf6,28,30,12,atf6 | 28C | 30hpf
atf6,28,36,12,atf6 | 28C | 36hpf
atf6,34,24,12,atf6 | 34C | 24hpf
atf6,34,30,12,atf6 | 34C | 30hpf
atf6,34,36,12,atf6 | 34C | 36hpf
atf6,35,24,12,atf6 | 35C | 24hpf
atf6,35,30,12,atf6 | 35C | 30hpf
atf6,35,36,12,atf6 | 35C | 36hpf
ctcf,24,24,12,ctcf | 24C | 24hpf
ctcf,24,30,12,ctcf | 24C | 30hpf
ctcf,24,36,12,ctcf | 24C | 36hpf
ctcf,28,24,12,ctcf | 28C | 24hpf
ctcf,28,30,11,ctcf | 28C | 30hpf
ctcf,28,36,12,ctcf | 28C | 36hpf
ctcf,34,24,12,ctcf | 34C | 24hpf
ctcf,34,30,12,ctcf | 34C | 30hpf
ctcf,34,36,12,ctcf | 34C | 36hpf
ctcf,35,24,12,ctcf | 35C | 24hpf
ctcf,35,30,12,ctcf | 35C | 30hpf
ctcf,35,36,12,ctcf | 35C | 36hpf
"wfs1a,wfs1b",24,24,12,"wfs1a,wfs1b | 24C | 24hpf"
"wfs1a,wfs1b",24,30,12,"wfs1a,wfs1b | 24C | 30hpf"
"wfs1a,wfs1b",24,36,12,"wfs1a,wfs1b | 24C | 36hpf"
"wfs1a,wfs1b",28,24,12,"wfs1a,wfs1b | 28C | 24hpf"
"wfs1a,wfs1b",28,30,12,"wfs1a,wfs1b | 28C | 30hpf"
"wfs1a,wfs1b",28,36,12,"wfs1a,wfs1b | 28C | 36hpf"
"wfs1a,wfs1b",34,24,12,"wfs1a,wfs1b | 34C | 24hpf"
"wfs1a,wfs1b",34,30,12,"wfs1a,wfs1b | 34C | 30hpf"
"wfs1a,wfs1b",34,36,12,"wfs1a,wfs1b | 34C | 36hpf"
"wfs1a,wfs1b",35,24,9,"wfs1a,wfs1b | 35C | 24hpf"
"wfs1a,wfs1b",35,30,12,"wfs1a,wfs1b | 35C | 30hpf"
"wfs1a,wfs1b",35,36,12,"wfs1a,wfs1b | 35C | 36hpf"
