cohort,target,temperature,timepoint,n_wells,axis_1_var_ratio,axis_1_stability,axis_1_eig_lo,axis_1_eig_hi,axis_1_null_pctile,axis_2_var_ratio,axis_2_stability,axis_2_eig_lo,axis_2_eig_hi,axis_2_null_pctile,axis_3_var_ratio,axis_3_stability,axis_3_eig_lo,axis_3_eig_hi,axis_3_null_pctile
Control | 24C | 24hpf,Control,24,24,12,0.46038910451169535,0.8187611066044026,0.15483019676425644,0.3789996632232218,10.0,0.37399257890465115,0.7964558545134204,0.05934932500602288,0.1874134774598753,99.0,0.10225572678316361,0.9028903937351527,0.0168161281435633,0.06502045779796727,60.333333333333336
Control | 24C | 30hpf,Control,24,30,12,0.5476298603240992,0.9185629628410129,0.4157675559088933,1.0974249681049744,31.0,0.288068856439041,0.8811470948604503,0.12709300551799874,0.5674337325114479,85.0,0.08332093994879834,0.783560449453638,0.04123026536538805,0.13606580278999478,47.0
Control | 24C | 36hpf,Control,24,36,12,0.5992320744615471,0.9832064759955723,0.1608387959867395,0.30938719184749347,43.333333333333336,0.21185588764966096,0.8413683219296049,0.027008241029946874,0.15518201755463623,56.99999999999999,0.10666927097887165,0.6939144998306959,0.01114640654030005,0.059354584406438725,65.33333333333333
Control | 28C | 24hpf,Control,28,24,12,0.6330009073784889,0.9627263451611979,0.45276537610998757,1.2580752876997003,51.66666666666667,0.17565747726003259,0.8145500639751352,0.11803167153498267,0.3579848357853759,42.333333333333336,0.13248629199259737,0.7676993033956928,0.03650975421915667,0.18541243975463878,82.33333333333334
Control | 28C | 30hpf,Control,28,30,12,0.6170900328053666,0.9582186732684057,0.06221311157481242,0.25527535758012754,47.66666666666667,0.16417221207087748,0.7954345660283947,0.02363620751646494,0.06078359985074218,38.333333333333336,0.12362654414597807,0.7417977215873472,0.010971060487169745,0.03366239158941021,77.0
Control | 28C | 36hpf,Control,28,36,11,0.5596060294843804,0.8517518105759139,0.08016681183194742,0.2635403994448309,34.0,0.3114471039487201,0.8346361414173011,0.02410849534336326,0.11180183612358142,91.33333333333333,0.056801831666633835,0.7227097599557317,0.007286257622451622,0.022699421365432494,25.0
Control | 34C | 24hpf,Control,34,24,12,0.47516075085973064,0.9441932640295555,0.0761877682782301,0.21421925578665052,13.666666666666666,0.23444441258187293,0.7876518621474295,0.039859594225360125,0.09234525104020139,68.33333333333333,0.17829027711558262,0.744362024874187,0.009984742245118743,0.053847027009685244,96.33333333333334
Control | 34C | 30hpf,Control,34,30,12,0.675079202889378,0.9529543881698254,0.14328194870140895,0.569928053384794,60.66666666666667,0.22005831435023865,0.9422004900021997,0.04896601514326959,0.1292084601102463,60.66666666666667,0.06828852977373476,0.8433896323327609,0.007986590443044568,0.03937656435900732,32.666666666666664
Control | 34C | 36hpf,Control,34,36,12,0.5903423038159238,0.966140830773196,0.06464235867500345,0.1304973741073043,40.33333333333333,0.30416419746678686,0.9544588623975437,0.015597153851971112,0.06741615155952968,88.0,0.040111166204012165,0.8017860942534191,0.004656743111349048,0.008901175774978206,6.666666666666667
Control | 35C | 24hpf,Control,35,24,12,0.7740262145803156,0.958099706537502,0.23771065290778187,1.5380438158214076,75.33333333333333,0.13644679686816968,0.9052752993958272,0.04716848747949248,0.1817235565006023,30.333333333333336,0.03973433726763169,0.8601246914506081,0.017381234979808043,0.05499172946449008,6.666666666666667
Control | 35C | 30hpf,Control,35,30,10,0.7676298645356158,0.990008426446056,0.29240389779610515,1.3427313942915962,74.33333333333333,0.11723253300135776,0.8262448247274616,0.07396223692152412,0.22873584912068431,23.0,0.06910912026785121,0.7595405190716525,0.02642181055466372,0.10817050814855536,33.666666666666664
