"contrast","cell_type","logfc_binary_m1","p_binary_m1","q_binary_m1","logfc_binary_m2","p_binary_m2","q_binary_m2","q_binary_m3_ctrlslope","q_binary_m4_crispslope","logfc_slope","q_slope","q_slope_control"
"atf6 vs ctrl | 24C | 24hpf","ecto-epithelial cell, non-neural ectoderm",-0.0477701222560011,0.334069389606086,0.580990242793193,-0.0470970352923092,0.337028593227251,0.58613668387348,0.596536034304971,0.605120522667141,-0.0189502070961777,0.817675257478612,0.489394947082758
"atf6 vs ctrl | 24C | 24hpf","ectodermal cell, lateral line placode",0.0776891811486376,0.4696111390941,0.75137782255056,0.0655353673024823,0.536017969250444,0.80884748763086,0.71355539642141,0.822211492945907,0.241471848929288,0.453474188520349,0.979406306809361
"atf6 vs ctrl | 24C | 24hpf","ectodermal cell, lens vesicle",-0.152633055554202,0.180608450728177,0.48162253527514,-0.15465159012572,0.166527757587136,0.455569654656642,0.46861572184294,0.453206502607508,0.0695574759535512,0.817675257478612,0.999407448836203
"atf6 vs ctrl | 24C | 24hpf","ectodermal cell, otic placode",0.00160954269103431,0.987537575216163,0.987537575216163,0.00221050112839256,0.982390193481331,0.982390193481331,0.976074777487254,0.993958317606571,0.0544789160264667,0.817675257478612,0.999407448836203
"atf6 vs ctrl | 24C | 24hpf","ectodermal cell, preplacodal ectoderm",-0.00999001173897491,0.889636771848182,0.970345558840178,-0.00719447133818257,0.920682383141115,0.953603377620561,0.968593928700224,0.965665211830592,0.0525223335300267,0.808729698310474,0.6872334589528
"atf6 vs ctrl | 24C | 24hpf","endodermal cell, early pharyngeal endoderm",-0.0327116639955024,0.724599104857444,0.934966586912831,-0.0387381459376804,0.674363939025723,0.870147018097707,0.913449125746397,0.860736684020892,0.17034524178224,0.477249326996587,0.999407448836203
"atf6 vs ctrl | 24C | 24hpf","endothelial cell, blood island (posterior)",0.202141257951179,0.0305245914233088,0.178448114946124,0.197648485172032,0.0348146823440763,0.18903429003214,0.171337854770247,0.171585112357647,-0.158200799638566,0.477249326996587,0.688551432714163
"atf6 vs ctrl | 24C | 24hpf","epithelial cell, pharyngeal epithelium",-0.138058345184576,0.222755989206906,0.516054464188179,-0.140576609673214,0.204261053670614,0.455569654656642,0.536001004206399,0.470608625113469,-0.108004859457997,0.709182492605912,0.999407448836203
"atf6 vs ctrl | 24C | 24hpf","fast muscle cell, fast muscle tissue (differentiating)",0.154758111996648,0.0593424169763059,0.237369667905224,0.150021271669272,0.0595691466923641,0.238276586769456,0.216150008309952,0.302423587710137,-0.217244016444112,0.433244398023753,0.373499682879565
"atf6 vs ctrl | 24C | 24hpf","fast muscle myoblast, fast muscle tissue",0.259761054670525,3.39145968004577e-05,0.00129360437673881,0.257952202123485,3.39980388075399e-05,0.000832594952805012,0.00138324536383743,0.000703556405194219,0.0799805704795474,0.623578028957014,0.999407448836203
"atf6 vs ctrl | 24C | 24hpf","glial cell, floor plate (pappaa+)",0.155250118993288,0.14310382540187,0.477012751339566,0.157021117426132,0.128506444384372,0.428354814614575,0.432783249431771,0.453206502607508,0.110900895177122,0.694372393747928,0.489394947082758
"atf6 vs ctrl | 24C | 24hpf","glial cell, optic stalk",-0.1270276868082,0.232224508884681,0.516054464188179,-0.139633390384499,0.184149116911508,0.455569654656642,0.55137141736529,0.453206502607508,-0.267853019361742,0.433244398023753,0.489394947082758
