"contrast","n_embryos","n_cell_types","df_model1","df_model2","max_abs_cor_to_binary","logfc_cor_m1_m2","median_abs_logfc_diff","max_abs_logfc_diff","hits_binary_m1","hits_binary_m2","hits_slope","shared_m1_m2","lost_in_m2","gained_in_m2","new_vs_m1","new_vs_m2","indirect_m3_ctrlslope","indirect_m4_crispslope","lost_m3_ctrlslope","lost_m4_crispslope"
"atf6 vs ctrl | 24C | 24hpf",22,40,20,18,1.62890582148617e-17,0.999079483193662,0.00265690244471474,0.0181336915442503,2,2,0,2,0,0,0,0,0,0,0,0
"atf6 vs ctrl | 24C | 30hpf",23,35,21,19,1.78176356770697e-17,0.999493316718323,0.00152703976349744,0.0238283820808343,3,2,0,2,1,0,0,0,0,0,1,1
"atf6 vs ctrl | 24C | 36hpf",23,43,21,19,0.022747102840528,0.997686753483273,0.00221805208065649,0.0362947789713401,6,6,0,6,0,0,0,0,0,0,0,0
"atf6 vs ctrl | 28C | 24hpf",22,46,20,18,2.31699161679236e-17,0.996236074217781,0.00521838172704651,0.0575996180051284,15,15,5,15,0,0,2,2,0,0,0,0
"atf6 vs ctrl | 28C | 30hpf",23,41,21,19,1.39569418469871e-17,0.991971047690198,0.00419338928170854,0.226158010782501,14,17,9,14,0,3,3,2,0,3,2,0
"atf6 vs ctrl | 28C | 36hpf",21,63,19,17,8.73379514731346e-18,0.999537466383406,0.00122224783034892,0.0239079944159379,19,18,0,18,1,0,0,0,0,0,0,1
"atf6 vs ctrl | 34C | 24hpf",24,45,22,20,3.15824698306486e-17,0.997918876646511,0.00303858757438491,0.0405644863516459,9,9,0,9,0,0,0,0,0,0,0,0
"atf6 vs ctrl | 34C | 30hpf",23,54,21,19,0.0335122815369416,0.973730155629336,0.00506335836350849,0.363079663117809,2,3,11,2,0,1,9,8,1,2,0,0
"atf6 vs ctrl | 34C | 36hpf",22,85,20,18,0.0156195674588373,0.96727140150877,0.00372014352811961,0.39718616986931,29,35,31,29,0,6,12,9,0,4,0,0
"atf6 vs ctrl | 35C | 24hpf",23,49,21,19,1.13943920677214e-17,0.996733551929991,0.00211093358139355,0.0347882187060654,0,0,0,0,0,0,0,0,0,0,0,0
"atf6 vs ctrl | 35C | 30hpf",20,56,18,16,0.00253237459235415,0.996226343722507,0.00332351472795892,0.0416039719202419,0,0,0,0,0,0,0,0,0,0,0,0
"atf6 vs ctrl | 35C | 36hpf",23,76,21,19,0.022431745819648,0.994042219346265,0.00208467179282723,0.0662207366987538,1,1,0,1,0,0,0,0,0,0,0,0
"ctcf vs ctrl | 24C | 24hpf",20,43,18,16,0.126299441573367,0.986394673739361,0.0143270124778422,0.118647645766975,11,11,1,10,1,1,1,1,1,2,0,1
"ctcf vs ctrl | 24C | 30hpf",22,31,20,18,0.00670250302558222,0.999098801136487,0.00375967515465654,0.0327590648480131,10,10,0,10,0,0,0,0,0,0,0,0
"ctcf vs ctrl | 24C | 36hpf",24,44,22,20,1.29521938718585e-17,0.999786585377205,0.00299811000649829,0.018943935385874,19,19,0,19,0,0,0,0,0,0,0,0
"ctcf vs ctrl | 28C | 24hpf",22,50,20,18,1.35947887334359e-17,0.99920043369394,0.0021438487147514,0.0273271035352508,9,9,0,9,0,0,0,0,0,0,0,0
"ctcf vs ctrl | 28C | 30hpf",22,41,20,18,0.0123854340299205,0.997724004351427,0.0096451840154624,0.137835977758263,22,22,8,21,1,1,3,2,1,1,0,0
"ctcf vs ctrl | 28C | 36hpf",23,64,21,19,1.70771624995713e-17,0.996964188127558,0.00619355052317012,0.207845639931529,38,38,10,38,0,0,2,2,0,0,0,0
"ctcf vs ctrl | 34C | 24hpf",24,45,22,20,1.17154506169148e-17,0.99697123955843,0.0031012239532037,0.066519172395288,7,7,3,7,0,0,2,2,0,1,0,0
"ctcf vs ctrl | 34C | 30hpf",23,54,21,19,0.0335316288070231,0.99731015629424,0.00848135324369573,0.317696732964814,32,35,20,32,0,3,5,5,0,5,0,0
"ctcf vs ctrl | 34C | 36hpf",23,87,21,19,3.23741536229191e-17,0.98207652465111,0.00813143941072811,0.817770437730656,52,55,27,51,1,4,7,4,0,6,1,1
"ctcf vs ctrl | 35C | 24hpf",23,43,21,19,0.0470460166676209,0.99901646765792,0.00211939738982755,0.0384156389807043,12,12,0,12,0,0,0,0,0,0,0,0
"ctcf vs ctrl | 35C | 30hpf",19,45,17,15,0.0908780379928993,0.997538771099543,0.00755953167927526,0.119271572079087,21,22,13,20,1,2,7,6,0,3,1,1
"ctcf vs ctrl | 35C | 36hpf",23,73,21,19,0.0486057525745669,0.99949238378789,0.00492798956288963,0.0707466140635016,48,48,1,48,0,0,1,1,0,0,0,0
"wfs1a,wfs1b vs ctrl | 24C | 24hpf",24,41,22,20,3.17039504659874e-17,0.99589499419316,0.00261136003104576,0.107675618300808,11,13,1,11,0,2,1,0,1,1,0,0
"wfs1a,wfs1b vs ctrl | 24C | 30hpf",24,29,22,20,1.19384116393811e-17,0.998113599992966,0.00422615763234002,0.0365234804485403,1,1,0,1,0,0,0,0,0,2,0,0
"wfs1a,wfs1b vs ctrl | 24C | 36hpf",24,41,22,20,2.30258566483457e-17,0.999789304926473,0.00252309331757589,0.0196561634466788,11,12,0,11,0,1,0,0,0,1,0,0
"wfs1a,wfs1b vs ctrl | 28C | 24hpf",22,54,20,18,1.78319954700146e-17,0.998123778450937,0.00239332520246795,0.0537610151632211,11,12,0,11,0,1,0,0,0,0,0,1
"wfs1a,wfs1b vs ctrl | 28C | 30hpf",24,40,22,20,1.01015441228717e-17,0.99832245663601,0.00414594263464922,0.0306875301225052,9,9,0,9,0,0,0,0,0,0,0,0
"wfs1a,wfs1b vs ctrl | 28C | 36hpf",23,57,21,19,1.65224399626078e-17,0.997324978275487,0.00200070002340516,0.333554958960696,27,31,11,27,0,4,5,3,0,4,0,0
