"cell_type","total_cells","mean_fraction","max_fraction","n_embryos_present"
"neural progenitor cell, hindbrain",80425,0.058410868223904,0.151962428715196,632
"retinal progenitor cell, retina",83812,0.04949924189782,0.101889893179951,651
"fast muscle cell, fast muscle tissue",71439,0.0445841549572301,0.132911392405063,636
"epithelial cell, pharyngeal epithelium",75637,0.0439811083976574,0.109516616314199,651
"neuroblast (sensu Vertebrata), spinal cord",73653,0.0366705082293824,0.0988286969253294,644
"peridermal cell, periderm (24-72 hpf)",66792,0.034440671917438,0.137193763919822,638
"radial glial cell, spinal cord",56644,0.0332903670752407,0.0811287477954145,643
"retinal progenitor cell, retina (atoh7+)",42003,0.0196377412087965,0.0805555555555556,621
"radial glial cell, midbrain",32433,0.019481852634531,0.0499181669394435,638
"mesenchymal cell, pharyngeal arch",39515,0.0192654334860552,0.0503889076766994,646
"neural progenitor cell, midbrain-hindbrain boundary",23545,0.0166075197211572,0.0425776754890679,651
"neural progenitor cell, midbrain (ank1a+)",26124,0.0151687459550923,0.0383091149273448,638
"mesodermal cell, somite",22994,0.0149858194392977,0.0539389638041164,651
"GABAergic neuron, forebrain",34000,0.0137335537724353,0.0390450136781895,644
"glutamatergic neuron, forebrain",36590,0.0134342502892952,0.0604229607250755,643
"fast muscle cell, fast muscle tissue (differentiating)",14695,0.0127415628073759,0.0924805531547105,613
"epithelial cell, median fin fold (includes pectoral)",21652,0.0119792947714409,0.0295881647341064,641
"slow muscle cell, slow muscle tissue",18744,0.0118602533387519,0.0355555555555556,648
"radial glial cell, telencephalon",19375,0.0112359271162012,0.0339031069978279,638
"retinal pigment epithelial cell, pigmented layer of retina",19175,0.0101819564821928,0.0236453201970443,651
"mesenchymal cell, ventral mesenchyme (rhag+)",17425,0.0101284702845822,0.0327313769751693,651
"inhibitory interneuron, spinal cord",29138,0.0098680863958942,0.0465216146578872,573
"syncytial cell, yolk sac",15386,0.00985870523453492,0.0400696864111498,648
"endodermal cell, pharyngeal pouch",15370,0.00978965549621417,0.0302600472813239,629
"neural progenitor cell, midbrain",9674,0.00958903024376657,0.0993788819875776,474
"ependymal cell, spinal cord",13038,0.00885711315693492,0.0317460317460317,641
"glutamatergic neuron, spinal cord",26070,0.00832575345244322,0.0560200668896321,579
"glutamatergic neuron, hindbrain (anterior)",25728,0.00774363146350032,0.0446783161239079,443
"neural crest cell, trunk neural crest (delaminating)",11440,0.00758185043395133,0.024390243902439,639
"neural progenitor cell, rhombomere (7 and 8)",7576,0.00752435220458156,0.0600896860986547,399
"neuroblast (sensu Vertebrata), hindbrain",15231,0.00738054911699307,0.0255052935514918,642
"mesodermal cell, craniocervical region",10570,0.0070449316614351,0.0204241948153967,641
"ecto-epithelial cell, non-neural ectoderm",6695,0.00698338875534343,0.087248322147651,302
"neuroblast (sensu Vertebrata), midbrain",14040,0.00695519778840951,0.0248181429182713,605
"hatching gland cell, hatching gland",9977,0.0068090595368133,0.0384917517674784,608
"glial cell, optic stalk",9149,0.00647507090761003,0.021945866861741,648
"radial glial cell, hindbrain",15491,0.00633767826680421,0.0356125356125356,432
"radial glial cell, diencephalon",10498,0.00597633293118442,0.0236294896030246,625
"mesodermal cell, pharyngeal arch (tcf21+)",9536,0.0056156995698475,0.0167682926829268,651
"endothelial cell, lymph vessel endothelium",9043,0.0055064267886298,0.0164348925410872,624
"peridermal cell, periderm (muc13a+)",13100,0.00549725767252801,0.0327183271832718,548
"neuron, olfactory placode",9431,0.00548856034746207,0.0150435471100554,650
"dopaminergic neuron, locus coeruleus",10069,0.00524999812308371,0.0162725103059232,627
"neuroblast (sensu Vertebrata), midbrain (ank1a+)",13906,0.00517774607149633,0.0311126141359486,405
"fast muscle myoblast, fast muscle tissue",5560,0.00499100267430064,0.0505795574288725,573
"mesenchymal cell, median fin fold",8306,0.00481809534390146,0.0167300380228137,644
"retinal ganglion cell, ganglionic layer of retina",19135,0.00479084517055768,0.050150097121667,329
"endothelial cell, blood vessel endothelium",8325,0.00476535752345581,0.0127768313458262,650
"vagal neural crest cell, neural crest",7105,0.0046668783622823,0.0237020316027088,651
"GABAergic neuron, tegmentum (midbrain-hindbrain boundary)",12314,0.004666434847656,0.0242682011508631,553
"ependymoglial cell, central nervous system",13901,0.00456492361170558,0.0240577385725742,501
"ectodermal cell, otic vesicle protrusion",7692,0.00450931644821604,0.0173745173745174,612
"mesenchymal cell, periocular mesenchyme",7196,0.00435527693854821,0.0162866449511401,590
"neuroblast (sensu Vertebrata), spinal cord (SMNs)",8482,0.00430685930347505,0.0168374816983895,604
"slow muscle myoblast, slow muscle tissue",4626,0.00426757720773728,0.0274599542334096,453
"neuromast mantle cell, lateral line",7330,0.00426670767047469,0.01270207852194,637
"mesodermal cell, presomitic mesoderm",4198,0.00409284176854329,0.0774877650897227,326
"mesenchymal cell, sclerotome",5971,0.00402375502813843,0.0134395221503235,622
"ependymoglial cell, floor plate",7188,0.00389342248542492,0.0154071900220103,617
"peridermal cell, periderm (10-18 hpf)",5294,0.00376715603350136,0.0498899486426999,640
"inhibitory interneuron, spinal cord (V2b)",13311,0.00363175832843359,0.0372407291011942,432
"glutamatergic neuron, medulla oblongata (phox2bb+)",10310,0.00359846399441592,0.0190203669415923,481
"neurectodermal cell, spinal cord neural keel",3454,0.00353902055566893,0.0488262910798122,286
"neurectodermal cell, future diencephalon (ventral)",3834,0.00350086579045448,0.028735632183908,481
"lens fiber cell, lens of camera-type eye",6689,0.00337170764749729,0.0113960113960114,596
"syncytial cell, yolk sac (10 hpf)",5534,0.00331005047483056,0.135730007336757,620
"eye photoreceptor cell, outer nuclear layer of retina (cycling)",11092,0.003276819860563,0.043299620733249,358
"glutamatergic neuron, telencephalon (proximal to olfactory bulb)",7149,0.00319493735257473,0.0108991825613079,583
"neuroblast (sensu Vertebrata), diencephalon (ventral)",4192,0.00318412820612285,0.0128495842781557,559
"neuroblast (sensu Vertebrata), forebrain",6757,0.0031480971245853,0.139956558692983,631
"peridermal cell, periderm (96 hpf)",7190,0.00304490830599619,0.0293333333333333,581
"neuroblast (sensu Vertebrata), spinal cord (primary)",3415,0.00304423070393142,0.0225193525686137,490
"notochordal sheath cell, notochord",4630,0.00303152324812805,0.021094264996704,592
"mesodermal cell, migratory muscle progenitor",5067,0.00296156911146838,0.0099361249112846,612
"neurectodermal cell, future telencephalon",3015,0.00295976527937397,0.0336538461538462,361
"epidermal mucus secreting cell, pharynx",6056,0.00291124868291505,0.0114096429885904,603
"inhibitory interneuron, spinal cord (dI6)",6605,0.00285818815503902,0.00984251968503937,573
"ectodermal cell, preplacodal ectoderm",2981,0.0028255733563488,0.0278440731901352,453
"retinal bipolar neuron, inner nuclear layer of retina (precursor)",11849,0.00270227088265797,0.0510323791647114,185
"endodermal cell, intestinal bulb",4333,0.00268062642319015,0.0102432778489117,555
"smooth muscle cell, myocardium",3700,0.00265276984053486,0.0105485232067511,581
"glial cell, floor plate (hpgd+)",4636,0.00264695655259266,0.0114099429502852,597
"glutamatergic neuron, spinal cord (gpr139+)",6769,0.00263424864803797,0.0136566332218506,571
"glutamatergic neuron, hindbrain (lhx9+)",6118,0.00243628364167963,0.0133982947624848,461
"erythroid progenitor cell, blood (definitive)",4244,0.00240468624881043,0.0203644158628081,488
"xanthoblast, integument",3139,0.0023294495160634,0.015609756097561,558
"kidney proximal convoluted tubule epithelial cell, proximal convoluted tubule",3608,0.00232711239911441,0.0125847047434656,630
"glutamatergic neuron, hindbrain (lateral)",8940,0.00229430254624926,0.0303790412486065,237
"ciliated olfactory receptor neuron, olfactory organ",5654,0.0022852702849547,0.0100777425856608,576
"neurectodermal cell, future diencephalon",2286,0.00228398382447579,0.0257510729613734,308
"neuron, cranial ganglion",3846,0.00225262978278594,0.00836820083682008,629
