"contrast","arm","cell_type","logFC","logCPM","F","p_value","q_value","score_z"
"atf6 vs ctrl | 24C | 24hpf","binary_z","ecto-epithelial cell, non-neural ectoderm",-0.0477701222560011,15.786061651583,0.934186978304437,0.334069389606085,0.580990242793191,-0.883700016681038
"atf6 vs ctrl | 24C | 24hpf","binary_z","ectodermal cell, lateral line placode",0.0776891811486376,13.0938296421801,0.523388845599581,0.4696111390941,0.75137782255056,0.664094047992833
"atf6 vs ctrl | 24C | 24hpf","binary_z","ectodermal cell, lens vesicle",-0.152633055554202,12.8926320910582,1.79574321467661,0.180608450728178,0.48162253527514,-1.40684224180441
"atf6 vs ctrl | 24C | 24hpf","binary_z","ectodermal cell, otic placode",0.00160954269103431,13.1366112164585,0.000244135984583244,0.987537575216163,0.987537575216163,0.0165090058136142
"atf6 vs ctrl | 24C | 24hpf","binary_z","ectodermal cell, preplacodal ectoderm",-0.00999001173897491,14.0360731978685,0.0192676726677981,0.889636771848182,0.970345558840178,-0.242959933597569
"atf6 vs ctrl | 24C | 24hpf","binary_z","endodermal cell, early pharyngeal endoderm",-0.0327116639955024,13.5726662848736,0.124215863451838,0.724599104857444,0.934966586912831,-0.446336963972495
"atf6 vs ctrl | 24C | 24hpf","binary_z","endothelial cell, blood island (posterior)",0.202141257951179,13.6644805596791,4.69615641567693,0.0305245914233087,0.178448114946124,2.04413375266488
"atf6 vs ctrl | 24C | 24hpf","binary_z","epithelial cell, pharyngeal epithelium",-0.138058345184576,13.2299021165133,1.48884061387957,0.222755989206906,0.516054464188179,-1.10095332615894
"atf6 vs ctrl | 24C | 24hpf","binary_z","fast muscle cell, fast muscle tissue (differentiating)",0.154758111996648,14.7071129171491,3.56581354944625,0.059342416976306,0.237369667905224,1.65807255268072
"atf6 vs ctrl | 24C | 24hpf","binary_z","fast muscle myoblast, fast muscle tissue",0.259761054670525,14.9819509366589,17.3816202478224,3.39145968004581e-05,0.00129360437673883,3.39241047877289
"atf6 vs ctrl | 24C | 24hpf","binary_z","glial cell, floor plate (pappaa+)",0.155250118993288,13.1520985171982,2.14848223238064,0.14310382540187,0.477012751339566,1.44165712585553
"atf6 vs ctrl | 24C | 24hpf","binary_z","glial cell, optic stalk",-0.1270276868082,13.4123284305596,1.42935184266615,0.232224508884681,0.516054464188179,-0.907351547453474
