contrast,target,temperature,timepoint,n_crispant,n_control,loo_auc,perm_p_auc,q_auc,null_auc_p95,separation,hotelling_p,boot_angle_p95,random_angle_median,rank_rho_median,random_rank_rho_median,q_rank,top_retention_median,log_sd_ratio,angle_to_stage,shrinkage,usable,usable_ordinal,rank_stable,stage_confounded
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,10,12,0.675,0.1398601398601398,0.2288620470438652,0.75,1.3096336089672391,0.2057245803676271,56.05096406259571,69.45010570102967,0.8898927159796726,0.4624505928853756,0.0809999999999999,0.875,0.5136429130776621,39.82063723084803,0.4175786099930143,False,False,True,False
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,11,12,0.9166666666666666,0.0009990009990009,0.0071928071928071,0.7352272727272724,2.574284926016069,0.0005105444261494,31.717338989372777,69.45010570102967,0.965415019762846,0.4081027667984189,0.0,0.9375,0.7327303269976243,30.3880269889962,0.5346024542218262,True,True,True,True
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","wfs1a,wfs1b",24.0,24.0,12,12,0.7638888888888888,0.0259740259740259,0.0584415584415584,0.7225694444444442,1.4716433218495908,0.0744159495480435,43.782957689617646,69.45010570102967,0.9226086956521738,0.4456521739130434,0.0741176470588235,0.875,-0.1116272006150016,75.74231450628412,0.3838534031552882,True,True,True,False
atf6 vs ctrl | 24C | 30hpf,atf6,24.0,30.0,11,12,0.5757575757575758,0.3106893106893107,0.4222444222444222,0.75,1.0492019639789174,0.2823352653019453,61.01281124776832,69.45010570102967,0.8023715415019764,0.4945652173913043,0.1986206896551724,0.75,0.3206833666767604,62.97725715133796,0.1699349018967395,False,False,False,False
ctcf vs ctrl | 24C | 30hpf,ctcf,24.0,30.0,12,12,0.7847222222222222,0.0229770229770229,0.0551448551448551,0.7295138888888886,1.6128142565216157,0.0553235298147941,41.9767849956256,69.45010570102967,0.9356521739130432,0.427391304347826,0.0741176470588235,1.0,-0.1515031773304662,81.37957050027873,0.3213136077577954,True,True,True,False
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","wfs1a,wfs1b",24.0,30.0,12,12,0.7152777777777778,0.0769230769230769,0.1384615384615384,0.7291666666666666,1.4048763058353215,0.0817339068768302,49.64684273136782,69.45010570102967,0.9021739130434784,0.4539130434782608,0.1227272727272727,0.75,0.0391961580287229,76.1729994317904,0.2211323773877552,False,False,False,False
atf6 vs ctrl | 24C | 36hpf,atf6,24.0,36.0,12,12,0.6458333333333334,0.1548451548451548,0.242366329322851,0.7291666666666666,1.1166505159636393,0.5083314613073782,73.69302833317919,69.45010570102967,0.9326086956521736,0.4660869565217391,0.0741176470588235,0.875,1.073758062861613,35.80695544149181,0.5565286148087898,False,False,True,False
ctcf vs ctrl | 24C | 36hpf,ctcf,24.0,36.0,12,12,0.7986111111111112,0.0139860139860139,0.0359640359640359,0.7152777777777778,1.8905124873373989,0.0268530681622171,52.1986845368856,69.45010570102967,0.9486956521739128,0.5726086956521739,0.075,0.875,0.7946365008687624,57.859324235112126,0.1958755832528613,True,True,True,False
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","wfs1a,wfs1b",24.0,36.0,12,12,0.9027777777777778,0.0009990009990009,0.0071928071928071,0.7430555555555556,2.695163076234823,0.0021100894770999,45.27470184286295,69.45010570102967,0.9895652173913044,0.5608695652173912,0.03,0.875,0.4070468723755945,57.12858349671061,0.278929024564238,True,True,True,False
atf6 vs ctrl | 28C | 24hpf,atf6,28.0,24.0,11,11,0.1818181818181818,0.951048951048951,0.9782217782217782,0.7276859504132228,0.4144166233865606,0.9663600347502256,87.30601974959805,69.45010570102967,0.3579898362507059,0.4347826086956522,0.5837142857142857,0.5,0.6710563175767013,66.03021411258169,0.2543645780472906,False,False,False,False
ctcf vs ctrl | 28C | 24hpf,ctcf,28.0,24.0,11,11,0.4214876033057851,0.6913086913086913,0.7777222777222778,0.743801652892562,0.6939840983048953,0.8577676971507345,85.58610264772763,69.45010570102967,0.6730660643704122,0.3709768492377189,0.2293548387096774,0.625,-0.1166504080677951,49.20016806925958,0.2918212929236277,False,False,False,False
