contrast,contrast_target,temperature,timepoint,sample,well_id,is_crispant,escaper_class,binary_z,s_z,hinge_z,s_within_z,s,hinge,s_within,hinge_threshold,s_loo
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,GENE7_P01_A1_Bl1,20250612_24hpf_ctrl_atf6_A01,0,control,-0.8918825850158447,0.35088090252473275,0.21597392434691615,1.0048915346046188,0.0923985229741355,0.2570960652519787,0.2570960652519787,-0.1646975422778432,0.6883105209114971
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,GENE7_P01_A2_Bl1,20250612_24hpf_ctrl_atf6_A02,0,control,-0.8918825850158447,-0.7927199134584124,-0.790620648630214,-0.36291788179655493,-0.2575481198839013,0.0,-0.09285057760605811,-0.1646975422778432,-0.6812249945032058
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,GENE7_P01_A7_Bl1,20250612_24hpf_ctrl_atf6_A07,1,escaper,1.0702591020190138,0.4521031055700768,0.3372464199636122,-0.16152227609763045,0.1233729413580192,0.2880704836358624,-0.04132460091982314,-0.1646975422778432,0.0726637544260734
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,GENE7_P01_B1_Bl1,20250612_24hpf_ctrl_atf6_B01,0,control,-0.8918825850158447,0.7091616013409489,0.6452235669107358,1.433414937794317,0.2020339184716271,0.3667314607494703,0.3667314607494703,-0.1646975422778432,0.8775212936069006
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,GENE7_P01_B2_Bl1,20250612_24hpf_ctrl_atf6_B02,0,control,-0.8918825850158447,-0.8335680736809454,-0.790620648630214,-0.41177452601555314,-0.2700478281186437,0.0,-0.1053502858408005,-0.1646975422778432,-0.8155211489458124
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,GENE7_P01_B7_Bl1,20250612_24hpf_ctrl_atf6_B07,1,severe,1.0702591020190138,1.9092837872988742,2.083068310033787,1.581345890844904,0.5692763374396234,0.7339738797174665,0.404578795161781,-0.1646975422778432,2.19577028616224
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,GENE7_P01_B8_Bl1,20250612_24hpf_ctrl_atf6_B08,1,severe,1.0702591020190138,1.3250611313509162,1.3831216841844685,0.8825834914900773,0.3905017560706581,0.5551992983485013,0.2258042137928158,-0.1646975422778432,1.2604086670879882
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,GENE7_P01_C1_Bl1,20250612_24hpf_ctrl_atf6_C01,0,control,-0.8918825850158447,-0.22444803199281066,-0.47331729428208236,0.3167665147876092,-0.0836545423609219,0.0810429999169213,0.0810429999169213,-0.1646975422778432,-0.1121623761948272
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,GENE7_P01_C2_Bl1,20250612_24hpf_ctrl_atf6_C02,0,control,-0.8918825850158447,-0.8092975060446169,-0.790620648630214,-0.3827455934628669,-0.2626209326968436,0.0,-0.09792339041900042,-0.1646975422778432,-0.9298055017792884
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,GENE7_P01_C7_Bl1,20250612_24hpf_ctrl_atf6_C07,1,escaper,1.0702591020190138,-0.003165993588297106,-0.20820327556779325,-0.7060491355769626,-0.0159413111510694,0.1487562311267738,-0.18063885342891173,-0.1646975422778432,-0.2622092085768331
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,GENE7_P01_C8_Bl1,20250612_24hpf_ctrl_atf6_C08,1,severe,1.0702591020190138,2.0721943086581107,2.2782484670849175,1.7761958262696373,0.6191276397814341,0.7838251820592773,0.4544300975035918,-0.1646975422778432,2.2228737775127105
