"contrast","n_embryos","n_dropped","n_cell_types","n_control","n_escaper","n_severe","three_level_estimable","status"
"atf6 vs ctrl | 24C | 24hpf",22,0,40,12,5,5,TRUE,"ok"
"atf6 vs ctrl | 24C | 30hpf",23,0,35,12,7,4,TRUE,"ok"
"atf6 vs ctrl | 24C | 36hpf",23,1,43,12,7,4,TRUE,"ok"
"atf6 vs ctrl | 28C | 24hpf",22,0,46,11,9,2,FALSE,"ok"
"atf6 vs ctrl | 28C | 30hpf",23,0,41,12,7,4,TRUE,"ok"
"atf6 vs ctrl | 28C | 36hpf",21,0,63,11,6,4,TRUE,"ok"
"atf6 vs ctrl | 34C | 24hpf",24,0,45,12,4,8,TRUE,"ok"
"atf6 vs ctrl | 34C | 30hpf",23,1,54,12,10,1,FALSE,"ok"
"atf6 vs ctrl | 34C | 36hpf",22,1,85,12,3,7,FALSE,"ok"
"atf6 vs ctrl | 35C | 24hpf",23,0,49,12,6,5,TRUE,"ok"
"atf6 vs ctrl | 35C | 30hpf",20,1,56,9,6,5,TRUE,"ok"
"atf6 vs ctrl | 35C | 36hpf",23,1,76,11,12,0,FALSE,"ok"
"ctcf vs ctrl | 24C | 24hpf",20,3,43,12,1,7,FALSE,"ok"
"ctcf vs ctrl | 24C | 30hpf",22,2,31,12,7,3,FALSE,"ok"
"ctcf vs ctrl | 24C | 36hpf",24,0,44,12,5,7,TRUE,"ok"
"ctcf vs ctrl | 28C | 24hpf",22,0,50,11,11,0,FALSE,"ok"
"ctcf vs ctrl | 28C | 30hpf",22,1,41,12,1,9,FALSE,"ok"
"ctcf vs ctrl | 28C | 36hpf",23,0,64,11,3,9,FALSE,"ok"
"ctcf vs ctrl | 34C | 24hpf",24,0,45,12,7,5,TRUE,"ok"
"ctcf vs ctrl | 34C | 30hpf",23,1,54,12,3,8,FALSE,"ok"
"ctcf vs ctrl | 34C | 36hpf",23,0,87,12,1,10,FALSE,"ok"
"ctcf vs ctrl | 35C | 24hpf",23,1,43,12,5,6,TRUE,"ok"
"ctcf vs ctrl | 35C | 30hpf",19,3,45,9,4,6,TRUE,"ok"
"ctcf vs ctrl | 35C | 36hpf",23,1,73,11,7,5,TRUE,"ok"
"wfs1a,wfs1b vs ctrl | 24C | 24hpf",24,0,41,12,5,7,TRUE,"ok"
"wfs1a,wfs1b vs ctrl | 24C | 30hpf",24,0,29,12,8,4,TRUE,"ok"
"wfs1a,wfs1b vs ctrl | 24C | 36hpf",24,0,41,12,3,9,FALSE,"ok"
"wfs1a,wfs1b vs ctrl | 28C | 24hpf",22,0,54,11,6,5,TRUE,"ok"
"wfs1a,wfs1b vs ctrl | 28C | 30hpf",24,0,40,12,4,8,TRUE,"ok"
"wfs1a,wfs1b vs ctrl | 28C | 36hpf",23,0,57,11,3,9,FALSE,"ok"
"wfs1a,wfs1b vs ctrl | 34C | 24hpf",22,2,53,12,4,6,TRUE,"ok"
"wfs1a,wfs1b vs ctrl | 34C | 30hpf",24,0,50,12,8,4,TRUE,"ok"
"wfs1a,wfs1b vs ctrl | 34C | 36hpf",24,0,82,12,4,8,TRUE,"ok"
"wfs1a,wfs1b vs ctrl | 35C | 24hpf",20,1,50,12,8,0,FALSE,"ok"
"wfs1a,wfs1b vs ctrl | 35C | 30hpf",21,1,52,9,1,11,FALSE,"ok"
"wfs1a,wfs1b vs ctrl | 35C | 36hpf",22,1,75,11,5,6,TRUE,"ok"
