contrast,cell_type,logfc_escaper_vs_control,q_escaper_vs_control,logfc_severe_vs_control,q_severe_vs_control,logfc_severe_vs_escaper,q_severe_vs_escaper,dact_escaper_vs_control,dact_severe_vs_control,dact_severe_vs_escaper,n_arms_calling,dact_class
atf6 vs ctrl | 24C | 24hpf,"neural progenitor cell, midbrain",-0.282584050006411,0.111067421824281,-0.523863418651554,0.00039845954174,-0.242400556119892,0.639027718941189,False,True,False,1,severe only
atf6 vs ctrl | 24C | 24hpf,"fast muscle myoblast, fast muscle tissue",0.45561662786787,0.0334551652951549,0.56212936686782,0.0041441736041632,0.106000783177938,0.899566563967088,True,True,False,2,both vs control
atf6 vs ctrl | 24C | 24hpf,"glial cell, optic stalk",0.0675346359520806,0.903658207698184,-0.662226824216547,0.188513356314584,-0.728990053714475,0.552757345672718,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"retinal progenitor cell, optic cup",-0.348067988748973,0.77298383048946,-0.722319500859503,0.188513356314584,-0.375578509606351,0.751128251562746,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"syncytial cell, yolk sac",0.102102929448453,0.77298383048946,0.431214082826368,0.188513356314584,0.328495566634331,0.639027718941189,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"neural crest cell, head mesenchyme (tnc+)",-0.342091440073101,0.77298383048946,-0.536662272698752,0.294261628800216,-0.192909024906602,0.893841107436932,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"neural crest cell, head mesenchyme (gdf11+)",-0.0126936506656217,0.984681366702863,-0.552814889112814,0.370963570392705,-0.539385164522073,0.639027718941189,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"neurectodermal cell, future telencephalon",-0.361165666096618,0.233449406844079,-0.312713854843418,0.370963570392705,0.0481128926500481,0.899566563967088,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"notochordal cell, notochord (18 hpf)",0.490526983793932,0.242740452422398,0.419072594632695,0.379300015457166,-0.0714540250266915,0.899566563967088,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"glial cell, floor plate (pappaa+)",0.218084266062412,0.77298383048946,0.388214646353206,0.425218327044122,0.170144679557125,0.896009870927765,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"mesenchymal cell, myotome",0.0038394229228477,0.984681366702863,0.291969162142896,0.425218327044122,0.289352569526539,0.639027718941189,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"mesodermal cell, somite",0.100170421318698,0.77298383048946,0.222593121245091,0.425218327044122,0.123085307070989,0.893841107436932,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"neurectodermal cell, spinal cord neural keel",0.155992089762125,0.77298383048946,0.239283298016878,0.425218327044122,0.0833438935155009,0.899566563967088,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"neural progenitor cell, rhombomere 5",0.578486297789941,0.111067421824281,0.345069350540653,0.427734675426654,-0.232628569358687,0.745796973014707,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"neural progenitor cell, hindbrain",0.101436456194585,0.77298383048946,-0.246761610466421,0.431089534806847,-0.345468704517627,0.639027718941189,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"neurecto-epithelial cell, spinal cord",-0.122742016761209,0.77298383048946,0.299586294956298,0.431089534806847,0.422663187201304,0.639027718941189,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"neurectodermal cell, future diencephalon",-0.101929920280493,0.77298383048946,-0.263855288938998,0.431089534806847,-0.16356346891266,0.832304642885411,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"ectodermal cell, lateral line placode",-0.0490402519356177,0.957464430482971,0.332174131120758,0.467319168931021,0.380196026607714,0.639027718941189,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"endothelial cell, blood island (posterior)",0.508706997603186,0.208881886126777,0.276281656302869,0.501311385072735,-0.228138862616172,0.751128251562746,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"epithelial cell, pharyngeal epithelium",-0.224146206996487,0.77298383048946,-0.320682983647571,0.501311385072735,-0.0944380921838807,0.899566563967088,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"hatching gland cell, polster",0.211649916493992,0.77298383048946,0.257882230208419,0.501311385072735,0.0462111572137922,0.899566563967088,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"mesodermal cell, presomitic mesoderm",-0.306326245881053,0.317838080075096,0.189109627843355,0.501311385072735,0.498287986925844,0.61658265149597,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"retinal progenitor cell, retina",0.057247750918693,0.903658207698184,-0.20548853931475,0.522036786169739,-0.260376385329655,0.67597666912423,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"neural progenitor cell, rhombomere (7 and 8)",0.100069282992963,0.77298383048946,-0.138853587299437,0.523922060615976,-0.239370750775507,0.657866374894596,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"mesenchymal cell, pharyngeal arch (tbx15+)",0.134027820413384,0.77298383048946,0.231709285149854,0.525407641009323,0.0954625196857206,0.899566563967088,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"mesodermal cell, posterior lateral plate mesoderm (hand2+)",0.153791834162851,0.77298383048946,0.245154505450297,0.525407641009323,0.0907634442047391,0.899566563967088,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"ectodermal cell, lens vesicle",-0.334312426102454,0.77298383048946,-0.265051734242365,0.56015290650287,0.0691685043385137,0.899566563967088,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"neurectodermal cell, future diencephalon (ventral)",0.120363437481921,0.77298383048946,-0.174613992211855,0.609236126411375,-0.295551563301076,0.639027718941189,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"neural progenitor cell, midbrain-hindbrain boundary",-0.121122710475206,0.77298383048946,-0.0904140279395097,0.752708084732437,0.0315585229436802,0.899566563967088,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"ecto-epithelial cell, non-neural ectoderm",-0.126983444048331,0.77298383048946,-0.0605983257956651,0.792909368069249,0.065928216258366,0.899566563967088,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"peridermal cell, periderm (10-18 hpf)",0.242794321230414,0.77298383048946,-0.152031717237612,0.792909368069249,-0.393370628084741,0.639027718941189,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"neuroblast (sensu Vertebrata), spinal cord (primary)",0.073653585419248,0.902749522442739,-0.102691493239761,0.797066994169947,-0.175806741062832,0.832304642885411,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"endodermal cell, early pharyngeal endoderm",-0.237595413565324,0.77298383048946,0.0939834504329209,0.807823843482809,0.329389438283984,0.639027718941189,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"neuromesodermal progenitor cell, post-anal tail bud",-0.261878531061556,0.77298383048946,0.124479110923808,0.807823843482809,0.386224949166543,0.639027718941189,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"slow muscle myoblast, slow muscle tissue",0.121231798245403,0.77298383048946,0.038217356806524,0.940605804934705,-0.082020505478037,0.899566563967088,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"fast muscle cell, fast muscle tissue (differentiating)",0.529888966948299,0.0720951078533262,0.0336395942133574,0.964687946310316,-0.495495741276718,0.61658265149597,True,False,False,1,escaper only
atf6 vs ctrl | 24C | 24hpf,"ectodermal cell, otic placode",0.0259403722038073,0.984681366702863,-0.0204877717763988,0.965567663014034,-0.0463934155586654,0.899566563967088,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"ectodermal cell, preplacodal ectoderm",-0.0518950888513425,0.903658207698184,0.0122294428023908,0.965567663014034,0.0638880446000059,0.899566563967088,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"neural progenitor cell, rhombomere 3",-0.0168555077000296,0.984681366702863,-0.0109973322057302,0.965567663014034,0.0063778213084029,0.981000995321086,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 24hpf,"neural progenitor cell, rhombomere 6",0.246088811462945,0.77298383048946,-0.0162457568806317,0.965567663014034,-0.262892067984556,0.67900840390548,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 30hpf,"retinal progenitor cell, retina",-0.553549867502936,0.0012179130669253,-0.565234628880603,0.0228688977215707,-0.0109044955909923,0.95957612128635,True,True,False,2,both vs control
atf6 vs ctrl | 24C | 30hpf,"fast muscle cell, fast muscle tissue (differentiating)",0.268007497086831,0.329047913594427,0.578424662212631,0.0811091783851414,0.309875291932165,0.945014146977509,False,True,False,1,severe only
atf6 vs ctrl | 24C | 30hpf,"glial cell, optic stalk",-0.465756950964191,0.136094988211166,-0.60118771231554,0.140112865625291,-0.134847596629451,0.945014146977509,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 30hpf,"mesenchymal cell, ventral mesenchyme (rhag+)",0.352433036259245,0.467112714623037,0.688122302429477,0.302926696886621,0.333518195805993,0.945014146977509,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 30hpf,"epithelial cell, median fin fold (includes pectoral)",-0.502035198406078,0.256843838142746,-0.657622764793251,0.356427690438689,-0.156037580439838,0.945014146977509,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 30hpf,"fast muscle cell, fast muscle tissue",0.520976146612805,0.321454642640127,0.670687110935001,0.552290316482692,0.149662817822198,0.945014146977509,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 30hpf,"radial glial cell, midbrain",-0.827215815844675,0.155469607490996,-0.699917984422718,0.719642125614053,0.128578732462513,0.95957612128635,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 30hpf,"neurectodermal cell, future diencephalon",-0.0483533667772665,0.921644776133763,-0.523680680061324,0.756644896153304,-0.474360482647995,0.945014146977509,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 30hpf,"retinal pigment epithelial cell, pigmented layer of retina",-0.604711126512537,0.136094988211166,-0.351061422589582,0.756644896153304,0.254224636501243,0.945014146977509,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 30hpf,"mesodermal cell, craniocervical region",0.435713530267211,0.23813111646428,0.307071053495686,0.776234214706383,-0.128488487209688,0.945014146977509,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 30hpf,"neural progenitor cell, midbrain",-0.0467229958413985,0.897051875674558,-0.26617126109794,0.776234214706383,-0.219196255584641,0.945014146977509,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 30hpf,"neuroblast (sensu Vertebrata), spinal cord",-0.635390432699071,0.169716655364823,-0.423441565911329,0.776234214706383,0.21233478454066,0.945014146977509,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 30hpf,"ecto-epithelial cell, non-neural ectoderm",0.229002268543951,0.680571672523334,-0.0213698234832882,0.960756373255634,-0.250716231928335,0.945014146977509,False,False,False,0,neither vs control
atf6 vs ctrl | 24C | 30hpf,"ectodermal cell, preplacodal ectoderm",0.179740727055823,0.770136988974099,-0.0579384072521117,0.960756373255634,-0.23787634341897,0.945014146977509,False,False,False,0,neither vs control
