"embryo_ID","total_cells"
"GENE7_P01_A1_Bl1",1610
"GENE7_P01_A10_Bl1",1235
"GENE7_P01_A11_Bl1",2255
"GENE7_P01_A12_Bl1",2178
"GENE7_P01_A2_Bl1",1568
"GENE7_P01_A3_Bl1",2130
"GENE7_P01_A4_Bl1",3233
"GENE7_P01_A5_Bl1",3255
"GENE7_P01_A6_Bl1",2465
"GENE7_P01_A7_Bl1",1527
"GENE7_P01_A8_Bl1",949
"GENE7_P01_A9_Bl1",1561
"GENE7_P01_B1_Bl1",2310
"GENE7_P01_B10_Bl1",2357
"GENE7_P01_B11_Bl1",1993
"GENE7_P01_B12_Bl1",2564
"GENE7_P01_B2_Bl1",1434
"GENE7_P01_B3_Bl1",1929
"GENE7_P01_B4_Bl1",4209
"GENE7_P01_B5_Bl1",2663
"GENE7_P01_B6_Bl1",2669
"GENE7_P01_B7_Bl1",1491
"GENE7_P01_B8_Bl1",1829
"GENE7_P01_B9_Bl1",2251
"GENE7_P01_C1_Bl1",2160
"GENE7_P01_C10_Bl1",2239
"GENE7_P01_C11_Bl1",1414
"GENE7_P01_C12_Bl1",2636
"GENE7_P01_C2_Bl1",1959
"GENE7_P01_C3_Bl1",1564
"GENE7_P01_C4_Bl1",3049
"GENE7_P01_C5_Bl1",2531
"GENE7_P01_C6_Bl1",2934
"GENE7_P01_C7_Bl1",1828
"GENE7_P01_C8_Bl1",1065
"GENE7_P01_C9_Bl1",2347
"GENE7_P01_D1_Bl1",1575
"GENE7_P01_D10_Bl1",2602
"GENE7_P01_D11_Bl1",2073
"GENE7_P01_D12_Bl1",3077
"GENE7_P01_D2_Bl1",1457
"GENE7_P01_D3_Bl1",1668
"GENE7_P01_D4_Bl1",2271
"GENE7_P01_D5_Bl1",3173
"GENE7_P01_D6_Bl1",2508
"GENE7_P01_D7_Bl1",1462
"GENE7_P01_D8_Bl1",1354
"GENE7_P01_D9_Bl1",1764
"GENE7_P01_E1_Bl1",1851
"GENE7_P01_E10_Bl1",900
"GENE7_P01_E11_Bl1",1709
"GENE7_P01_E12_Bl1",1324
"GENE7_P01_E2_Bl1",2479
"GENE7_P01_E3_Bl1",2838
"GENE7_P01_E4_Bl1",3493
"GENE7_P01_E5_Bl1",3546
"GENE7_P01_E6_Bl1",2400
"GENE7_P01_E7_Bl1",1286
"GENE7_P01_E8_Bl1",1420
"GENE7_P01_E9_Bl1",2045
"GENE7_P01_F1_Bl1",1330
"GENE7_P01_F10_Bl1",2234
"GENE7_P01_F11_Bl1",3849
"GENE7_P01_F12_Bl1",2456
"GENE7_P01_F2_Bl1",2806
"GENE7_P01_F3_Bl1",3390
"GENE7_P01_F4_Bl1",2427
"GENE7_P01_F5_Bl1",3715
"GENE7_P01_F6_Bl1",2553
"GENE7_P01_F7_Bl1",1115
"GENE7_P01_F8_Bl1",2567
"GENE7_P01_F9_Bl1",1517
"GENE7_P01_G1_Bl1",1416
"GENE7_P01_G10_Bl1",2009
"GENE7_P01_G11_Bl1",2847
"GENE7_P01_G12_Bl1",3663
