"contrast","arm","n_embryos","n_crispant","n_dropped","n_cell_types","t_observed","t_null_mean","t_null_sd","t_std","p_global","d_shrunk","n_hits_q10","n_hits_q05","max_abs_logfc"
"atf6 vs ctrl | 24C | 24hpf","binary_z",22,10,0,40,81.8936390481207,39.9926101749607,10.6846656836807,3.92160411131609,0.00249875062468766,5.3815097804648,2,2,0.266080175841131
"atf6 vs ctrl | 24C | 24hpf","s_z",22,10,0,40,68.4230089945303,39.9935312266904,11.2426808239308,2.52870985248696,0.0169915042478761,5.20848051177463,4,3,0.384834106954814
"atf6 vs ctrl | 24C | 24hpf","hinge_z",22,10,0,40,68.4258409470638,40.0030386299358,11.2820687312351,2.51928994533047,0.0149925037481259,5.18580564907846,4,3,0.373903873407605
"atf6 vs ctrl | 24C | 24hpf","s_within_control",22,10,0,40,45.11391940823,39.9906120052188,10.2531852357515,0.499679590801385,0.289855072463768,4.07389200298048,0,0,0.424508959946378
"atf6 vs ctrl | 24C | 24hpf","s_within_crispant",22,10,0,40,49.7520218887686,40.0021516384158,10.5662326532945,0.922738555005498,0.1944027986007,3.85497458474759,0,0,0.325031321437509
"atf6 vs ctrl | 24C | 24hpf","escaper_vs_control",17,5,0,40,53.8740162899763,39.9895146157933,10.5387620606827,1.31746988823121,0.109445277361319,4.62223358606244,2,1,0.578486297789941
"atf6 vs ctrl | 24C | 24hpf","severe_vs_control",17,5,0,40,68.4636863746437,39.9924587919713,10.5740762690532,2.69254986045431,0.0119940029985007,4.92381837767589,2,2,0.722319500859503
"atf6 vs ctrl | 24C | 24hpf","severe_vs_escaper",10,5,0,40,43.8538325943279,39.9929991060818,10.7407071484219,0.359458035201461,0.336331834082959,3.72137987555976,0,0,0.728990053714475
"atf6 vs ctrl | 24C | 30hpf","binary_z",23,11,0,35,77.4264926781021,35.0052519678942,14.6660034997675,2.89248810767571,0.0184907546226887,5.40952887375995,3,2,0.397480035190297
"atf6 vs ctrl | 24C | 30hpf","s_z",23,11,0,35,31.5003984107385,34.9957166997166,14.4612193647442,-0.241702874482327,0.510744627686157,4.59130774844314,0,0,0.308889593877735
"atf6 vs ctrl | 24C | 30hpf","hinge_z",23,11,0,35,28.4384286109741,34.9990357408876,14.598799401393,-0.449393607620052,0.624687656171914,4.46398269159679,0,0,0.222352863421933
"atf6 vs ctrl | 24C | 30hpf","s_within_control",23,11,0,35,20.0811740798943,34.9977696874256,13.1654244431086,-1.13301289084829,0.926036981509245,3.63483985083726,0,0,0.458062970248983
"atf6 vs ctrl | 24C | 30hpf","s_within_crispant",23,11,0,35,31.7734991207807,35.0072899025517,15.2799688310846,-0.211635954072915,0.48175912043978,3.66899796653426,0,0,0.301824252468796
"atf6 vs ctrl | 24C | 30hpf","escaper_vs_control",19,7,0,35,71.4763736645761,34.9983385909081,13.4126767633277,2.71966854322506,0.0224887556221889,5.07473649145903,1,1,0.827215815844675
"atf6 vs ctrl | 24C | 30hpf","severe_vs_control",16,4,0,35,44.3230231202809,34.991177029852,14.0395664710963,0.664681926585174,0.215892053973014,4.58166595298093,2,1,0.699917984422718
"atf6 vs ctrl | 24C | 30hpf","severe_vs_escaper",11,4,0,35,30.0439091581295,34.9955552143943,15.1723481022911,-0.326359903086923,0.555222388805597,3.75880572663464,0,0,0.613238563720897
"atf6 vs ctrl | 24C | 36hpf","binary_z",23,11,1,43,87.2057505071597,42.9880793848795,11.7319423955562,3.76899831514932,0.00449775112443778,5.52157577772133,6,3,0.348717974961322
"atf6 vs ctrl | 24C | 36hpf","s_z",23,11,1,43,64.4103529232098,43.0088217218713,14.4105625037799,1.48512809237841,0.0899550224887556,5.23652128187095,1,1,0.329918526449516
"atf6 vs ctrl | 24C | 36hpf","hinge_z",23,11,1,43,65.6138121670382,42.9952242801368,14.8739420958746,1.52068548748585,0.0949525237381309,5.43692821097023,2,2,0.348950823647751
"atf6 vs ctrl | 24C | 36hpf","s_within_control",23,11,1,43,44.0043650436697,42.9954129110234,11.230437151483,0.0898408600695507,0.410794602698651,4.00700599629081,0,0,1.00331754952091
"atf6 vs ctrl | 24C | 36hpf","s_within_crispant",23,11,1,43,54.1218443535978,43.0043421507013,10.1077864844939,1.09989484047289,0.122938530734633,4.01130774653624,0,0,0.329363402502138
"atf6 vs ctrl | 24C | 36hpf","escaper_vs_control",19,7,1,43,60.9779382184926,43.0034147113832,11.3991235745208,1.57683381442464,0.0694652673663168,5.09253201303618,0,0,0.514416519838884
"atf6 vs ctrl | 24C | 36hpf","severe_vs_control",16,4,1,43,78.80147503484,42.9928538759554,12.3370485781036,2.90252736966923,0.0129935032483758,4.90865739760662,8,2,1.20474189747301
"atf6 vs ctrl | 24C | 36hpf","severe_vs_escaper",11,4,1,43,65.4931783407328,43.0155703988209,10.1163917880265,2.22189970622884,0.0279860069965017,4.20770962159612,1,0,0.793134702173603
"atf6 vs ctrl | 28C | 24hpf","binary_z",22,11,0,46,142.471462929803,45.9848835512668,16.0095571412399,6.02681126825122,0.000999500249875062,5.59170278119842,15,11,0.53191669732957
"atf6 vs ctrl | 28C | 24hpf","s_z",22,11,0,46,82.9345703958563,46.0026643516944,16.1931587712619,2.28071042628848,0.0334832583708146,5.37337972438254,8,3,0.562988922101111
"atf6 vs ctrl | 28C | 24hpf","hinge_z",22,11,0,46,89.8445178740186,45.9963311481549,16.0459410503306,2.73266532566256,0.0104947526236882,5.28483738076955,9,7,0.559294540498795
"atf6 vs ctrl | 28C | 24hpf","s_within_control",22,11,0,46,52.9592287229651,46.014785595126,10.6004183076091,0.655110291530131,0.245877061469265,4.05134764347263,1,0,0.821025126956989
"atf6 vs ctrl | 28C | 24hpf","s_within_crispant",22,11,0,46,63.7599057727418,46.0000311898406,15.0867399567034,1.17718437739825,0.107446276861569,4.06590866781819,5,4,0.547884255307493
"atf6 vs ctrl | 28C | 24hpf","escaper_vs_control",20,9,0,46,116.542157635208,45.9858607638189,15.929170456596,4.42937672514971,0.00349825087456272,5.31559043551131,8,7,0.953883520214622
"atf6 vs ctrl | 28C | 30hpf","binary_z",23,11,0,41,144.828375779612,40.9974819323488,12.5091364517247,8.30040460810127,0.000499750124937531,5.88944505742758,14,11,0.650714645502911
"atf6 vs ctrl | 28C | 30hpf","s_z",23,11,0,41,104.256252123341,40.9978512381882,12.465481278806,5.07468580396535,0.000499750124937531,5.6426304063979,13,11,1.0687176812159
"atf6 vs ctrl | 28C | 30hpf","hinge_z",23,11,0,41,102.389285590838,40.9988211009354,12.2052495997172,5.02984097034154,0.000999500249875062,5.50532699939019,12,12,1.11821016900723
"atf6 vs ctrl | 28C | 30hpf","s_within_control",23,11,0,41,43.1305804174859,40.9993588829005,8.1760437829579,0.260666600028206,0.380809595202399,4.11621238353115,0,0,0.6414171130913
"atf6 vs ctrl | 28C | 30hpf","s_within_crispant",23,11,0,41,68.570040862481,40.9945599376753,13.1299065695694,2.1002038954882,0.039480259870065,4.05337516766782,9,6,0.951062176406667
"atf6 vs ctrl | 28C | 30hpf","escaper_vs_control",19,7,0,41,96.858497860152,40.9992842833965,10.174447975836,5.49014685705007,0.000499750124937531,5.46705202746487,5,5,1.02591672836874
"atf6 vs ctrl | 28C | 30hpf","severe_vs_control",16,4,0,41,129.329739239019,40.9954984769119,11.7783116840526,7.49973707027201,0.000999500249875062,5.14285494734807,19,18,2.69811429331823
