contrast,binary,shared,new,arm_total,control,n_tested,usable,loo_auc,log_sd_ratio
atf6 vs ctrl | 34C | 36hpf,29,19,12,31,0,85,True,0.8484848484848485,0.6503566387282717
atf6 vs ctrl | 34C | 30hpf,2,2,9,11,0,54,False,0.0208333333333333,1.2124135463217982
"wfs1a,wfs1b vs ctrl | 34C | 24hpf",12,4,8,12,0,53,True,0.8958333333333334,1.089678963225006
"wfs1a,wfs1b vs ctrl | 34C | 30hpf",12,1,8,9,0,50,False,0.7361111111111112,0.3602734933886974
ctcf vs ctrl | 34C | 36hpf,52,20,7,27,0,87,True,0.8636363636363636,1.5338291608628805
ctcf vs ctrl | 35C | 30hpf,21,6,7,13,0,45,False,0.575,1.005279731653299
ctcf vs ctrl | 34C | 30hpf,32,15,5,20,0,54,True,0.8888888888888888,0.3282430973772106
"wfs1a,wfs1b vs ctrl | 28C | 36hpf",27,6,5,11,0,57,True,0.8106060606060606,0.8127832092183185
atf6 vs ctrl | 28C | 30hpf,14,6,3,9,0,41,False,0.5681818181818182,1.0690416403480452
ctcf vs ctrl | 28C | 30hpf,22,5,3,8,0,41,True,0.9545454545454546,1.2090530117104128
ctcf vs ctrl | 28C | 36hpf,38,8,2,10,0,64,True,0.8484848484848485,1.3151955906062371
atf6 vs ctrl | 28C | 24hpf,15,3,2,5,1,46,False,0.1818181818181818,0.6710563175767013
ctcf vs ctrl | 34C | 24hpf,7,1,2,3,0,45,True,0.8958333333333334,1.1476127043315016
ctcf vs ctrl | 24C | 24hpf,11,0,1,1,0,43,True,0.9166666666666666,0.7327303269976243
ctcf vs ctrl | 35C | 36hpf,48,0,1,1,0,73,False,0.5902777777777778,-0.0829307941056715
"wfs1a,wfs1b vs ctrl | 24C | 24hpf",11,0,1,1,0,41,True,0.7638888888888888,-0.1116272006150016
"wfs1a,wfs1b vs ctrl | 34C | 36hpf",38,4,0,4,0,82,True,0.8263888888888888,1.2676118386877484
atf6 vs ctrl | 24C | 24hpf,2,0,0,0,0,40,False,0.675,0.5136429130776621
atf6 vs ctrl | 24C | 30hpf,3,0,0,0,0,35,False,0.5757575757575758,0.3206833666767604
atf6 vs ctrl | 24C | 36hpf,6,0,0,0,0,43,False,0.6458333333333334,1.073758062861613
atf6 vs ctrl | 28C | 36hpf,19,0,0,0,0,63,False,0.4818181818181818,0.5570840345012327
atf6 vs ctrl | 34C | 24hpf,9,0,0,0,0,45,False,0.7430555555555556,0.5600185345992845
atf6 vs ctrl | 35C | 24hpf,0,0,0,0,0,49,False,0.5454545454545454,0.2974463911569237
atf6 vs ctrl | 35C | 30hpf,0,0,0,0,0,56,False,0.7454545454545455,-0.1997261490814798
atf6 vs ctrl | 35C | 36hpf,1,0,0,0,0,76,False,0.3194444444444444,-0.3191201690540274
ctcf vs ctrl | 24C | 30hpf,10,0,0,0,0,31,True,0.7847222222222222,-0.1515031773304662
ctcf vs ctrl | 24C | 36hpf,19,0,0,0,0,44,True,0.7986111111111112,0.7946365008687624
ctcf vs ctrl | 28C | 24hpf,9,0,0,0,0,50,False,0.4214876033057851,-0.1166504080677951
ctcf vs ctrl | 35C | 24hpf,12,0,0,0,0,43,False,0.625,0.6628755388386436
"wfs1a,wfs1b vs ctrl | 24C | 30hpf",1,0,0,0,0,29,False,0.7152777777777778,0.0391961580287229
"wfs1a,wfs1b vs ctrl | 24C | 36hpf",11,0,0,0,0,41,True,0.9027777777777778,0.4070468723755945
"wfs1a,wfs1b vs ctrl | 28C | 24hpf",11,0,0,0,0,54,False,0.6033057851239669,0.5680331319596639
"wfs1a,wfs1b vs ctrl | 28C | 30hpf",9,0,0,0,0,40,True,0.8611111111111112,0.9870227357578828
"wfs1a,wfs1b vs ctrl | 35C | 24hpf",10,0,0,0,0,50,False,0.3518518518518518,-0.4335314519954839
"wfs1a,wfs1b vs ctrl | 35C | 30hpf",3,0,0,0,0,52,True,0.9,0.6665286779510277
"wfs1a,wfs1b vs ctrl | 35C | 36hpf",8,0,0,0,0,75,False,0.6893939393939394,0.1117097961676084
