"cohort","n_embryos","cell_type","term","estimate"
"atf6 | 24C | 24hpf",10,"(Intercept)","adaxial cell, presomitic mesoderm",2.1548026554285
"atf6 | 24C | 24hpf",10,"cohort_PC1","adaxial cell, presomitic mesoderm",-0.226791866564809
"atf6 | 24C | 24hpf",10,"cohort_PC2","adaxial cell, presomitic mesoderm",-0.302009342803011
"atf6 | 24C | 24hpf",10,"(Intercept)","amacrine cell, inner nuclear layer of retina (precursor, includes horizontal precursor)",-8.24039391173186
"atf6 | 24C | 24hpf",10,"cohort_PC1","amacrine cell, inner nuclear layer of retina (precursor, includes horizontal precursor)",-7.61075488107095
"atf6 | 24C | 24hpf",10,"cohort_PC2","amacrine cell, inner nuclear layer of retina (precursor, includes horizontal precursor)",16.8863143699723
"atf6 | 24C | 24hpf",10,"(Intercept)","auditory epithelial supporting cell, macula",-4.47183275521725
"atf6 | 24C | 24hpf",10,"cohort_PC1","auditory epithelial supporting cell, macula",-6.32146539364928
"atf6 | 24C | 24hpf",10,"cohort_PC2","auditory epithelial supporting cell, macula",4.07326058560758
"atf6 | 24C | 24hpf",10,"(Intercept)","auditory epithelial supporting cell, semicircular canal",0.444689295308335
"atf6 | 24C | 24hpf",10,"cohort_PC1","auditory epithelial supporting cell, semicircular canal",-0.79845412394439
"atf6 | 24C | 24hpf",10,"cohort_PC2","auditory epithelial supporting cell, semicircular canal",0.43378566298708
"atf6 | 24C | 24hpf",10,"(Intercept)","blastoderm cell, blastula (4-5.5 hpf)",-3.08863012726197
"atf6 | 24C | 24hpf",10,"cohort_PC1","blastoderm cell, blastula (4-5.5 hpf)",2.06893625077859
"atf6 | 24C | 24hpf",10,"cohort_PC2","blastoderm cell, blastula (4-5.5 hpf)",-3.48688109319628
"atf6 | 24C | 24hpf",10,"(Intercept)","cardiac endothelial cell, endocardium",-1.62781951512926
"atf6 | 24C | 24hpf",10,"cohort_PC1","cardiac endothelial cell, endocardium",-0.656188245085294
"atf6 | 24C | 24hpf",10,"cohort_PC2","cardiac endothelial cell, endocardium",-4.19242206281564
"atf6 | 24C | 24hpf",10,"(Intercept)","cardiac muscle cell, cardiac ventricle",-0.765883798990486
"atf6 | 24C | 24hpf",10,"cohort_PC1","cardiac muscle cell, cardiac ventricle",-0.312500749197516
"atf6 | 24C | 24hpf",10,"cohort_PC2","cardiac muscle cell, cardiac ventricle",0.665907299066267
"atf6 | 24C | 24hpf",10,"(Intercept)","cardiac muscle cell, heart",1.58700497000247
"atf6 | 24C | 24hpf",10,"cohort_PC1","cardiac muscle cell, heart",0.260781312979243
"atf6 | 24C | 24hpf",10,"cohort_PC2","cardiac muscle cell, heart",0.0499087207868251
"atf6 | 24C | 24hpf",10,"(Intercept)","cholinergic neuron, spinal cord (chgb+)",-4.47183275521725
"atf6 | 24C | 24hpf",10,"cohort_PC1","cholinergic neuron, spinal cord (chgb+)",-6.32146539364928
"atf6 | 24C | 24hpf",10,"cohort_PC2","cholinergic neuron, spinal cord (chgb+)",4.07326058560758
"atf6 | 24C | 24hpf",10,"(Intercept)","cholinergic neuron, spinal cord (oprd1a+)",-0.282599381923344
"atf6 | 24C | 24hpf",10,"cohort_PC1","cholinergic neuron, spinal cord (oprd1a+)",0.564488448033907
"atf6 | 24C | 24hpf",10,"cohort_PC2","cholinergic neuron, spinal cord (oprd1a+)",-0.69687979988432
"atf6 | 24C | 24hpf",10,"(Intercept)","chondrocyte, unknown (sclerotome-derived)",-2.48918972536991
