cohort,axis,axis_1,snip_id,well_id,image_path,image_exists,axis_2
Control | 24C | 24hpf,axis_1,-0.5064022638583927,20250612_24hpf_ctrl_atf6_H01_e00_t0000,20250612_24hpf_ctrl_atf6_H01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_H01/snips/20250612_24hpf_ctrl_atf6_H01_e01/20250612_24hpf_ctrl_atf6_H01_e01_BF_t0000.png,True,
Control | 24C | 24hpf,axis_1,-0.41600074620074884,20250612_24hpf_ctrl_atf6_F01_e00_t0000,20250612_24hpf_ctrl_atf6_F01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_F01/snips/20250612_24hpf_ctrl_atf6_F01_e01/20250612_24hpf_ctrl_atf6_F01_e01_BF_t0000.png,True,
Control | 24C | 24hpf,axis_1,-0.37441087352708163,20250612_24hpf_ctrl_atf6_B02_e00_t0000,20250612_24hpf_ctrl_atf6_B02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_B02/snips/20250612_24hpf_ctrl_atf6_B02_e01/20250612_24hpf_ctrl_atf6_B02_e01_BF_t0000.png,True,
Control | 24C | 24hpf,axis_1,-0.24652061812315723,20250612_24hpf_ctrl_atf6_D02_e00_t0000,20250612_24hpf_ctrl_atf6_D02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_D02/snips/20250612_24hpf_ctrl_atf6_D02_e01/20250612_24hpf_ctrl_atf6_D02_e01_BF_t0000.png,True,
Control | 24C | 24hpf,axis_1,-0.19026332515056024,20250612_24hpf_ctrl_atf6_A01_e00_t0000,20250612_24hpf_ctrl_atf6_A01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_A01/snips/20250612_24hpf_ctrl_atf6_A01_e01/20250612_24hpf_ctrl_atf6_A01_e01_BF_t0000.png,True,
Control | 24C | 24hpf,axis_1,-0.1267241667484691,20250612_24hpf_ctrl_atf6_C02_e00_t0000,20250612_24hpf_ctrl_atf6_C02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_C02/snips/20250612_24hpf_ctrl_atf6_C02_e01/20250612_24hpf_ctrl_atf6_C02_e01_BF_t0000.png,True,
Control | 24C | 24hpf,axis_1,-0.05598234247106768,20250612_24hpf_ctrl_atf6_D01_e00_t0000,20250612_24hpf_ctrl_atf6_D01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_D01/snips/20250612_24hpf_ctrl_atf6_D01_e01/20250612_24hpf_ctrl_atf6_D01_e01_BF_t0000.png,True,
Control | 24C | 24hpf,axis_1,0.0049425058738654035,20250612_24hpf_ctrl_atf6_B01_e00_t0000,20250612_24hpf_ctrl_atf6_B01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_B01/snips/20250612_24hpf_ctrl_atf6_B01_e01/20250612_24hpf_ctrl_atf6_B01_e01_BF_t0000.png,True,
Control | 24C | 24hpf,axis_1,0.07263161741322625,20250612_24hpf_ctrl_atf6_A02_e00_t0000,20250612_24hpf_ctrl_atf6_A02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_A02/snips/20250612_24hpf_ctrl_atf6_A02_e01/20250612_24hpf_ctrl_atf6_A02_e01_BF_t0000.png,True,
Control | 24C | 24hpf,axis_1,0.15101072191736584,20250612_24hpf_ctrl_atf6_C01_e00_t0000,20250612_24hpf_ctrl_atf6_C01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_C01/snips/20250612_24hpf_ctrl_atf6_C01_e01/20250612_24hpf_ctrl_atf6_C01_e01_BF_t0000.png,True,
Control | 24C | 24hpf,axis_1,0.5393462281722693,20250612_24hpf_ctrl_atf6_E01_e00_t0000,20250612_24hpf_ctrl_atf6_E01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_E01/snips/20250612_24hpf_ctrl_atf6_E01_e01/20250612_24hpf_ctrl_atf6_E01_e01_BF_t0000.png,True,
Control | 24C | 24hpf,axis_1,1.1483732627027514,20250612_24hpf_ctrl_atf6_G01_e00_t0000,20250612_24hpf_ctrl_atf6_G01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_G01/snips/20250612_24hpf_ctrl_atf6_G01_e01/20250612_24hpf_ctrl_atf6_G01_e01_BF_t0000.png,True,
Control | 24C | 24hpf,axis_2,,20250612_24hpf_ctrl_atf6_A01_e00_t0000,20250612_24hpf_ctrl_atf6_A01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_A01/snips/20250612_24hpf_ctrl_atf6_A01_e01/20250612_24hpf_ctrl_atf6_A01_e01_BF_t0000.png,True,-0.5928207141674382
Control | 24C | 24hpf,axis_2,,20250612_24hpf_ctrl_atf6_B01_e00_t0000,20250612_24hpf_ctrl_atf6_B01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_B01/snips/20250612_24hpf_ctrl_atf6_B01_e01/20250612_24hpf_ctrl_atf6_B01_e01_BF_t0000.png,True,-0.522611772388375
Control | 24C | 24hpf,axis_2,,20250612_24hpf_ctrl_atf6_E01_e00_t0000,20250612_24hpf_ctrl_atf6_E01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_E01/snips/20250612_24hpf_ctrl_atf6_E01_e01/20250612_24hpf_ctrl_atf6_E01_e01_BF_t0000.png,True,-0.29193903457378984
Control | 24C | 24hpf,axis_2,,20250612_24hpf_ctrl_atf6_D02_e00_t0000,20250612_24hpf_ctrl_atf6_D02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_D02/snips/20250612_24hpf_ctrl_atf6_D02_e01/20250612_24hpf_ctrl_atf6_D02_e01_BF_t0000.png,True,-0.278248484044265
Control | 24C | 24hpf,axis_2,,20250612_24hpf_ctrl_atf6_C01_e00_t0000,20250612_24hpf_ctrl_atf6_C01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_C01/snips/20250612_24hpf_ctrl_atf6_C01_e01/20250612_24hpf_ctrl_atf6_C01_e01_BF_t0000.png,True,-0.24329621043748714
Control | 24C | 24hpf,axis_2,,20250612_24hpf_ctrl_atf6_F01_e00_t0000,20250612_24hpf_ctrl_atf6_F01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_F01/snips/20250612_24hpf_ctrl_atf6_F01_e01/20250612_24hpf_ctrl_atf6_F01_e01_BF_t0000.png,True,-0.10023136552688848
Control | 24C | 24hpf,axis_2,,20250612_24hpf_ctrl_atf6_A02_e00_t0000,20250612_24hpf_ctrl_atf6_A02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_A02/snips/20250612_24hpf_ctrl_atf6_A02_e01/20250612_24hpf_ctrl_atf6_A02_e01_BF_t0000.png,True,-0.06744297135763108
Control | 24C | 24hpf,axis_2,,20250612_24hpf_ctrl_atf6_H01_e00_t0000,20250612_24hpf_ctrl_atf6_H01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_H01/snips/20250612_24hpf_ctrl_atf6_H01_e01/20250612_24hpf_ctrl_atf6_H01_e01_BF_t0000.png,True,0.14198400969874692
Control | 24C | 24hpf,axis_2,,20250612_24hpf_ctrl_atf6_G01_e00_t0000,20250612_24hpf_ctrl_atf6_G01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_G01/snips/20250612_24hpf_ctrl_atf6_G01_e01/20250612_24hpf_ctrl_atf6_G01_e01_BF_t0000.png,True,0.33016330016653195
Control | 24C | 24hpf,axis_2,,20250612_24hpf_ctrl_atf6_C02_e00_t0000,20250612_24hpf_ctrl_atf6_C02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_C02/snips/20250612_24hpf_ctrl_atf6_C02_e01/20250612_24hpf_ctrl_atf6_C02_e01_BF_t0000.png,True,0.4593386514623671
Control | 24C | 24hpf,axis_2,,20250612_24hpf_ctrl_atf6_D01_e00_t0000,20250612_24hpf_ctrl_atf6_D01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_D01/snips/20250612_24hpf_ctrl_atf6_D01_e01/20250612_24hpf_ctrl_atf6_D01_e01_BF_t0000.png,True,0.5206290990988683
Control | 24C | 24hpf,axis_2,,20250612_24hpf_ctrl_atf6_B02_e00_t0000,20250612_24hpf_ctrl_atf6_B02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_B02/snips/20250612_24hpf_ctrl_atf6_B02_e01/20250612_24hpf_ctrl_atf6_B02_e01_BF_t0000.png,True,0.6444754920693604
Control | 24C | 30hpf,axis_1,-1.285892437941044,20250612_30hpf_ctrl_atf6_C01_e00_t0000,20250612_30hpf_ctrl_atf6_C01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_30hpf_ctrl_atf6/snips/per_well/20250612_30hpf_ctrl_atf6_C01/snips/20250612_30hpf_ctrl_atf6_C01_e01/20250612_30hpf_ctrl_atf6_C01_e01_BF_t0000.png,True,
Control | 24C | 30hpf,axis_1,-0.6779798160778807,20250612_30hpf_ctrl_atf6_D01_e00_t0000,20250612_30hpf_ctrl_atf6_D01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_30hpf_ctrl_atf6/snips/per_well/20250612_30hpf_ctrl_atf6_D01/snips/20250612_30hpf_ctrl_atf6_D01_e01/20250612_30hpf_ctrl_atf6_D01_e01_BF_t0000.png,True,
Control | 24C | 30hpf,axis_1,-0.6365735274126754,20250612_30hpf_ctrl_atf6_A01_e00_t0000,20250612_30hpf_ctrl_atf6_A01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_30hpf_ctrl_atf6/snips/per_well/20250612_30hpf_ctrl_atf6_A01/snips/20250612_30hpf_ctrl_atf6_A01_e01/20250612_30hpf_ctrl_atf6_A01_e01_BF_t0000.png,True,
Control | 24C | 30hpf,axis_1,-0.5665764079356657,20250612_30hpf_ctrl_atf6_A02_e00_t0000,20250612_30hpf_ctrl_atf6_A02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_30hpf_ctrl_atf6/snips/per_well/20250612_30hpf_ctrl_atf6_A02/snips/20250612_30hpf_ctrl_atf6_A02_e01/20250612_30hpf_ctrl_atf6_A02_e01_BF_t0000.png,True,
Control | 24C | 30hpf,axis_1,-0.5651083061496645,20250612_30hpf_ctrl_atf6_H01_e00_t0000,20250612_30hpf_ctrl_atf6_H01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_30hpf_ctrl_atf6/snips/per_well/20250612_30hpf_ctrl_atf6_H01/snips/20250612_30hpf_ctrl_atf6_H01_e01/20250612_30hpf_ctrl_atf6_H01_e01_BF_t0000.png,True,
