contrast,target,temperature,timepoint,shared_dim,loading
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,G00,-0.6860951762873538
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,G01,-0.37246257018029233
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,G02,0.25239554459534047
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,G03,0.019568571992319855
atf6 vs ctrl | 24C | 24hpf,atf6,24.0,24.0,G04,0.5713655598200844
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,G00,-0.7085186231381512
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,G01,-0.33650598581373153
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,G02,0.35924531224224365
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,G03,0.43662929366947656
ctcf vs ctrl | 24C | 24hpf,ctcf,24.0,24.0,G04,0.2550740043979669
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","wfs1a,wfs1b",24.0,24.0,G00,-0.2365765085854141
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","wfs1a,wfs1b",24.0,24.0,G01,0.26822133159482947
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","wfs1a,wfs1b",24.0,24.0,G02,0.7464839719150098
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","wfs1a,wfs1b",24.0,24.0,G03,0.395672593799392
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","wfs1a,wfs1b",24.0,24.0,G04,0.39786147218986184
atf6 vs ctrl | 24C | 30hpf,atf6,24.0,30.0,G00,-0.5053944881897582
atf6 vs ctrl | 24C | 30hpf,atf6,24.0,30.0,G01,0.2243958707789717
atf6 vs ctrl | 24C | 30hpf,atf6,24.0,30.0,G02,0.7735622877937988
atf6 vs ctrl | 24C | 30hpf,atf6,24.0,30.0,G03,-0.10223583227517076
atf6 vs ctrl | 24C | 30hpf,atf6,24.0,30.0,G04,0.2921850885774061
ctcf vs ctrl | 24C | 30hpf,ctcf,24.0,30.0,G00,-0.033293447933611664
ctcf vs ctrl | 24C | 30hpf,ctcf,24.0,30.0,G01,0.0011320135015273247
ctcf vs ctrl | 24C | 30hpf,ctcf,24.0,30.0,G02,0.8984820244831858
ctcf vs ctrl | 24C | 30hpf,ctcf,24.0,30.0,G03,-0.2906736796060926
ctcf vs ctrl | 24C | 30hpf,ctcf,24.0,30.0,G04,0.3273058638872437
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","wfs1a,wfs1b",24.0,30.0,G00,-0.15314335403842513
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","wfs1a,wfs1b",24.0,30.0,G01,0.19974320866258227
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","wfs1a,wfs1b",24.0,30.0,G02,0.9432891557242454
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","wfs1a,wfs1b",24.0,30.0,G03,0.17226005609633618
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","wfs1a,wfs1b",24.0,30.0,G04,0.13107938615116133
atf6 vs ctrl | 24C | 36hpf,atf6,24.0,36.0,G00,0.7600990098948921
atf6 vs ctrl | 24C | 36hpf,atf6,24.0,36.0,G01,0.38706313078263366
atf6 vs ctrl | 24C | 36hpf,atf6,24.0,36.0,G02,-0.170883499946649
atf6 vs ctrl | 24C | 36hpf,atf6,24.0,36.0,G03,0.48992911953802376
atf6 vs ctrl | 24C | 36hpf,atf6,24.0,36.0,G04,0.05656779313558988
ctcf vs ctrl | 24C | 36hpf,ctcf,24.0,36.0,G00,0.5375820774785246
ctcf vs ctrl | 24C | 36hpf,ctcf,24.0,36.0,G01,0.09567921602524904
ctcf vs ctrl | 24C | 36hpf,ctcf,24.0,36.0,G02,-0.5058851961559493
ctcf vs ctrl | 24C | 36hpf,ctcf,24.0,36.0,G03,0.6675965564566764
ctcf vs ctrl | 24C | 36hpf,ctcf,24.0,36.0,G04,0.01568450547870342
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","wfs1a,wfs1b",24.0,36.0,G00,0.6994277205776391
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","wfs1a,wfs1b",24.0,36.0,G01,0.04129946171799358
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","wfs1a,wfs1b",24.0,36.0,G02,-0.0814139368142511
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","wfs1a,wfs1b",24.0,36.0,G03,0.6567909150368033
